CIA - The World Factbook --  INFLATION RATE (CONSUMER PRICES)

Inflation rate (consumer prices) compares the annual percent change in consumer prices with the previous year's consumer prices.

| Rank | Country | (%) | Date of Information |
| --- | --- | --- | --- |
| 1 | Chad | -4.00 | 2016 est. |
| 2 | Saint Lucia | -3.10 | 2016 est. |
| 3 | Northern Mariana Islands | -2.50 | 2013 est. |
| 4 | Mali | -1.80 | 2016 est. |
| 5 | Romania | -1.60 | 2016 est. |
| 6 | Zimbabwe | -1.50 | 2016 est. |
| 7 | Cyprus | -1.40 | 2016 est. |
| 8 | Cabo Verde | -1.40 | 2016 est. |
| 9 | Armenia | -1.30 | 2016 est. |
| 10 | Timor-Leste | -1.20 | 2016 est. |
| 11 | Bosnia and Herzegovina | -1.10 | 2016 est. |
| 12 | Croatia | -1.10 | 2016 est. |
| 13 | Seychelles | -1.00 | 2016 est. |
| 14 | Palau | -1.00 | 2016 est. |
| 15 | Andorra | -0.90 | 2015 est. |
| 16 | Benin | -0.90 | 2016 est. |
| 17 | Aruba | -0.90 | 2016 est. |
| 18 | Jordan | -0.80 | 2016 est. |
| 19 | Lebanon | -0.80 | 2016 est. |
| 20 | Greece | -0.80 | 2016 est. |
| 21 | Bulgaria | -0.80 | 2016 est. |
| 22 | Saint Kitts and Nevis | -0.70 | 2016 est. |
| 23 | Poland | -0.70 | 2016 est. |
| 24 | Brunei | -0.70 | 2016 est. |
| 25 | Anguilla | -0.60 | 2016 est. |
| 26 | Cayman Islands | -0.60 | 2016 est. |
| 27 | Israel | -0.50 | 2016 est. |
| 28 | Singapore | -0.50 | 2016 est. |
| 29 | Antigua and Barbuda | -0.50 | 2016 est. |
| 30 | Slovakia | -0.50 | 2016 est. |
| 31 | Liechtenstein | -0.40 | 2016 est. |
| 32 | Switzerland | -0.40 | 2016 est. |
| 33 | Montenegro | -0.40 | 2016 est. |
| 34 | Spain | -0.30 | 2016 est. |
| 35 | Bahamas, The | -0.30 | 2016 est. |
| 36 | Faroe Islands | -0.30 | 2016 |
| 37 | Ireland | -0.20 | 2016 est. |
| 38 | Macedonia | -0.20 | 2016 est. |
| 39 | Puerto Rico | -0.20 | 2016 est. |
| 40 | Montserrat | -0.20 | 2016 est. |
| 41 | Gaza Strip | -0.20 | 2016 est. |
| 42 | West Bank | -0.20 | 2016 est. |
| 43 | Saint Vincent and the Grenadines | -0.20 | 2016 est. |
| 44 | Burkina Faso | -0.20 | 2016 est. |
| 45 | Slovenia | -0.20 | 2016 est. |
| 46 | Italy | -0.10 | 2016 est. |
| 47 | Japan | -0.10 | 2016 est. |
| 48 | French Polynesia | 0.00 | 2015 est. |
| 49 | Costa Rica | 0.00 | 2016 est. |
| 50 | Luxembourg | 0.00 | 2016 est. |
| 51 | Estonia | 0.10 | 2016 est. |
| 52 | European Union | 0.10 | 2015 est. |
| 53 | Netherlands | 0.10 | 2016 est. |
| 54 | Denmark | 0.20 | 2016 est. |
| 55 | Dominica | 0.20 | 2016 est. |
| 56 | Latvia | 0.20 | 2016 est. |
| 57 | Niger | 0.20 | 2016 est. |
| 58 | Thailand | 0.20 | 2016 est. |
| 59 | Kosovo | 0.30 | 2016 est. |
| 60 | Greenland | 0.30 | January 2017 est. |
| 61 | France | 0.30 | 2016 est. |
| 62 | Finland | 0.40 | 2016 est. |
| 63 | Hungary | 0.40 | 2016 est. |
| 64 | Kyrgyzstan | 0.40 | 2016 est. |
| 65 | Iraq | 0.40 | 2016 est. |
| 66 | Germany | 0.40 | 2016 est. |
| 67 | El Salvador | 0.50 | 2016 est. |
| 68 | San Marino | 0.60 | 2016 est. |
| 69 | New Zealand | 0.60 | 2016 est. |
| 70 | Portugal | 0.60 | 2016 est. |
| 71 | Mongolia | 0.60 | 2016 est. |
| 72 | Malta | 0.60 | 2016 est. |
| 73 | New Caledonia | 0.60 | 2016 est. |
| 74 | Belize | 0.60 | 2016 est. |
| 75 | Czechia | 0.70 | 2016 est. |
| 76 | Lithuania | 0.70 | 2016 est. |
| 77 | Panama | 0.70 | 2016 est. |
| 78 | Cote d'Ivoire | 0.70 | 2016 est. |
| 79 | Senegal | 0.80 | 2016 est. |
| 80 | Vanuatu | 0.90 | 2016 est. |
| 81 | Cameroon | 0.90 | 2016 est. |
| 82 | Togo | 0.90 | 2016 est. |
| 83 | Marshall Islands | 0.90 | 2016 est. |
| 84 | Maldives | 0.90 | 2016 est. |
| 85 | United Kingdom | 1.00 | 2016 est. |
| 86 | Guyana | 1.00 | 2016 est. |
| 87 | Austria | 1.00 | 2016 est. |
| 88 | Korea, South | 1.00 | 2016 est. |
