CIA - The World Factbook --  Internet Service Providers (ISPs)   

| Rank | country | Internet Service Providers (ISPs) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 7,000.00 | 2002 est. |
| 2 | Canada | 760.00 | 2000 est. |
| 3 | Australia | 571.00 | 2002 |
| 4 | Russia | 300.00 | June 2000 |
| 5 | Ukraine | 260.00 | 2001 |
| 6 | Bulgaria | 200.00 | 2001 |
| 7 | Germany | 200.00 | 2001 |
| 8 | South Africa | 150.00 | 2001 |
| 9 | Iran | 100.00 | 2002 |
| 10 | Italy | 93.00 | 2000 |
| 11 | Puerto Rico | 76.00 | 2000 |
| 12 | Japan | 73.00 | 2000 |
| 13 | Kenya | 65.00 | 2001 |
| 14 | France | 62.00 | 2000 |
| 15 | Belgium | 61.00 | 2000 |
| 16 | Spain | 56.00 | 2000 |
| 17 | Netherlands | 52.00 | 2000 |
| 18 | Mexico | 51.00 | 2000 |
| 19 | Brazil | 50.00 | 2000 |
| 20 | Turkey | 50.00 | 2001 |
| 21 | Virgin Islands | 50.00 | 2000 |
| 22 | Egypt | 50.00 | 2000 |
| 23 | Liechtenstein | 44.00 | 2000 |
| 24 | Switzerland | 44.00 | 2000 |
| 25 | India | 43.00 | 2000 |
| 26 | Uzbekistan | 42.00 | 2000 |
| 27 | Latvia | 41.00 | 2001 |
| 28 | Estonia | 38.00 | 2001 |
| 29 | Romania | 38.00 | 2000 |
| 30 | Austria | 37.00 | 2000 |
| 31 | New Zealand | 36.00 | 2000 |
| 32 | Argentina | 33.00 | 2000 |
| 33 | Philippines | 33.00 | 2000 |
| 34 | Lithuania | 32.00 | 2001 |
| 35 | Ecuador | 31.00 | 2001 |
| 36 | Pakistan | 30.00 | 2000 |
| 37 | Sweden | 29.00 | 2000 |
| 38 | Greece | 27.00 | 2000 |
| 39 | Dominican Republic | 24.00 | 2000 |
| 40 | Indonesia | 24.00 | 2000 |
| 41 | Belarus | 23.00 | 2002 |
| 42 | Ireland | 22.00 | 2000 |
| 43 | Lebanon | 22.00 | 2000 |
| 44 | Saudi Arabia | 22.00 | 2003 |
| 45 | Israel | 21.00 | 2000 |
| 46 | Jamaica | 21.00 | 2000 |
| 47 | Bermuda | 20.00 | 2000 |
| 48 | Iceland | 20.00 | 2001 |
| 49 | Barbados | 19.00 | 2000 |
| 50 | Bahamas, The | 19.00 | 2000 |
| 51 | Poland | 19.00 | 2000 |
| 52 | Colombia | 18.00 | 2000 |
| 53 | Hong Kong | 17.00 | 2000 |
| 54 | Montserrat | 17.00 | 2000 |
| 55 | Trinidad and Tobago | 17.00 | 2000 |
| 56 | Antigua and Barbuda | 16.00 | 2000 |
| 57 | Anguilla | 16.00 | 2000 |
| 58 | British Virgin Islands | 16.00 | 2000 |
| 59 | Venezuela | 16.00 | 2000 |
| 60 | Saint Kitts and Nevis | 16.00 | 2000 |
| 61 | Portugal | 16.00 | 2000 |
| 62 | Hungary | 16.00 | 2000 |
| 63 | Dominica | 16.00 | 2000 |
| 64 | Cayman Islands | 16.00 | 2000 |
| 65 | Saint Lucia | 15.00 | 2000 |
| 66 | Saint Vincent and the Grenadines | 15.00 | 2000 |
| 67 | Thailand | 15.00 | 2000 |
| 68 | Grenada | 14.00 | 2000 |
| 69 | Uruguay | 14.00 | 2001 |
| 70 | Turks and Caicos Islands | 14.00 | 2000 |
| 71 | Denmark | 13.00 | 2000 |
| 72 | Jan Mayen | 13.00 | 2000 |
| 73 | Mali | 13.00 | 2001 |
| 74 | Svalbard | 13.00 | 2000 |
| 75 | Norway | 13.00 | 2000 |
| 76 | Ghana | 12.00 | 2000 |
