CIA - The World Factbook --  Investment (gross fixed)   

This entry records total business spending on fixed assets, such as factories, machinery, equipment, dwellings, and inventories of raw materials, which provide the basis for future production. It is measured gross of the depreciation of the assets, i.e., it includes investment that merely replaces worn-out or scrapped capital.

| Rank | country | (% of GDP) | Date of Information |
| --- | --- | --- | --- |
| 1 | Antigua and Barbuda | 79.00 | 2010 est. |
| 2 | Bhutan | 46.00 | 2010 est. |
| 3 | China | 45.80 | 2010 est. |
| 4 | Sao Tome and Principe | 44.60 | 2010 est. |
| 5 | Turks and Caicos Islands | 44.50 | 2010 est. |
| 6 | Anguilla | 41.90 | 2010 est. |
| 7 | Curacao | 41.80 | 2010 est. |
| 8 | Djibouti | 40.70 | 2010 est. |
| 9 | Timor-Leste | 38.40 | 2010 est. |
| 10 | Montserrat | 38.00 | 2010 est. |
| 11 | Saint Kitts and Nevis | 37.00 | 2010 est. |
| 12 | Belarus | 36.60 | 2010 est. |
| 13 | Congo, Republic of the | 36.40 | 2010 est. |
| 14 | Cape Verde | 36.10 | 2010 est. |
| 15 | Mongolia | 36.10 | 2010 est. |
| 16 | Equatorial Guinea | 35.20 | 2010 est. |
| 17 | Kosovo | 35.00 | 2010 est. |
| 18 | Algeria | 34.40 | 2010 est. |
| 19 | Niger | 34.00 | 2010 est. |
| 20 | Vietnam | 33.90 | 2010 est. |
| 21 | Armenia | 33.60 | 2010 est. |
| 22 | Chad | 33.50 | 2010 est. |
| 23 | Lebanon | 33.40 | 2010 est. |
| 24 | Indonesia | 32.10 | 2010 est. |
| 25 | Burundi | 31.30 | 2010 est. |
| 26 | Guyana | 30.70 | 2010 est. |
| 27 | Morocco | 30.70 | 2010 est. |
| 28 | Montenegro | 30.50 | 2006 est. |
| 29 | Saint Vincent and the Grenadines | 30.10 | 2010 est. |
| 30 | Bahamas, The | 29.90 | 2010 est. |
| 31 | Albania | 29.80 | 2010 est. |
| 32 | India | 29.50 | 2010 est. |
| 33 | Lesotho | 29.30 | 2010 est. |
| 34 | Oman | 29.10 | 2010 est. |
| 35 | Qatar | 29.10 | 2010 est. |
