CIA - The World Factbook --  Labor force - by occupation   

| Rank | country | (%) | Date of Information |
| --- | --- | --- | --- |
| 1 | Tonga | 2,003.00 | 2003 est. |
| 2 | Falkland Islands (Islas Malvinas) | 95.00 | 1996 |
| 3 | Andorra | 94.90 | 2010 |
| 4 | Burundi | 93.60 | 2002 est. |
| 5 | Burkina Faso | 90.00 | 2000 est. |
| 6 | Niger | 90.00 | 1995 |
| 7 | Malawi | 90.00 | 2003 est. |
| 8 | Rwanda | 90.00 | 2000 |
| 9 | Northern Mariana Islands | 88.10 | 2010 est. |
| 10 | Lesotho | 86.00 | 2002 est. |
| 11 | Zambia | 85.00 | 2004 |
| 12 | Papua New Guinea | 85.00 | 2005 est. |
| 13 | Angola | 85.00 | 2003 est. |
| 14 | Ethiopia | 85.00 | 2009 est. |
| 15 | Saint Martin | 85.00 | NA |
| 16 | Monaco | 83.90 | 2012 est. |
| 17 | Sint Maarten | 83.70 | 2008 est. |
| 18 | Uganda | 82.00 | 1999 est. |
| 19 | Antigua and Barbuda | 82.00 | 1983 |
| 20 | Guinea-Bissau | 82.00 | 2000 est. |
| 21 | Curacao | 81.80 | 2008 est. |
| 22 | Mozambique | 81.00 | 1997 est. |
| 23 | United Kingdom | 80.40 | 2006 est. |
| 24 | Israel | 80.30 | 2012 est. |
| 25 | Singapore | 80.10 | 2013 |
| 26 | Comoros | 80.00 | 1996 est. |
| 27 | Mali | 80.00 | 2005 est. |
| 28 | Norfolk Island | 80.00 | 2006 est. |
| 29 | Eritrea | 80.00 | 2004 est. |
| 30 | Chad | 80.00 | 2006 est. |
| 31 | Virgin Islands | 80.00 | 2003 est. |
| 32 | Tanzania | 80.00 | 2002 est. |
| 33 | Wallis and Futuna | 80.00 | 2001 est. |
| 34 | Sudan | 80.00 | 1998 est. |
| 35 | Luxembourg | 79.40 | 2012 est. |
| 36 | Gaza Strip | 79.30 | 2010 est. |
| 37 | Bahrain | 79.00 | 1997 est. |
| 38 | Cayman Islands | 79.00 | 2008 est. |
| 39 | Puerto Rico | 79.00 | 2005 |
| 40 | Netherlands | 78.90 | 2011 est. |
| 41 | Afghanistan | 78.60 | FY08/09 est. |
| 42 | Micronesia, Federated States of | 78.50 | 2011 est. |
| 43 | United Arab Emirates | 78.00 | 2000 est. |
| 44 | Suriname | 78.00 | 2004 |
| 45 | Norway | 77.60 | 2012 |
| 46 | Senegal | 77.50 | 2007 est. |
| 47 | Jordan | 77.40 | 2007 est. |
| 48 | Denmark | 77.10 | 2011 est. |
| 49 | Malta | 76.40 | 2013 |
| 50 | France | 76.40 | 2012 est. |
| 51 | Canada | 76.00 | 2006 est. |
| 52 | Guinea | 76.00 | 2006 est. |
| 53 | Ireland | 76.00 | 2011 est. |
| 54 | Estonia | 75.60 | 2010 |
| 55 | Kenya | 75.00 | 2007 est. |
