CIA - The World Factbook --  Labor force   

Labor force compares the total labor force figure.

| Rank | country | Labor force | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 797,600,000 | 2013 est. |
| 2 | India | 487,300,000 | 2013 est. |
| 3 | European Union | 228,600,000 | 2013 est. |
| 4 | United States | 155,400,000 | 2013 est. |
| 5 | Indonesia | 120,000,000 | 2013 est. |
| 6 | Brazil | 107,300,000 | 2013 est. |
| 7 | Bangladesh | 78,620,000 | 2013 est. |
| 8 | Russia | 75,290,000 | 2013 est. |
| 9 | Japan | 65,620,000 | 2013 est. |
| 10 | Pakistan | 59,210,000 | 2012 est. |
| 11 | Vietnam | 52,930,000 | 2013 est. |
| 12 | Nigeria | 51,530,000 | 2011 est. |
| 13 | Mexico | 51,480,000 | 2013 est. |
| 14 | Ethiopia | 45,650,000 | 2013 est. |
| 15 | Germany | 44,200,000 | 2013 est. |
| 16 | Philippines | 41,330,000 | 2013 est. |
| 17 | Thailand | 39,380,000 | 2013 est. |
| 18 | Congo, Democratic Republic of the | 35,180,000 | 2013 est. |
| 19 | Burma | 34,310,000 | 2013 est. |
| 20 | United Kingdom | 30,150,000 | 2013 est. |
| 21 | France | 29,940,000 | 2013 est. |
| 22 | Turkey | 27,910,000 | 2013 est. |
| 23 | Iran | 27,720,000 | 2013 est. |
| 24 | Egypt | 27,690,000 | 2013 est. |
| 25 | Korea, South | 25,860,000 | 2013 est. |
| 26 | Italy | 25,740,000 | 2013 est. |
| 27 | Tanzania | 25,590,000 | 2013 est. |
| 28 | Colombia | 23,750,000 | 2013 est. |
| 29 | Spain | 23,200,000 | 2013 est. |
| 30 | Ukraine | 22,170,000 | 2013 est. |
| 31 | Kenya | 19,670,000 | 2013 est. |
| 32 | Canada | 19,080,000 | 2013 est. |
| 33 | South Africa | 18,540,000 | 2013 est. |
| 34 | Poland | 18,220,000 | 2013 est. |
| 35 | Uganda | 17,400,000 | 2013 est. |
| 36 | Argentina | 17,320,000 | 2013 est. |
| 37 | Uzbekistan | 16,990,000 | 2013 est. |
| 38 | Peru | 16,160,000 | 2012 est. |
| 39 | Nepal | 16,000,000 | 2011 est. |
| 40 | Venezuela | 14,010,000 | 2013 est. |
| 41 | Malaysia | 13,190,000 | 2013 est. |
| 42 | Korea, North | 12,600,000 | 2012 est. |
| 43 | Australia | 12,440,000 | 2013 est. |
| 44 | Ghana | 12,070,000 | 2013 est. |
| 45 | Sudan | 11,920,000 | 2007 est. |
| 46 | Morocco | 11,730,000 | 2013 est. |
| 47 | Taiwan | 11,550,000 | 2013 est. |
| 48 | Algeria | 11,150,000 | 2013 est. |
| 49 | Mozambique | 10,550,000 | 2013 est. |
| 50 | Madagascar | 9,504,000 | 2007 |
| 51 | Romania | 9,451,000 | 2013 est. |
| 52 | Kazakhstan | 9,022,000 | 2013 est. |
| 53 | Angola | 9,018,000 | 2013 est. |
| 54 | Iraq | 8,900,000 | 2010 est. |
| 55 | Sri Lanka | 8,528,000 | 2013 est. |
| 56 | Cameroon | 8,426,000 | 2013 est. |
| 57 | Saudi Arabia | 8,412,000 | 2013 est. |
| 58 | Chile | 8,367,000 | 2013 est. |
| 59 | Netherlands | 7,939,000 | 2013 est. |
| 60 | Cote d'Ivoire | 7,928,000 | 2013 est. |
| 61 | Cambodia | 7,900,000 | 2011 est. |
| 62 | Afghanistan | 7,512,000 | 2012 est. |
| 63 | Yemen | 7,100,000 | 2013 est. |
| 64 | Ecuador | 6,953,000 | 2013 est. |
| 65 | Burkina Faso | 6,668,000 | 2007 |
| 66 | Zambia | 6,275,000 | 2013 est. |
| 67 | Senegal | 6,096,000 | 2013 est. |
| 68 | Malawi | 5,747,000 | 2007 est. |
| 69 | Guinea | 5,409,000 | 2013 est. |
| 70 | Portugal | 5,395,000 | 2013 est. |
| 71 | Czech Republic | 5,304,000 | 2013 est. |
| 72 | Cuba | 5,233,000 | 2013 est. |
| 73 | Belgium | 5,150,000 | 2013 est. |
| 74 | Sweden | 5,107,000 | 2013 est. |
| 75 | Syria | 5,014,000 | 2013 est. |
| 76 | Belarus | 5,000,000 | 2009 |
| 77 | Switzerland | 4,976,000 | 2013 est. |
| 78 | Bolivia | 4,922,000 | 2012 est. |
| 79 | Greece | 4,918,000 | 2013 est. |
| 80 | Dominican Republic | 4,912,000 | 2013 est. |
| 81 | Haiti | 4,810,000 | 2010 est. |
| 82 | Niger | 4,688,000 | 2007 |
| 83 | Azerbaijan | 4,680,000 | 2012 est. |
| 84 | United Arab Emirates | 4,588,000 | 2013 est. |
| 85 | Guatemala | 4,465,000 | 2013 est. |
| 86 | Rwanda | 4,446,000 | 2007 |
| 87 | Chad | 4,293,000 | 2007 |
| 88 | Hungary | 4,263,000 | 2013 est. |
| 89 | Burundi | 4,245,000 | 2007 |
| 90 | Papua New Guinea | 4,077,000 | 2013 est. |
| 91 | Tunisia | 3,974,000 | 2013 est. |
| 92 | Zimbabwe | 3,939,000 | 2013 est. |
| 93 | Hong Kong | 3,873,000 | 2013 est. |
| 94 | Austria | 3,737,000 | 2013 est. |
| 95 | Benin | 3,662,000 | 2007 est. |
| 96 | Honduras | 3,507,000 | 2013 est. |
| 97 | Israel | 3,493,000 | 2013 est. |
| 98 | Somalia | 3,447,000 | 2007 |
| 99 | Singapore | 3,444,000 | 2013 est. |
| 100 | Laos | 3,373,000 | 2013 est. |
| 101 | Mali | 3,241,000 | 2007 est. |
| 102 | Paraguay | 3,190,000 | 2013 est. |
| 103 | Nicaragua | 3,039,000 | 2013 est. |
| 104 | Eritrea | 2,955,000 | 2012 est. |
| 105 | Congo, Republic of the | 2,890,000 | 2011 est. |
| 106 | Denmark | 2,795,000 | 2013 est. |
| 107 | El Salvador | 2,738,000 | 2013 est. |
| 108 | Slovakia | 2,727,000 | 2013 est. |
| 109 | Norway | 2,707,000 | 2014 est. |
| 110 | Finland | 2,685,000 | 2013 est. |
| 111 | Togo | 2,595,000 | 2007 |
| 112 | Bulgaria | 2,551,000 | 2013 est. |
| 113 | New Zealand | 2,413,000 | 2013 est. |
| 114 | Kuwait | 2,380,000 | 2013 est. |
