CIA - The World Factbook --  LABOR FORCE

Labor force compares the total labor force figure.

| Rank | Country | LABOR FORCE | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 807,100,000 | 2016 est. |
| 2 | India | 510,100,000 | 2016 est. |
| 3 | European Union | 233,300,000 | 2016 est. |
| 4 | United States | 159,200,000 | 2016 est. |
| 5 | Indonesia | 125,400,000 | 2016 est. |
| 6 | Brazil | 110,400,000 | 2016 est. |
| 7 | Russia | 76,640,000 | 2016 est. |
| 8 | Bangladesh | 72,050,000 | 2016 est. |
| 9 | Japan | 66,730,000 | 2016 est. |
| 10 | Pakistan | 62,540,000 | 2016 est. |
| 11 | Nigeria | 58,810,000 | 2016 est. |
| 12 | Vietnam | 55,930,000 | 2016 est. |
| 13 | Mexico | 53,680,000 | 2016 est. |
| 14 | Ethiopia | 51,050,000 | 2016 est. |
| 15 | Germany | 45,420,000 | 2016 est. |
| 16 | Philippines | 43,200,000 | 2016 est. |
| 17 | Thailand | 38,300,000 | 2016 est. |
| 18 | United Kingdom | 33,360,000 | 2016 est. |
| 19 | Turkey | 30,550,000 | 2016 est. |
| 20 | France | 30,430,000 | 2016 est. |
| 21 | Congo, Democratic Republic of the | 30,310,000 | 2016 est. |
| 22 | Iran | 29,750,000 | 2016 est. |
| 23 | Egypt | 28,900,000 | 2016 est. |
| 24 | Korea, South | 27,250,000 | 2016 est. |
| 25 | Italy | 25,760,000 | 2016 est. |
| 26 | Colombia | 24,410,000 | 2016 est. |
| 27 | Tanzania | 24,050,000 | 2016 est. |
| 28 | Spain | 22,820,000 | 2016 est. |
| 29 | Burma | 22,130,000 | 2016 est. |
| 30 | South Africa | 21,530,000 | 2016 est. |
| 31 | Canada | 19,440,000 | 2016 est. |
| 32 | Uganda | 19,400,000 | 2016 est. |
| 33 | Kenya | 19,140,000 | 2016 est. |
| 34 | Ukraine | 18,040,000 | 2016 est. |
| 35 | Uzbekistan | 17,850,000 | 2017 est. |
| 36 | Argentina | 17,760,000 | 2016 est. |
| 37 | Poland | 17,640,000 | 2016 est. |
| 38 | Peru | 16,800,000 | 2016 est. |
| 39 | Nepal | 15,600,000 | 2014 est. |
