CIA - The World Factbook --  Market value of publicly traded shares   

This entry gives the value of shares issued by publicly traded companies at a price determined in the national stock markets on the final day of the period indicated. It is simply the latest price per share multiplied by the total number of outstanding shares, cumulated over all companies listed on the particular exchange.

| Rank | country | Market value of publicly traded shares | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $ 17,140,000,000,000 | 31 December 2010 |
| 2 | European Union | $ 10,500,000,000,000 | 31 December 2010 |
| 3 | China | $ 4,763,000,000,000 | 31 December 2010 |
| 4 | Japan | $ 4,100,000,000,000 | 31 December 2010 |
| 5 | United Kingdom | $ 3,107,000,000,000 | 31 December 2010 |
| 6 | Hong Kong | $ 2,711,000,000,000 | 31 December 2010 |
| 7 | Canada | $ 2,160,000,000,000 | 31 December 2010 |
| 8 | France | $ 1,926,000,000,000 | 31 December 2010 |
| 9 | India | $ 1,616,000,000,000 | 31 December 2010 |
| 10 | Brazil | $ 1,546,000,000,000 | 31 December 2010 |
| 11 | Australia | $ 1,455,000,000,000 | 31 December 2010 |
| 12 | Germany | $ 1,430,000,000,000 | 31 December 2010 |
| 13 | Switzerland | $ 1,229,000,000,000 | 31 December 2010 |
| 14 | Spain | $ 1,172,000,000,000 | 31 December 2010 |
| 15 | Korea, South | $ 1,089,000,000,000 | 31 December 2010 |
| 16 | South Africa | $ 1,013,000,000,000 | 31 December 2010 |
| 17 | Russia | $ 1,005,000,000,000 | 31 December 2010 |
| 18 | Netherlands | $ 661,200,000,000 | 31 December 2010 |
| 19 | Taiwan | $ 657,300,000,000 | 31 December 2009 |
| 20 | Singapore | $ 620,500,000,000 | 31 December 2010 |
| 21 | Sweden | $ 581,200,000,000 | 31 December 2010 |
| 22 | Mexico | $ 454,300,000,000 | 31 December 2010 |
| 23 | Malaysia | $ 410,500,000,000 | 31 December 2010 |
| 24 | Indonesia | $ 360,400,000,000 | 31 December 2010 |
| 25 | Saudi Arabia | $ 353,400,000,000 | 31 December 2010 |
| 26 | Chile | $ 341,600,000,000 | 31 December 2010 |
| 27 | Italy | $ 318,100,000,000 | 31 December 2010 |
| 28 | Turkey | $ 306,700,000,000 | 31 December 2010 |
| 29 | Thailand | $ 277,700,000,000 | 31 December 2010 |
| 30 | Belgium | $ 269,300,000,000 | 31 December 2010 |
| 31 | Norway | $ 250,900,000,000 | 31 December 2010 |
| 32 | Denmark | $ 231,700,000,000 | 31 December 2010 |
| 33 | Israel | $ 218,100,000,000 | 31 December 2010 |
| 34 | Colombia | $ 208,500,000,000 | 31 December 2010 |
| 35 | Poland | $ 190,200,000,000 | 31 December 2010 |
| 36 | Peru | $ 160,900,000,000 | 31 December 2010 |
| 37 | Philippines | $ 130,500,000,000 | 31 December 2009 |
| 38 | Qatar | $ 123,600,000,000 | 31 December 2010 |
| 39 | Kuwait | $ 119,600,000,000 | 31 December 2010 |
| 40 | Finland | $ 118,200,000,000 | 31 December 2010 |
| 41 | Austria | $ 118,000,000,000 | 31 December 2010 |
| 42 | United Arab Emirates | $ 104,700,000,000 | 31 December 2010 |
| 43 | Luxembourg | $ 101,100,000,000 | 31 December 2010 |
| 44 | Iran | $ 86,620,000,000 | 31 December 2010 |
| 45 | Egypt | $ 82,490,000,000 | 31 December 2010 |
| 46 | Portugal | $ 82,000,000,000 | 31 December 2010 |
| 47 | Czech Republic | $ 73,100,000,000 | 31 December 2010 |
| 48 | Greece | $ 72,640,000,000 | 31 December 2010 |
| 49 | Morocco | $ 69,150,000,000 | 31 December 2010 |
| 50 | Argentina | $ 63,910,000,000 | 31 December 2010 |
| 51 | Kazakhstan | $ 60,740,000,000 | 31 December 2010 |
| 52 | Nigeria | $ 50,880,000,000 | 31 December 2010 |
