CIA - The World Factbook --  Median age   

This entry is the age that divides a population into two numerically equal groups; that is, half the people are younger than this age and half are older. It is a single index that summarizes the age distribution of a population. Currently, the median age ranges from a low of about 15 in Uganda and Gaza Strip to 40 or more in several European countries and Japan. See the entry for "Age structure" for the importance of a young versus an older age structure and, by implication, a low versus a higher median age.

| Rank | country | (years) | Date of Information |
| --- | --- | --- | --- |
| 1 | Monaco | 45.70 | 2009 est. |
| 2 | Japan | 44.20 | 2009 est. |
| 3 | Germany | 43.80 | 2009 est. |
| 4 | Italy | 43.30 | 2009 est. |
| 5 | Jersey | 42.90 | 2009 est. |
| 6 | Guernsey | 42.50 | 2009 est. |
| 7 | Hong Kong | 42.30 | 2009 est. |
| 8 | Austria | 42.20 | 2009 est. |
| 9 | Finland | 42.10 | 2009 est. |
| 10 | Greece | 41.80 | 2009 est. |
| 11 | Belgium | 41.70 | 2009 est. |
| 12 | Slovenia | 41.70 | 2009 est. |
| 13 | San Marino | 41.50 | 2009 est. |
| 14 | Sweden | 41.50 | 2009 est. |
| 15 | Bulgaria | 41.40 | 2009 est. |
| 16 | Bermuda | 41.30 | 2009 est. |
| 17 | Spain | 41.10 | 2009 est. |
| 18 | Croatia | 41.00 | 2009 est. |
| 19 | Switzerland | 41.00 | 2009 est. |
| 20 | Liechtenstein | 41.00 | 2009 est. |
| 21 | Serbia | 41.00 | 2009 est. |
| 22 | Denmark | 40.50 | 2009 est. |
| 23 | Gibraltar | 40.50 | 2009 est. |
| 24 | Canada | 40.40 | 2009 est. |
| 25 | Netherlands | 40.40 | 2009 est. |
| 26 | Isle of Man | 40.20 | 2009 est. |
| 27 | United Kingdom | 40.20 | 2009 est. |
| 28 | Czech Republic | 40.10 | 2009 est. |
| 29 | Latvia | 40.10 | 2009 est. |
| 30 | Estonia | 39.90 | 2009 est. |
| 31 | Bosnia and Herzegovina | 39.80 | 2009 est. |
| 32 | Malta | 39.50 | 2009 est. |
| 33 | Ukraine | 39.50 | 2009 est. |
| 34 | Andorra | 39.40 | 2009 est. |
| 35 | France | 39.40 | 2009 est. |
| 36 | Norway | 39.40 | 2009 est. |
| 37 | Portugal | 39.40 | 2009 est. |
| 38 | Hungary | 39.40 | 2009 est. |
| 39 | Lithuania | 39.30 | 2009 est. |
| 40 | Luxembourg | 39.20 | 2009 est. |
| 41 | Saint Barthelemy | 39.10 | 2009 est. |
| 42 | Virgin Islands | 39.10 | 2009 est. |
| 43 | Singapore | 39.00 | 2009 est. |
| 44 | Belarus | 38.60 | 2009 est. |
| 45 | Georgia | 38.60 | 2009 est. |
| 46 | Russia | 38.40 | 2009 est. |
| 47 | Cayman Islands | 38.10 | 2009 est. |
| 48 | Poland | 37.90 | 2009 est. |
| 49 | Aruba | 37.80 | 2009 est. |
| 50 | Romania | 37.70 | 2009 est. |
| 51 | Saint Helena | 37.60 | 2009 est. |
| 52 | Australia | 37.30 | 2009 est. |
| 53 | Cuba | 37.30 | 2009 est. |
| 54 | Korea, South | 37.30 | 2009 est. |
| 55 | Faroe Islands | 36.90 | 2009 est. |
| 56 | Slovakia | 36.90 | 2009 est. |
| 57 | Montenegro | 36.70 | 2009 est. |
| 58 | United States | 36.70 | 2009 est. |
| 59 | New Zealand | 36.60 | 2009 est. |
| 60 | Taiwan | 36.50 | 2009 est. |
| 61 | Puerto Rico | 36.20 | 2009 est. |
| 62 | Barbados | 35.80 | 2009 est. |
| 63 | Cyprus | 35.50 | 2009 est. |
| 64 | Macau | 35.20 | 2009 est. |
| 65 | Saint Pierre and Miquelon | 35.20 | 2009 est. |
| 66 | Iceland | 35.10 | 2009 est. |
| 67 | Macedonia | 35.10 | 2009 est. |
| 68 | Ireland | 35.00 | 2009 est. |
| 69 | Moldova | 34.60 | 2009 est. |
| 70 | China | 34.10 | 2009 est. |
| 71 | Netherlands Antilles | 33.70 | 2009 est. |
