CIA - The World Factbook --  MERCHANT MARINE

Merchant marine compares all ships engaged in the carriage of goods; or all commercial vessels (as opposed to all nonmilitary ships), which excludes tugs, fishing vessels, offshore oil rigs, etc.

| Rank | Country | MERCHANT MARINE | Date of Information |
| --- | --- | --- | --- |
| 1 | Panama | 6,413 | 2010 |
| 2 | China | 4,052 | |
| 3 | Liberia | 2,771 | 2010 |
| 4 | Malta | 1,650 | 2010 |
| 5 | Hong Kong | 1,644 | 2010 |
| 6 | Singapore | 1,599 | 2010 |
| 7 | Marshall Islands | 1,593 | 2010 |
| 8 | Indonesia | 1,340 | 2010 |
| 9 | Antigua and Barbuda | 1,257 | 2010 |
| 10 | Bahamas, The | 1,160 | 2010 |
| 11 | Russia | 1,143 | 2010 |
| 12 | Korea, South | 1,116 | |
| 13 | Greece | 860 | 2010 |
| 14 | Cyprus | 838 | 2010 |
| 15 | Netherlands | 744 | 2010 |
| 16 | Japan | 684 | 2010 |
| 17 | Italy | 681 | 2010 |
| 18 | Denmark | 666 | |
| 19 | Turkey | 629 | 2010 |
| 20 | Norway | 585 | 2010 |
| 21 | Vietnam | 579 | 2010 |
| 22 | Cambodia | 544 | 2010 |
| 23 | United Kingdom | 504 | 2010 |
| 24 | Philippines | 446 | 2010 |
| 25 | Germany | 427 | 2010 |
| 26 | Saint Vincent and the Grenadines | 412 | 2010 |
| 27 | United States | 393 | 2010 |
| 28 | Thailand | 363 | 2010 |
| 29 | India | 340 | 2010 |
| 30 | Isle of Man | 321 | 2010 |
| 31 | Malaysia | 315 | 2010 |
| 32 | Gibraltar | 267 | 2010 |
| 33 | Belize | 247 | 2010 |
| 34 | Sierra Leone | 215 | 2010 |
| 35 | Sweden | 190 | 2015 |
| 36 | Canada | 181 | 2010 |
| 37 | France | 169 | 2010 |
| 38 | Korea, North | 158 | 2010 |
| 39 | Saint Kitts and Nevis | 152 | 2010 |
| 40 | Comoros | 149 | 2010 |
| 41 | Georgia | 142 | 2010 |
| 42 | Bermuda | 139 | 2010 |
| 43 | Ukraine | 134 | 2010 |
| 44 | Spain | 132 | 2010 |
| 45 | Moldova | 121 | 2010 |
| 46 | Cayman Islands | 116 | 2010 |
| 47 | Taiwan | 112 | 2010 |
| 48 | Portugal | 109 | 2010 |
| 49 | Estonia | 109 | 2010 |
| 50 | Barbados | 109 | 2010 |
| 51 | Brazil | 109 | 2010 |
| 52 | Finland | 105 | 2010 |
| 53 | Azerbaijan | 104 | 2017 |
| 54 | Tanzania | 94 | 2010 |
| 55 | Nigeria | 89 | 2010 |
| 56 | Honduras | 88 | 2010 |
| 57 | Belgium | 87 | 2010 |
| 58 | Kiribati | 77 | 2010 |
| 59 | Vanuatu | 77 | 2010 |
| 60 | Croatia | 77 | 2010 |
| 61 | Iran | 76 | 2010 |
| 62 | Saudi Arabia | 72 | 2010 |
| 63 | Egypt | 67 | 2010 |
| 64 | Monaco | 64 | 2010 |
| 65 | Bangladesh | 62 | 2010 |
| 66 | Togo | 61 | 2010 |
| 67 | United Arab Emirates | 61 | 2010 |
| 68 | Tuvalu | 58 | 2010 |
| 69 | Mongolia | 57 | 2010 |
| 70 | Venezuela | 53 | 2010 |
| 71 | Mexico | 52 | 2010 |
| 72 | Switzerland | 50 | 2010 |
| 73 | Luxembourg | 49 | 2010 |
| 74 | Ecuador | 44 | 2010 |
| 75 | Dominica | 43 | 2010 |
| 76 | Chile | 42 | 2010 |
| 77 | Australia | 41 | 2010 |
| 78 | Lithuania | 38 | 2010 |
| 79 | Algeria | 38 | 2010 |
| 80 | Faroe Islands | 37 | 2010 |
| 81 | Argentina | 36 | 2010 |
| 82 | Cook Islands | 35 | 2010 |
| 83 | Kuwait | 34 | 2010 |
| 84 | Papua New Guinea | 31 | 2010 |
| 85 | Ireland | 31 | 2010 |
| 86 | Lebanon | 29 | 2010 |
| 87 | Burma | 29 | 2010 |
| 88 | Qatar | 28 | 2010 |
| 89 | Morocco | 26 | 2010 |
| 90 | Slovenia | 24 | 2010 |
| 91 | Libya | 23 | 2010 |
| 92 | Peru | 22 | 2010 |
| 93 | Bulgaria | 22 | 2010 |
| 94 | Sri Lanka | 21 | 2010 |
| 95 | Syria | 19 | 2010 |
| 96 | Paraguay | 19 | 2010 |
| 97 | Maldives | 18 | 2010 |
| 98 | Bolivia | 18 | 2010 |
| 99 | Albania | 17 | 2010 |
| 100 | Uruguay | 16 | 2010 |
| 101 | New Zealand | 15 | 2010 |
| 102 | Jersey | 14 | 2010 |
| 103 | Jamaica | 14 | 2010 |
| 104 | Cabo Verde | 13 | 2010 |
| 105 | Colombia | 12 | 2010 |
| 106 | Jordan | 12 | 2010 |
| 107 | French Polynesia | 12 | 2010 |
| 108 | Fiji | 11 | 2010 |
| 109 | Kazakhstan | 11 | 2010 |
| 110 | Turkmenistan | 11 | 2010 |
| 111 | Pakistan | 11 | 2010 |
| 112 | Slovakia | 11 | 2010 |
| 113 | Latvia | 11 | 2010 |
| 114 | Guyana | 10 | 2010 |
| 115 | Brunei | 9 | 2010 |
| 116 | Poland | 9 | 2010 |
| 117 | Tunisia | 9 | 2010 |
| 118 | Seychelles | 9 | 2010 |
| 119 | Senegal | 9 | 2017 |
| 120 | Bahrain | 8 | 2010 |
| 121 | Israel | 8 | 2010 |
| 122 | Ethiopia | 8 | 2010 |
| 123 | Tonga | 7 | 2010 |
| 124 | Angola | 7 | 2010 |
| 125 | Equatorial Guinea | 5 | 2010 |
| 126 | Kenya | 5 | 2010 |
| 127 | Yemen | 5 | 2010 |
| 128 | Romania | 5 | 2010 |
| 129 | Oman | 5 | 2010 |
| 130 | Eritrea | 4 | 2010 |
| 131 | Gambia, The | 4 | 2010 |
| 132 | Trinidad and Tobago | 4 | 2010 |
| 133 | Mauritius | 4 | 2010 |
| 134 | Ghana | 4 | 2010 |
| 135 | Austria | 3 | 2010 |
| 136 | Cuba | 3 | 2010 |
| 137 | South Africa | 3 | 2010 |
| 138 | New Caledonia | 3 | 2010 |
| 139 | Sao Tome and Principe | 3 | 2010 |
| 140 | Micronesia, Federated States of | 3 | 2010 |
| 141 | Gabon | 2 | 2010 |
| 142 | Iceland | 2 | 2010 |
| 143 | Iraq | 2 | 2010 |
| 144 | Sudan | 2 | 2010 |
| 145 | Mozambique | 2 | 2010 |
| 146 | Samoa | 2 | 2010 |
| 147 | Montenegro | 2 | 2010 |
| 148 | Congo, Democratic Republic of the | 1 | 2010 |
| 149 | Congo, Republic of the | 1 | 2010 |
| 150 | Costa Rica | 1 | 2010 |
| 151 | Czechia | 1 | 2010 |
| 152 | Timor-Leste | 1 | 2010 |
| 153 | Madagascar | 1 | 2010 |
| 154 | Namibia | 1 | 2010 |
| 155 | Somalia | 1 | 2008 |
| 156 | Greenland | 1 | 2010 |


