CIA - The World Factbook --  Manpower available for military service   

| Rank | country | Manpower available for military service | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 385,821,101.00 | 2010 est. |
| 2 | China | 363,789,674.00 | 2010 est. |
| 3 | India | 319,129,420.00 | 2010 est. |
| 4 | India | 296,071,637.00 | 2010 est. |
| 5 | United States | 73,270,043.00 | 2010 est. |
| 6 | United States | 71,941,969.00 | 2010 est. |
| 7 | Indonesia | 65,847,171.00 | 2010 est. |
| 8 | Indonesia | 63,228,017.00 | 2010 est. |
| 9 | Brazil | 53,433,918.00 | 2010 est. |
| 10 | Brazil | 53,350,703.00 | 2010 est. |
| 11 | Pakistan | 48,453,305.00 | 2010 est. |
| 12 | Pakistan | 44,898,096.00 | 2010 est. |
| 13 | Nigeria | 37,087,711.00 | 2010 est. |
| 14 | Bangladesh | 36,520,491.00 | 2010 est. |
| 15 | Russia | 35,410,779.00 | 2013 est. |
| 16 | Nigeria | 35,232,127.00 | 2010 est. |
| 17 | Russia | 34,765,736.00 | 2013 est. |
| 18 | Mexico | 30,363,558.00 | 2010 est. |
| 19 | Mexico | 28,815,506.00 | 2010 est. |
| 20 | Japan | 27,301,443.00 | 2010 est. |
| 21 | Japan | 26,307,003.00 | 2010 est. |
| 22 | Vietnam | 25,649,738.00 | 2010 est. |
| 23 | Philippines | 25,614,135.00 | 2010 est. |
| 24 | Philippines | 25,035,061.00 | 2010 est. |
| 25 | Vietnam | 24,995,692.00 | 2010 est. |
| 26 | Iran | 23,619,215.00 | 2010 est. |
| 27 | Iran | 22,628,341.00 | 2010 est. |
| 28 | Turkey | 21,079,077.00 | 2010 est. |
| 29 | Egypt | 21,012,199.00 | 2010 est. |
| 30 | Turkey | 20,558,696.00 | 2010 est. |
| 31 | Egypt | 20,145,021.00 | 2010 est. |
| 32 | Ethiopia | 19,726,816.00 | 2010 est. |
| 33 | Ethiopia | 19,067,499.00 | 2010 est. |
| 34 | Germany | 18,529,299.00 | 2010 est. |
| 35 | Germany | 17,888,543.00 | 2010 est. |
| 36 | Thailand | 17,754,795.00 | 2010 est. |
| 37 | Thailand | 17,689,921.00 | 2010 est. |
| 38 | Congo, Democratic Republic of the | 15,980,106.00 | 2010 est. |
| 39 | United Kingdom | 14,856,917.00 | 2010 est. |
| 40 | Burma | 14,747,845.00 | 2010 est. |
| 41 | Burma | 14,710,871.00 | 2010 est. |
| 42 | France | 14,563,662.00 | 2010 est. |
| 43 | United Kingdom | 14,307,316.00 | 2010 est. |
| 44 | France | 14,238,434.00 | 2010 est. |
| 45 | Italy | 14,003,755.00 | 2010 est. |
| 46 | Italy | 13,865,688.00 | 2010 est. |
| 47 | South Africa | 13,439,781.00 | 2010 est. |
| 48 | Korea, South | 13,185,794.00 | 2010 est. |
| 49 | South Africa | 12,473,641.00 | 2010 est. |
| 50 | Korea, South | 12,423,496.00 | 2010 est. |
| 51 | Spain | 11,759,557.00 | 2010 est. |
| 52 | Colombia | 11,727,625.00 | 2010 est. |
| 53 | Colombia | 11,692,647.00 | 2010 est. |
| 54 | Ukraine | 11,260,000.00 | 2010 est. |
| 55 | Spain | 11,204,688.00 | 2010 est. |
| 56 | Ukraine | 10,984,394.00 | 2010 est. |
| 57 | Sudan | 10,433,973.00 | 2010 est. |
| 58 | Sudan | 10,411,443.00 | 2010 est. |
| 59 | Algeria | 10,273,129.00 | 2010 est. |
| 60 | Algeria | 10,114,552.00 | 2010 est. |
| 61 | Argentina | 10,038,967.00 | 2010 est. |
| 62 | Tanzania | 9,985,445.00 | 2010 est. |
| 63 | Argentina | 9,959,134.00 | 2010 est. |
| 64 | Kenya | 9,768,140.00 | 2010 est. |
| 65 | Poland | 9,531,855.00 | 2010 est. |
| 66 | Kenya | 9,466,257.00 | 2010 est. |
| 67 | Poland | 9,298,593.00 | 2010 est. |
| 68 | Morocco | 8,691,419.00 | 2010 est. |
| 69 | Saudi Arabia | 8,644,522.00 | 2010 est. |
| 70 | Morocco | 8,252,682.00 | 2010 est. |
| 71 | Canada | 8,031,266.00 | 2010 est. |
| 72 | Uzbekistan | 7,887,292.00 | 2010 est. |
| 73 | Uzbekistan | 7,886,459.00 | 2010 est. |
| 74 | Iraq | 7,767,329.00 | 2010 est. |
| 75 | Canada | 7,755,550.00 | 2010 est. |
| 76 | Peru | 7,727,623.00 | 2010 est. |
| 77 | Nepal | 7,618,397.00 | 2010 est. |
| 78 | Malaysia | 7,501,518.00 | 2010 est. |
| 79 | Iraq | 7,461,766.00 | 2010 est. |
| 80 | Peru | 7,385,588.00 | 2010 est. |
