CIA - The World Factbook --  Manpower reaching militarily significant age annually   

This entry gives the number of males and females entering the military manpower pool (i.e., reaching age 16) in any given year and is a measure of the availability of military-age young adults.

| Rank | country | Manpower reaching militarily significant age annually | Date of Information |
| --- | --- | --- | --- |
| 1 | India | 11,795,000.00 | 2009 est. |
| 2 | India | 10,820,590.00 | 2009 est. |
| 3 | China | 10,621,373.00 | 2009 est. |
| 4 | China | 9,533,880.00 | 2009 est. |
| 5 | Indonesia | 2,197,323.00 | 2009 est. |
| 6 | United States | 2,196,124.00 | 2009 est. |
| 7 | Indonesia | 2,126,412.00 | 2009 est. |
| 8 | Pakistan | 2,089,936.00 | 2009 est. |
| 9 | United States | 2,085,085.00 | 2009 est. |
| 10 | Pakistan | 1,964,090.00 | 2009 est. |
| 11 | Nigeria | 1,697,030.00 | 2009 est. |
| 12 | Brazil | 1,690,031.00 | 2009 est. |
| 13 | Bangladesh | 1,666,670.00 | 2009 est. |
| 14 | Brazil | 1,630,851.00 | 2009 est. |
| 15 | Nigeria | 1,618,561.00 | 2009 est. |
| 16 | Bangladesh | 1,538,865.00 | 2009 est. |
| 17 | Mexico | 1,109,981.00 | 2009 est. |
| 18 | Mexico | 1,072,094.00 | 2009 est. |
| 19 | Philippines | 1,023,431.00 | 2009 est. |
| 20 | Philippines | 986,434.00 | 2009 est. |
| 21 | Ethiopia | 916,354.00 | 2009 est. |
| 22 | Ethiopia | 908,384.00 | 2009 est. |
| 23 | Vietnam | 893,726.00 | 2009 est. |
| 24 | Vietnam | 834,279.00 | 2009 est. |
| 25 | Egypt | 831,157.00 | 2009 est. |
| 26 | Congo, Democratic Republic of the | 814,199.00 | 2009 est. |
| 27 | Congo, Democratic Republic of the | 811,238.00 | 2009 est. |
| 28 | Egypt | 792,330.00 | 2009 est. |
| 29 | Russia | 741,692.00 | 2009 est. |
| 30 | Russia | 706,081.00 | 2009 est. |
| 31 | Iran | 700,213.00 | 2009 est. |
| 32 | Turkey | 692,592.00 | 2009 est. |
| 33 | Iran | 664,846.00 | 2009 est. |
| 34 | Turkey | 663,689.00 | 2009 est. |
| 35 | Japan | 621,254.00 | 2009 est. |
| 36 | Japan | 589,270.00 | 2009 est. |
| 37 | Thailand | 532,977.00 | 2009 est. |
| 38 | South Africa | 511,616.00 | 2009 est. |
| 39 | Thailand | 510,737.00 | 2009 est. |
| 40 | South Africa | 510,540.00 | 2009 est. |
| 41 | Sudan | 498,376.00 | 2009 est. |
| 42 | Tanzania | 489,462.00 | 2009 est. |
| 43 | Tanzania | 487,742.00 | 2009 est. |
| 44 | Sudan | 479,005.00 | 2009 est. |
| 45 | Colombia | 446,432.00 | 2009 est. |
| 46 | Colombia | 437,164.00 | 2009 est. |
| 47 | Germany | 431,508.00 | 2009 est. |
| 48 | Burma | 426,110.00 | 2009 est. |
| 49 | Burma | 417,674.00 | 2009 est. |
| 50 | Kenya | 412,656.00 | 2009 est. |
| 51 | Germany | 409,111.00 | 2009 est. |
| 52 | Kenya | 408,657.00 | 2009 est. |
| 53 | Uganda | 399,134.00 | 2009 est. |
| 54 | Uganda | 395,505.00 | 2009 est. |
| 55 | United Kingdom | 393,892.00 | 2009 est. |
| 56 | France | 391,480.00 | 2009 est. |
| 57 | Afghanistan | 382,720.00 | 2009 est. |
| 58 | United Kingdom | 376,351.00 | 2009 est. |
| 59 | Algeria | 375,852.00 | 2009 est. |
