CIA - The World Factbook --  Natural gas - consumption   

This entry is the total natural gas consumed in cubic meters (cu m). The discrepancy between the amount of natural gas produced and/or imported and the amount consumed and/or exported is due to the omission of stock changes and other complicating factors.

| Rank | country | (cu m) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 646,600,000,000 | 2009 est. |
| 2 | European Union | 489,400,000,000 | 2009 est. |
| 3 | Russia | 439,600,000,000 | 2009 |
| 4 | Iran | 140,000,000,000 | 2008 est. |
| 5 | Germany | 96,260,000,000 | 2009 est. |
| 6 | Japan | 94,670,000,000 | 2009 est. |
| 7 | Canada | 94,620,000,000 | 2009 est. |
| 8 | United Kingdom | 87,450,000,000 | 2009 est. |
| 9 | China | 87,080,000,000 | 2009 |
| 10 | Italy | 78,120,000,000 | 2009 est. |
| 11 | Saudi Arabia | 77,100,000,000 | 2009 est. |
| 12 | Mexico | 59,800,000,000 | 2009 est. |
| 13 | United Arab Emirates | 59,420,000,000 | 2008 est. |
| 14 | Uzbekistan | 52,600,000,000 | 2008 est. |
| 15 | Ukraine | 52,000,000,000 | 2009 est. |
| 16 | India | 51,270,000,000 | 2009 est. |
| 17 | Netherlands | 48,600,000,000 | 2009 est. |
| 18 | France | 44,840,000,000 | 2009 est. |
| 19 | Argentina | 43,140,000,000 | 2009 est. |
| 20 | Egypt | 42,500,000,000 | 2009 est. |
| 21 | Pakistan | 37,500,000,000 | 2008 est. |
| 22 | Thailand | 37,310,000,000 | 2008 est. |
| 23 | Indonesia | 36,500,000,000 | 2008 est. |
| 24 | Turkey | 35,070,000,000 | 2009 est. |
| 25 | Korea, South | 34,090,000,000 | 2009 est. |
| 26 | Spain | 33,880,000,000 | 2009 est. |
| 27 | Kazakhstan | 33,680,000,000 | 2008 est. |
| 28 | Algeria | 26,830,000,000 | 2008 est. |
| 29 | Australia | 26,590,000,000 | 2009 est. |
| 30 | Malaysia | 26,270,000,000 | 2008 est. |
| 31 | Venezuela | 24,860,000,000 | 2009 est. |
| 32 | Trinidad and Tobago | 21,940,000,000 | 2008 est. |
| 33 | Qatar | 20,200,000,000 | 2008 est. |
| 34 | Turkmenistan | 20,000,000,000 | 2009 est. |
| 35 | Bangladesh | 19,700,000,000 | 2008 est. |
| 36 | Brazil | 18,720,000,000 | 2009 est. |
| 37 | Belarus | 17,000,000,000 | 2009 est. |
| 38 | Romania | 16,920,000,000 | 2008 est. |
| 39 | Belgium | 16,870,000,000 | 2009 est. |
| 40 | Poland | 16,330,000,000 | 2009 est. |
| 41 | Oman | 13,460,000,000 | 2008 est. |
| 42 | Kuwait | 12,700,000,000 | 2008 est. |
| 43 | Bahrain | 12,640,000,000 | 2008 est. |
| 44 | Taiwan | 12,440,000,000 | 2008 est. |
