CIA - The World Factbook --  NATURAL GAS - CONSUMPTION

Natural gas - consumption compares the total natural gas consumed in cubic meters (cu m).

| Rank | Country | (CU M) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 737,300,000,000 | 2013 est. |
| 2 | European Union | 438,100,000,000 | 2012 est. |
| 3 | Russia | 413,500,000,000 | 2013 est. |
| 4 | Iran | 162,200,000,000 | 2012 est. |
| 5 | China | 161,600,000,000 | 2013 est. |
| 6 | Japan | 127,200,000,000 | 2013 est. |
| 7 | Saudi Arabia | 103,000,000,000 | 2013 est. |
| 8 | Canada | 89,480,000,000 | 2013 est. |
| 9 | Germany | 88,440,000,000 | 2013 est. |
| 10 | United Kingdom | 77,440,000,000 | 2013 est. |
| 11 | Italy | 70,070,000,000 | 2013 est. |
| 12 | Mexico | 64,580,000,000 | 2013 est. |
| 13 | United Arab Emirates | 63,290,000,000 | 2012 est. |
| 14 | India | 53,980,000,000 | 2013 est. |
| 15 | Egypt | 53,800,000,000 | 2012 est. |
| 16 | Korea, South | 53,150,000,000 | 2013 est. |
| 17 | Uzbekistan | 52,700,000,000 | 2012 est. |
| 18 | Ukraine | 52,550,000,000 | 2012 est. |
| 19 | Thailand | 50,860,000,000 | 2012 est. |
| 20 | Argentina | 48,000,000,000 | 2013 est. |
| 21 | Netherlands | 46,360,000,000 | 2013 est. |
| 22 | Turkey | 45,640,000,000 | 2013 est. |
| 23 | France | 43,770,000,000 | 2013 est. |
| 24 | Pakistan | 41,400,000,000 | 2012 est. |
| 25 | Indonesia | 37,630,000,000 | 2012 est. |
| 26 | Brazil | 37,600,000,000 | 2013 est. |
| 27 | Australia | 35,650,000,000 | 2013 est. |
| 28 | Qatar | 35,580,000,000 | 2012 est. |
| 29 | Algeria | 32,300,000,000 | 2012 est. |
| 30 | Malaysia | 31,250,000,000 | 2012 est. |
| 31 | Venezuela | 30,500,000,000 | 2013 est. |
| 32 | Spain | 29,980,000,000 | 2013 est. |
| 33 | Turkmenistan | 24,570,000,000 | 2012 est. |
| 34 | Trinidad and Tobago | 22,290,000,000 | 2012 est. |
| 35 | Bangladesh | 21,860,000,000 | 2012 est. |
| 36 | Belarus | 20,920,000,000 | 2012 est. |
| 37 | Oman | 20,260,000,000 | 2012 est. |
| 38 | Poland | 18,230,000,000 | 2013 est. |
| 39 | Kuwait | 18,180,000,000 | 2012 est. |
| 40 | Belgium | 17,630,000,000 | 2013 est. |
| 41 | Taiwan | 17,040,000,000 | 2012 est. |
| 42 | Bahrain | 13,630,000,000 | 2012 est. |
| 43 | Romania | 13,480,000,000 | 2012 est. |
| 44 | Peru | 11,850,000,000 | 2012 est. |
| 45 | Kazakhstan | 10,950,000,000 | 2012 est. |
| 46 | Azerbaijan | 10,740,000,000 | 2012 est. |
| 47 | Hungary | 9,603,000,000 | 2013 est. |
| 48 | Bolivia | 9,432,000,000 | 2013 est. |
| 49 | Colombia | 9,390,000,000 | 2012 est. |
| 50 | Singapore | 9,380,000,000 | 2012 est. |
| 51 | Austria | 8,528,000,000 | 2013 est. |
| 52 | Czech Republic | 8,477,000,000 | 2013 est. |
| 53 | Vietnam | 8,393,000,000 | 2012 est. |
| 54 | Israel | 7,538,000,000 | 2013 est. |
| 55 | Nigeria | 6,916,000,000 | 2012 est. |
| 56 | Syria | 6,442,000,000 | 2012 est. |
| 57 | Norway | 5,940,000,000 | 2013 est. |
| 58 | Slovakia | 5,820,000,000 | 2013 est. |
| 59 | Libya | 5,716,000,000 | 2012 est. |
| 60 | Ireland | 4,770,000,000 | 2013 est. |
| 61 | New Zealand | 4,718,000,000 | 2013 est. |
