CIA - The World Factbook --  NATURAL GAS - IMPORTS

Natural gas - imports compares the total natural gas imported in cubic meters (cu m).

| Rank | Country | (CU M) | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | 420,600,000,000 | 2010 est. |
| 2 | Japan | 128,300,000,000 | 2014 est. |
| 3 | Germany | 86,840,000,000 | 2014 est. |
| 4 | United States | 76,320,000,000 | 2014 est. |
| 5 | China | 59,700,000,000 | 2014 est. |
| 6 | Italy | 55,760,000,000 | 2014 est. |
| 7 | Korea, South | 49,080,000,000 | 2014 est. |
| 8 | Turkey | 48,890,000,000 | 2014 est. |
| 9 | United Kingdom | 42,830,000,000 | 2014 est. |
| 10 | France | 41,180,000,000 | 2014 est. |
| 11 | Spain | 36,390,000,000 | 2014 est. |
| 12 | Netherlands | 29,100,000,000 | 2014 est. |
| 13 | Mexico | 27,390,000,000 | 2014 est. |
| 14 | Russia | 24,200,000,000 | 2014 est. |
| 15 | Canada | 21,890,000,000 | 2014 est. |
| 16 | Belarus | 20,100,000,000 | 2014 est. |
| 17 | United Arab Emirates | 19,490,000,000 | 2013 est. |
| 18 | Brazil | 19,000,000,000 | 2014 est. |
| 19 | Taiwan | 18,950,000,000 | 2015 est. |
| 20 | India | 18,900,000,000 | 2014 est. |
| 21 | Belgium | 16,850,000,000 | 2014 est. |
| 22 | Ukraine | 16,400,000,000 | 2015 est. |
| 23 | Poland | 11,820,000,000 | 2014 est. |
| 24 | Argentina | 11,200,000,000 | 2013 est. |
| 25 | Thailand | 10,470,000,000 | 2013 est. |
| 26 | Austria | 10,170,000,000 | 2014 est. |
| 27 | Singapore | 9,620,000,000 | 2013 est. |
| 28 | Hungary | 8,167,000,000 | 2015 est. |
| 29 | Czechia | 7,249,000,000 | 2014 est. |
| 30 | Australia | 6,937,000,000 | 2014 est. |
| 31 | Iran | 6,886,000,000 | 2014 est. |
| 32 | Kazakhstan | 6,500,000,000 | 2013 est. |
| 33 | Ireland | 4,246,000,000 | 2014 est. |
| 34 | Slovakia | 4,210,000,000 | 2014 est. |
| 35 | Portugal | 4,069,000,000 | 2014 est. |
| 36 | South Africa | 3,771,000,000 | 2013 est. |
| 37 | Chile | 3,715,000,000 | 2014 est. |
| 38 | Moldova | 3,280,000,000 | 2013 est. |
| 39 | Switzerland | 3,261,000,000 | 2014 est. |
| 40 | Lithuania | 3,240,000,000 | 2013 est. |
| 41 | Finland | 3,080,000,000 | 2014 est. |
| 42 | Greece | 2,931,000,000 | 2014 est. |
| 43 | Egypt | 2,832,000,000 | 2013 est. |
| 44 | Hong Kong | 2,743,000,000 | 2013 est. |
| 45 | Bulgaria | 2,725,000,000 | 2014 est. |
| 46 | Malaysia | 2,340,000,000 | 2012 est. |
| 47 | Tunisia | 2,200,000,000 | 2013 est. |
| 48 | Armenia | 2,061,000,000 | 2014 est. |
| 49 | Georgia | 2,030,000,000 | 2013 est. |
| 50 | Oman | 1,950,000,000 | 2013 est. |
| 51 | Venezuela | 1,839,000,000 | 2014 est. |
| 52 | Puerto Rico | 1,663,000,000 | 2014 est. |
| 53 | Serbia | 1,629,000,000 | 2014 est. |
| 54 | Dominican Republic | 1,450,000,000 | 2013 est. |
| 55 | Latvia | 1,410,000,000 | 2013 est. |
| 56 | Morocco | 1,102,000,000 | 2013 est. |
| 57 | Croatia | 1,079,000,000 | 2014 est. |
| 58 | Luxembourg | 979,000,000 | 2014 est. |
| 59 | Sweden | 892,000,000 | 2014 est. |
| 60 | Jordan | 865,000,000 | 2013 est. |
| 61 | Slovenia | 767,000,000 | 2014 est. |
| 62 | Denmark | 625,000,000 | 2014 est. |
| 63 | Kuwait | 571,000,000 | 2013 est. |
| 64 | Estonia | 530,000,000 | 2014 est. |
| 65 | Ghana | 430,000,000 | 2013 est. |
| 66 | Kyrgyzstan | 374,000,000 | 2013 est. |
| 67 | Syria | 350,000,000 | 2013 est. |
| 68 | Romania | 277,100,000 | 2015 est. |
| 69 | Bosnia and Herzegovina | 275,000,000 | 2014 est. |
| 70 | Tajikistan | 198,000,000 | 2013 est. |
| 71 | Macedonia | 134,700,000 | 2014 est. |
| 72 | Israel | 60,000,000 | 2014 est. |
| 73 | Uruguay | 50,000,000 | 2013 est. |
| 74 | Macau | 371,000 | 2013 est. |
| 75 | Aruba | 1 | 2013 est. |
| 76 | British Virgin Islands | 0 | 2013 est. |
| 77 | Vietnam | 0 | 2013 est. |
| 78 | Virgin Islands | 0 | 2014 est. |
| 79 | Namibia | 0 | 2013 est. |
| 80 | West Bank | 0 | 2013 est. |
| 81 | Western Sahara | 0 | 2013 est. |
| 82 | Samoa | 0 | 2013 est. |
| 83 | Swaziland | 0 | 2013 est. |
| 84 | Yemen | 0 | 2013 est. |
| 85 | Zambia | 0 | 2013 est. |
| 86 | Zimbabwe | 0 | 2013 est. |
| 87 | Kenya | 0 | 2013 est. |
| 88 | Korea, North | 0 | 2013 est. |
| 89 | Kiribati | 0 | 2013 est. |
| 90 | Laos | 0 | 2013 est. |
| 91 | Lebanon | 0 | 2013 est. |
| 92 | Liberia | 0 | 2013 est. |
| 93 | Lesotho | 0 | 2013 est. |
| 94 | Libya | 0 | 2013 est. |
| 95 | Madagascar | 0 | 2013 est. |
| 96 | Mongolia | 0 | 2013 est. |
| 97 | Montserrat | 0 | 2013 est. |
| 98 | Malawi | 0 | 2013 est. |
| 99 | Montenegro | 0 | 2013 est. |
| 100 | Mali | 0 | 2013 est. |
| 101 | Mauritius | 0 | 2013 est. |
| 102 | Mauritania | 0 | 2013 est. |
| 103 | Malta | 0 | 2013 est. |
| 104 | Maldives | 0 | 2013 est. |
| 105 | Mozambique | 0 | 2013 est. |
| 106 | New Caledonia | 0 | 2013 est. |
| 107 | Niue | 0 | 2013 est. |
| 108 | Niger | 0 | 2013 est. |
| 109 | Vanuatu | 0 | 2013 est. |
| 110 | Nigeria | 0 | 2013 est. |
| 111 | Norway | 0 | 2014 est. |
| 112 | Nepal | 0 | 2013 est. |
| 113 | Nauru | 0 | 2013 est. |
| 114 | Suriname | 0 | 2013 est. |
| 115 | Nicaragua | 0 | 2016 est. |
| 116 | New Zealand | 0 | 2014 est. |
| 117 | South Sudan | 0 | 2013 est. |
| 118 | Paraguay | 0 | 2013 est. |
| 119 | Peru | 0 | 2013 est. |
| 120 | Pakistan | 0 | 2013 est. |
| 121 | Panama | 0 | 2013 est. |
| 122 | Papua New Guinea | 0 | 2013 est. |
| 123 | Guinea-Bissau | 0 | 2013 est. |
| 124 | Qatar | 0 | 2013 est. |
| 125 | Philippines | 0 | 2013 est. |
| 126 | Rwanda | 0 | 2013 est. |
| 127 | Saudi Arabia | 0 | 2014 est. |
| 128 | Saint Pierre and Miquelon | 0 | 2013 est. |
| 129 | Saint Kitts and Nevis | 0 | 2013 est. |
| 130 | Seychelles | 0 | 2013 est. |
| 131 | Senegal | 0 | 2013 est. |
| 132 | Saint Helena, Ascension, and Tristan da Cunha | 0 | 2013 est. |
| 133 | Sierra Leone | 0 | 2013 est. |
| 134 | Somalia | 0 | 2013 est. |
| 135 | Saint Lucia | 0 | 2013 est. |
| 136 | Sudan | 0 | 2013 est. |
| 137 | Svalbard | 0 | 2013 est. |
| 138 | Trinidad and Tobago | 0 | 2013 est. |
| 139 | Turks and Caicos Islands | 0 | 2013 est. |
| 140 | Tonga | 0 | 2013 est. |
| 141 | Togo | 0 | 2013 est. |
| 142 | Sao Tome and Principe | 0 | 2013 est. |
| 143 | Timor-Leste | 0 | 2013 est. |
| 144 | Tuvalu | 0 | 2014 |
| 145 | Turkmenistan | 0 | 2014 est. |
| 146 | Tanzania | 0 | 2013 est. |
| 147 | Uganda | 0 | 2013 est. |
| 148 | Burkina Faso | 0 | 2013 est. |
| 149 | Uzbekistan | 0 | 2013 est. |
| 150 | Saint Vincent and the Grenadines | 0 | 2013 est. |
| 151 | Antigua and Barbuda | 0 | 2013 est. |
| 152 | Afghanistan | 0 | 2013 est. |
| 153 | Algeria | 0 | 2013 est. |
| 154 | Azerbaijan | 0 | 2013 est. |
| 155 | Albania | 0 | 2013 est. |
| 156 | Angola | 0 | 2013 est. |
| 157 | American Samoa | 0 | 2013 est. |
| 158 | Bahrain | 0 | 2013 est. |
| 159 | Barbados | 0 | 2013 est. |
| 160 | Botswana | 0 | 2013 est. |
| 161 | Bermuda | 0 | 2014 est. |
| 162 | Bahamas, The | 0 | 2013 est. |
| 163 | Bangladesh | 0 | 2013 est. |
| 164 | Belize | 0 | 2013 est. |
| 165 | Bolivia | 0 | 2013 est. |
| 166 | Burma | 0 | 2013 est. |
| 167 | Benin | 0 | 2013 est. |
| 168 | Solomon Islands | 0 | 2013 est. |
| 169 | Bhutan | 0 | 2013 est. |
| 170 | Brunei | 0 | 2014 est. |
| 171 | Burundi | 0 | 2013 est. |
| 172 | Cambodia | 0 | 2013 est. |
| 173 | Curacao | 0 | 2009 est. |
| 174 | Chad | 0 | 2013 est. |
| 175 | Sri Lanka | 0 | 2013 est. |
| 176 | Congo, Republic of the | 0 | 2013 est. |
| 177 | Congo, Democratic Republic of the | 0 | 2013 est. |
| 178 | Cayman Islands | 0 | 2013 est. |
| 179 | Cameroon | 0 | 2013 est. |
