CIA - The World Factbook --  NATURAL GAS - PRODUCTION

Natural gas - production compares the total natural gas produced in cubic meters (cu m).

| Rank | Country | (CU M) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 766,200,000,000 | 2015 est. |
| 2 | Russia | 598,600,000,000 | 2015 est. |
| 3 | Iran | 184,800,000,000 | 2015 est. |
| 4 | Qatar | 164,000,000,000 | 2015 est. |
| 5 | Canada | 149,900,000,000 | 2015 est. |
| 6 | China | 138,400,000,000 | 2016 est. |
| 7 | European Union | 120,000,000,000 | 2015 est. |
| 8 | Norway | 117,200,000,000 | 2015 est. |
| 9 | Saudi Arabia | 102,300,000,000 | 2015 est. |
| 10 | Turkmenistan | 83,700,000,000 | 2015 est. |
| 11 | Algeria | 83,040,000,000 | 2015 est. |
| 12 | Indonesia | 72,800,000,000 | 2015 est. |
| 13 | Australia | 67,200,000,000 | 2015 est. |
| 14 | Malaysia | 63,430,000,000 | 2015 est. |
| 15 | United Arab Emirates | 60,180,000,000 | 2015 est. |
| 16 | Uzbekistan | 55,700,000,000 | 2015 est. |
| 17 | Netherlands | 47,460,000,000 | 2016 est. |
| 18 | Nigeria | 45,150,000,000 | 2015 est. |
| 19 | United Kingdom | 41,340,000,000 | 2015 est. |
| 20 | Trinidad and Tobago | 40,870,000,000 | 2015 est. |
| 21 | Mexico | 40,370,000,000 | 2015 est. |
| 22 | Thailand | 39,820,000,000 | 2015 est. |
| 23 | Pakistan | 39,300,000,000 | 2015 est. |
| 24 | Argentina | 36,400,000,000 | 2015 est. |
| 25 | India | 31,240,000,000 | 2015 est. |
| 26 | Oman | 29,930,000,000 | 2015 est. |
| 27 | Azerbaijan | 29,370,000,000 | 2016 est. |
| 28 | Bangladesh | 26,860,000,000 | 2015 est. |
| 29 | Venezuela | 26,000,000,000 | 2015 est. |
| 30 | Kazakhstan | 21,380,000,000 | 2016 est. |
| 31 | Bolivia | 21,100,000,000 | 2016 est. |
| 32 | Brazil | 20,410,000,000 | 2015 est. |
| 33 | Ukraine | 19,000,000,000 | 2015 est. |
| 34 | Burma | 17,500,000,000 | 2015 est. |
| 35 | Kuwait | 16,910,000,000 | 2015 est. |
| 36 | Bahrain | 15,500,000,000 | 2015 est. |
| 37 | Peru | 12,620,000,000 | 2015 est. |
| 38 | Brunei | 12,000,000,000 | 2015 est. |
| 39 | Colombia | 11,910,000,000 | 2015 est. |
| 40 | Libya | 11,600,000,000 | 2015 est. |
| 41 | Romania | 11,170,000,000 | 2015 est. |
| 42 | Papua New Guinea | 9,800,000,000 | 2015 est. |
| 43 | Vietnam | 9,080,000,000 | 2015 est. |
| 44 | Germany | 8,730,000,000 | 2015 est. |
| 45 | Israel | 8,500,000,000 | 2015 est. |
| 46 | Timor-Leste | 7,700,000,000 | 2015 est. |
| 47 | Equatorial Guinea | 6,200,000,000 | 2015 est. |
| 48 | Poland | 6,132,000,000 | 2015 est. |
| 49 | Italy | 5,785,000,000 | 2016 est. |
| 50 | Mozambique | 5,695,000,000 | 2015 est. |
| 51 | New Zealand | 4,954,000,000 | 2015 est. |
| 52 | Denmark | 4,618,000,000 | 2015 est. |
| 53 | Japan | 4,453,000,000 | 2015 est. |
| 54 | Syria | 4,300,000,000 | 2015 est. |
| 55 | Egypt | 3,610,000,000 | 2015 est. |
| 56 | Yemen | 2,850,000,000 | 2015 est. |
| 57 | Philippines | 2,600,000,000 | 2015 est. |
| 58 | Cote d'Ivoire | 2,063,000,000 | 2015 est. |
| 59 | Croatia | 1,829,000,000 | 2015 est. |
| 60 | Hungary | 1,772,000,000 | 2015 est. |
| 61 | Tunisia | 1,575,000,000 | 2015 est. |
| 62 | Congo, Republic of the | 1,500,000,000 | 2015 est. |
| 63 | Austria | 1,263,000,000 | 2015 est. |
| 64 | Cuba | 1,250,000,000 | 2015 est. |
| 65 | Tanzania | 1,100,000,000 | 2015 est. |
| 66 | South Africa | 1,100,000,000 | 2015 est. |
| 67 | Chile | 1,008,000,000 | 2015 est. |
| 68 | Iraq | 1,002,000,000 | 2015 est. |
| 69 | Angola | 773,000,000 | 2015 est. |
| 70 | Cameroon | 680,000,000 | 2015 est. |
| 71 | Serbia | 586,300,000 | 2016 est. |
| 72 | Ecuador | 497,000,000 | 2015 est. |
| 73 | Turkey | 381,000,000 | 2015 est. |
| 74 | Gabon | 378,000,000 | 2015 est. |
| 75 | Taiwan | 340,000,000 | 2015 est. |
| 76 | Czechia | 247,000,000 | 2015 est. |
| 77 | Afghanistan | 189,000,000 | 2015 est. |
| 78 | Korea, South | 188,000,000 | 2015 est. |
| 79 | Jordan | 151,000,000 | 2015 est. |
| 80 | Ireland | 132,000,000 | 2015 est. |
| 81 | Slovakia | 94,000,000 | 2015 est. |
| 82 | Morocco | 94,000,000 | 2015 est. |
| 83 | Bulgaria | 94,000,000 | 2016 est. |
| 84 | Ghana | 63,540,000 | 2016 est. |
| 85 | Spain | 62,000,000 | 2015 est. |
| 86 | Senegal | 62,000,000 | 2015 est. |
| 87 | Albania | 35,000,000 | 2015 est. |
| 88 | Belarus | 30,000,000 | 2015 est. |
| 89 | Kyrgyzstan | 30,000,000 | 2015 est. |
| 90 | France | 28,000,000 | 2015 est. |
| 91 | Switzerland | 25,000,000 | 2015 est. |
| 92 | Tajikistan | 20,000,000 | 2015 est. |
| 93 | Barbados | 20,000,000 | 2014 est. |
| 94 | Moldova | 10,000,000 | 2015 est. |
| 95 | Georgia | 10,000,000 | 2015 est. |
| 96 | Congo, Democratic Republic of the | 8,495,000 | 2011 est. |
| 97 | Finland | 8,000,000 | 2015 est. |
| 98 | Luxembourg | 6,000,000 | 2015 est. |
| 99 | Slovenia | 4,500,000 | 2016 est. |
| 100 | Greece | 4,000,000 | 2015 est. |
| 101 | Aruba | 1 | 2013 est. |
