CIA - The World Factbook --  Natural gas - proved reserves   

This entry is the stock of proved reserves of natural gas in cubic meters (cu m). Proved reserves are those quantities of natural gas, which, by analysis of geological and engineering data, can be estimated with a high degree of confidence to be commercially recoverable from a given date forward, from known reservoirs and under current economic conditions.

| Rank | country | (cu m) | Date of Information |
| --- | --- | --- | --- |
| 1 | Russia | 47,570,000,000,000 | 1 January 2009 est. |
| 2 | Iran | 28,080,000,000,000 | 1 January 2009 est. |
| 3 | Qatar | 25,260,000,000,000 | 1 January 2009 est. |
| 4 | Saudi Arabia | 7,319,000,000,000 | 1 January 2009 est. |
| 5 | United States | 6,731,000,000,000 | 1 January 2009 est. |
| 6 | United Arab Emirates | 6,071,000,000,000 | 1 January 2009 est. |
| 7 | Nigeria | 5,215,000,000,000 | 1 January 2009 est. |
| 8 | Venezuela | 4,840,000,000,000 | 1 January 2009 est. |
| 9 | Algeria | 4,502,000,000,000 | 1 January 2009 est. |
| 10 | Iraq | 3,170,000,000,000 | 1 January 2009 est. |
| 11 | Indonesia | 3,001,000,000,000 | 1 January 2009 est. |
| 12 | Turkmenistan | 2,662,000,000,000 | 1 January 2009 est. |
| 13 | Kazakhstan | 2,407,000,000,000 | 1 January 2009 est. |
| 14 | Malaysia | 2,350,000,000,000 | 1 January 2009 est. |
| 15 | European Union | 2,318,000,000,000 | 1 January 2008 est. |
| 16 | Norway | 2,313,000,000,000 | 1 January 2009 est. |
| 17 | China | 2,265,000,000,000 | 1 January 2009 est. |
| 18 | Uzbekistan | 1,841,000,000,000 | 1 January 2009 est. |
| 19 | Kuwait | 1,794,000,000,000 | 1 January 2009 est. |
| 20 | Egypt | 1,656,000,000,000 | 1 January 2009 est. |
| 21 | Canada | 1,640,000,000,000 | 1 January 2009 est. |
| 22 | Libya | 1,540,000,000,000 | 1 January 2009 est. |
| 23 | Netherlands | 1,416,000,000,000 | 1 January 2009 est. |
| 24 | Ukraine | 1,104,000,000,000 | 1 January 2009 est. |
| 25 | India | 1,075,000,000,000 | 1 January 2009 est. |
| 26 | Pakistan | 885,300,000,000 | 1 January 2009 est. |
| 27 | Azerbaijan | 849,500,000,000 | 1 January 2009 est. |
| 28 | Australia | 849,500,000,000 | 1 January 2009 est. |
| 29 | Oman | 849,500,000,000 | 1 January 2009 est. |
| 30 | Bolivia | 750,400,000,000 | 1 January 2009 est. |
| 31 | Trinidad and Tobago | 531,500,000,000 | 1 January 2009 est. |
| 32 | Yemen | 478,500,000,000 | 1 January 2009 est. |
| 33 | Argentina | 441,700,000,000 | 1 January 2009 est. |
| 34 | Brunei | 390,800,000,000 | 1 January 2009 est. |
| 35 | Mexico | 372,700,000,000 | 1 January 2009 est. |
| 36 | Brazil | 365,000,000,000 | 1 January 2009 est. |
| 37 | United Kingdom | 342,900,000,000 | 1 January 2009 est. |
| 38 | Peru | 335,300,000,000 | 1 January 2009 est. |
| 39 | Thailand | 317,100,000,000 | 1 January 2009 est. |
| 40 | Burma | 283,200,000,000 | 1 January 2009 est. |
| 41 | Angola | 269,800,000,000 | 1 January 2009 est. |
| 42 | Syria | 240,700,000,000 | 1 January 2009 est. |
| 43 | Papua New Guinea | 226,500,000,000 | 1 January 2009 est. |
| 44 | Timor-Leste | 200,000,000,000 | 1 January 2006 est. |
| 45 | Vietnam | 192,500,000,000 | 1 January 2009 est. |
| 46 | Germany | 175,600,000,000 | 1 January 2009 est. |
| 47 | Poland | 164,800,000,000 | 1 January 2009 est. |
| 48 | Bangladesh | 141,600,000,000 | 1 January 2009 est. |
| 49 | Cameroon | 135,100,000,000 | 1 January 2009 est. |
| 50 | Mozambique | 127,400,000,000 | 1 January 2009 est. |
| 51 | Colombia | 105,900,000,000 | 1 January 2009 est. |
| 52 | Philippines | 98,540,000,000 | 1 January 2009 est. |
| 53 | Chile | 97,970,000,000 | 1 January 2009 est. |
| 54 | Italy | 94,150,000,000 | 1 January 2009 est. |
| 55 | Bahrain | 92,030,000,000 | 1 January 2009 est. |
| 56 | Congo, Republic of the | 90,610,000,000 | 1 January 2009 est. |
| 57 | Sudan | 84,950,000,000 | 1 January 2009 est. |
| 58 | Cuba | 70,790,000,000 | 1 January 2009 est. |
| 59 | Tunisia | 65,130,000,000 | 1 January 2009 est. |
| 60 | Romania | 63,000,000,000 | 1 January 2009 est. |
