CIA - The World Factbook --  Oil - consumption   

This entry is the total oil consumed in barrels per day (bbl/day). The discrepancy between the amount of oil produced and/or imported and the amount consumed and/or exported is due to the omission of stock changes, refinery gains, and other complicating factors.

| Rank | country | (bbl/day) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 19,500,000 | 2008 est. |
| 2 | European Union | 14,440,000 | 2007 est. |
| 3 | China | 7,850,000 | 2008 est. |
| 4 | Japan | 4,785,000 | 2008 est. |
| 5 | India | 2,940,000 | 2008 est. |
| 6 | Russia | 2,900,000 | 2008 est. |
| 7 | Germany | 2,569,000 | 2008 est. |
| 8 | Brazil | 2,520,000 | 2008 est. |
| 9 | Saudi Arabia | 2,380,000 | 2008 est. |
| 10 | Canada | 2,260,000 | 2008 est. |
| 11 | Korea, South | 2,175,000 | 2008 est. |
| 12 | Mexico | 2,128,000 | 2008 est. |
| 13 | France | 1,986,000 | 2008 est. |
| 14 | Iran | 1,755,000 | 2008 est. |
| 15 | United Kingdom | 1,710,000 | 2008 est. |
| 16 | Italy | 1,639,000 | 2008 est. |
| 17 | Indonesia | 1,564,000 | 2008 est. |
| 18 | Spain | 1,562,000 | 2008 est. |
| 19 | Netherlands | 962,900 | 2008 est. |
| 20 | Taiwan | 959,000 | 2008 est. |
| 21 | Australia | 953,700 | 2008 est. |
| 22 | Thailand | 942,000 | 2008 est. |
| 23 | Singapore | 896,000 | 2008 est. |
| 24 | Venezuela | 760,000 | 2008 est. |
| 25 | Belgium | 716,800 | 2008 est. |
| 26 | Egypt | 697,000 | 2008 est. |
| 27 | Turkey | 675,500 | 2008 est. |
| 28 | Iraq | 638,000 | 2008 est. |
| 29 | Argentina | 610,000 | 2008 est. |
| 30 | South Africa | 583,000 | 2008 est. |
| 31 | Malaysia | 547,000 | 2008 est. |
| 32 | Poland | 544,800 | 2008 est. |
| 33 | United Arab Emirates | 463,000 | 2008 est. |
| 34 | Greece | 434,000 | 2008 est. |
| 35 | Pakistan | 383,000 | 2008 est. |
| 36 | Hong Kong | 366,000 | 2008 est. |
| 37 | Ukraine | 353,000 | 2008 est. |
| 38 | Sweden | 351,800 | 2008 est. |
| 39 | Kuwait | 325,000 | 2008 est. |
| 40 | Philippines | 320,000 | 2008 est. |
| 41 | Algeria | 299,000 | 2008 est. |
| 42 | Portugal | 291,700 | 2008 est. |
| 43 | Colombia | 291,000 | 2008 est. |
| 44 | Vietnam | 288,000 | 2008 est. |
| 45 | Nigeria | 286,000 | 2008 est. |
| 46 | Austria | 285,400 | 2008 est. |
| 47 | Chile | 277,000 | 2008 est. |
| 48 | Switzerland | 275,600 | 2008 est. |
| 49 | Libya | 273,000 | 2008 est. |
| 50 | Syria | 256,000 | 2008 est. |
| 51 | Kazakhstan | 239,000 | 2008 est. |
| 52 | Israel | 235,000 | 2008 est. |
| 53 | Norway | 220,200 | 2008 est. |
| 54 | Romania | 219,000 | 2008 est. |
| 55 | Finland | 215,600 | 2008 est. |
| 56 | Czech Republic | 212,800 | 2008 est. |
| 57 | Ireland | 188,000 | 2008 est. |
| 58 | Morocco | 187,000 | 2008 est. |
| 59 | Puerto Rico | 185,300 | 2008 est. |
| 60 | Belarus | 184,000 | 2008 est. |
| 61 | Denmark | 181,100 | 2008 est. |
| 62 | Ecuador | 178,000 | 2008 est. |
| 63 | Cuba | 176,000 | 2008 est. |
| 64 | Hungary | 162,100 | 2008 est. |
| 65 | Peru | 160,000 | 2008 est. |
| 66 | New Zealand | 154,100 | 2008 est. |
| 67 | Yemen | 149,000 | 2008 est. |
| 68 | Uzbekistan | 148,000 | 2008 est. |
| 69 | Qatar | 129,000 | 2008 est. |
| 70 | Azerbaijan | 126,000 | 2008 est. |
| 71 | Bulgaria | 124,000 | 2008 est. |
| 72 | Dominican Republic | 119,000 | 2008 est. |
| 73 | Turkmenistan | 112,000 | 2008 est. |
| 74 | Jordan | 108,000 | 2008 est. |
| 75 | Croatia | 105,000 | 2008 est. |
| 76 | Bangladesh | 95,000 | 2008 est. |
| 77 | Panama | 94,000 | 2008 est. |
| 78 | Lebanon | 92,000 | 2008 est. |
| 79 | Tunisia | 90,000 | 2008 est. |
| 80 | Sri Lanka | 89,000 | 2008 est. |
| 81 | Sudan | 86,000 | 2008 est. |
