CIA - The World Factbook --  Oil - imports   

This entry is the total oil imported in barrels per day (bbl/day), including both crude oil and oil products.

| Rank | country | (bbl/day) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 10,270,000 | 2009 est. |
| 2 | European Union | 8,613,000 | 2009 est. |
| 3 | China | 4,753,000 | 2009 est. |
| 4 | Japan | 4,394,000 | 2009 est. |
| 5 | Korea, South | 3,074,000 | 2009 est. |
| 6 | India | 3,060,000 | 2009 est. |
| 7 | Germany | 2,671,000 | 2009 est. |
| 8 | Netherlands | 2,577,000 | 2009 est. |
| 9 | France | 2,220,000 | 2009 est. |
| 10 | Singapore | 2,052,000 | 2009 est. |
| 11 | Italy | 1,800,000 | 2009 est. |
| 12 | Spain | 1,584,000 | 2009 est. |
| 13 | United Kingdom | 1,450,000 | 2009 est. |
| 14 | Canada | 1,088,000 | 2009 est. |
| 15 | Belgium | 1,007,000 | 2009 est. |
| 16 | Taiwan | 876,300 | 2010 est. |
| 17 | Thailand | 807,100 | 2009 est. |
| 18 | Indonesia | 767,400 | 2009 est. |
| 19 | Australia | 731,400 | 2009 est. |
| 20 | Brazil | 720,000 | 2009 est. |
| 21 | Turkey | 581,000 | 2009 est. |
| 22 | Sweden | 546,500 | 2009 est. |
| 23 | Poland | 531,300 | 2009 est. |
| 24 | South Africa | 521,400 | 2009 est. |
| 25 | Greece | 496,600 | 2009 est. |
| 26 | Mexico | 496,000 | 2009 est. |
| 27 | Belarus | 471,400 | 2009 est. |
| 28 | Virgin Islands | 442,000 | 2009 est. |
| 29 | Hong Kong | 428,200 | 2010 |
| 30 | Malaysia | 355,300 | 2009 est. |
| 31 | Pakistan | 346,400 | 2009 est. |
| 32 | Philippines | 338,400 | September 2010 est. |
| 33 | Finland | 318,100 | 2009 est. |
| 34 | Chile | 305,100 | 2009 est. |
| 35 | Ukraine | 301,900 | 2009 est. |
| 36 | Iran | 297,100 | 2009 est. |
| 37 | Portugal | 294,600 | 2009 est. |
| 38 | Curacao | 291,700 | 2009 est. |
| 39 | Austria | 282,200 | 2009 est. |
| 40 | Israel | 282,200 | 2009 est. |
| 41 | Switzerland | 272,700 | 2009 est. |
| 42 | United Arab Emirates | 235,300 | 2009 est. |
| 43 | Aruba | 234,000 | 2009 est. |
| 44 | Iraq | 231,200 | 2009 est. |
| 45 | Morocco | 221,000 | 2009 est. |
| 46 | Bahrain | 213,000 | 2009 est. |
| 47 | Czech Republic | 208,800 | 2009 est. |
| 48 | Bulgaria | 201,400 | 2009 est. |
| 49 | Romania | 193,100 | 2009 est. |
| 50 | Nigeria | 187,700 | 2009 est. |
| 51 | Lithuania | 183,100 | 2009 est. |
| 52 | Vietnam | 182,300 | 2010 est. |
| 53 | Egypt | 177,200 | 2009 est. |
| 54 | Ireland | 176,000 | 2009 est. |
| 55 | Denmark | 173,900 | 2009 est. |
| 56 | Kazakhstan | 172,500 | 2009 est. |
| 57 | Hungary | 171,600 | 2010 est. |
| 58 | Puerto Rico | 164,000 | 2009 est. |
| 59 | Slovakia | 139,200 | 2009 est. |
| 60 | New Zealand | 138,000 | 2009 est. |
| 61 | Norway | 118,200 | 2009 est. |
| 62 | Jordan | 111,700 | 2009 est. |
| 63 | Cuba | 109,500 | 2009 est. |
| 64 | Dominican Republic | 107,300 | 2009 est. |
| 65 | Croatia | 103,000 | 2009 est. |
| 66 | Trinidad and Tobago | 95,240 | 2009 est. |
| 67 | Jamaica | 90,520 | 2009 est. |
| 68 | Peru | 88,080 | 2010 est. |
| 69 | Cote d'Ivoire | 85,190 | 2009 est. |
| 70 | Sri Lanka | 84,730 | 2009 est. |
| 71 | Saudi Arabia | 83,150 | 2009 est. |
| 72 | Ecuador | 80,430 | 2009 est. |
| 73 | Kenya | 80,160 | 2009 est. |
| 74 | Lebanon | 78,760 | 2009 est. |
| 75 | Serbia | 78,600 | 2010 est. |
| 76 | Guatemala | 78,550 | 2009 est. |
| 77 | Tunisia | 78,460 | 2009 est. |
| 78 | Panama | 77,910 | 2009 est. |
| 79 | Bangladesh | 77,340 | 2010 est. |
| 80 | Bahamas, The | 70,990 | 2009 est. |
| 81 | Ghana | 68,830 | 2009 est. |
| 82 | Yemen | 64,610 | 2009 est. |
| 83 | Slovenia | 60,270 | 2009 est. |
| 84 | Cyprus | 57,290 | 2009 est. |
| 85 | Syria | 55,280 | 2009 est. |
| 86 | Honduras | 53,630 | 2009 est. |
| 87 | Uruguay | 53,110 | November 2010 est. |
| 88 | Luxembourg | 51,930 | 2009 est. |
| 89 | Armenia | 46,680 | 2009 est. |
| 90 | Cameroon | 46,490 | 2009 est. |
| 91 | El Salvador | 45,570 | 2009 est. |
| 92 | Costa Rica | 44,110 | 2009 est. |
| 93 | Russia | 42,750 | 2009 est. |
| 94 | Tajikistan | 39,400 | 2009 est. |
| 95 | Bosnia and Herzegovina | 38,890 | 2009 est. |
| 96 | Angola | 38,280 | 2009 est. |
| 97 | Latvia | 37,520 | 2009 est. |
| 98 | Senegal | 36,290 | 2009 est. |
| 99 | Ethiopia | 33,480 | 2009 est. |
| 100 | Benin | 33,410 | 2009 est. |
| 101 | Cambodia | 33,200 | 2009 est. |
| 102 | Nicaragua | 30,290 | 2009 est. |
| 103 | Tanzania | 30,040 | 2009 est. |
| 104 | Estonia | 28,520 | 2009 est. |
| 105 | Oman | 27,970 | 2009 est. |
| 106 | Gibraltar | 26,400 | 2009 est. |
| 107 | Paraguay | 23,810 | 2009 est. |
| 108 | Albania | 22,880 | 2009 est. |
| 109 | West Bank | 22,110 | 2009 est. |
| 110 | Macedonia | 21,530 | 2009 est. |
| 111 | Mauritius | 20,750 | 2009 est. |
| 112 | Namibia | 19,890 | 2009 est. |
| 113 | Burma | 19,700 | 2009 est. |
| 114 | Argentina | 19,380 | 2009 est. |
| 115 | Fiji | 18,850 | 2009 est. |
| 116 | Malta | 18,420 | 2009 est. |
| 117 | Algeria | 18,180 | 2009 est. |
| 118 | Georgia | 17,840 | 2009 est. |
| 119 | Mauritania | 17,750 | 2009 est. |
| 120 | Zambia | 17,570 | 2009 est. |
| 121 | Bolivia | 17,330 | 2010 est. |
| 122 | Madagascar | 16,390 | 2009 est. |
| 123 | Kyrgyzstan | 15,940 | 2009 est. |
| 124 | Togo | 15,900 | 2009 est. |
| 125 | Korea, North | 15,810 | 2009 est. |
| 126 | Mongolia | 15,730 | 2010 |
| 127 | Botswana | 15,590 | 2009 est. |
| 128 | Iceland | 15,530 | 2009 est. |
| 129 | Macau | 15,400 | 2009 est. |
| 130 | Papua New Guinea | 14,770 | 2009 est. |
| 131 | Moldova | 14,730 | 2009 est. |
| 132 | Mozambique | 14,540 | 2009 est. |
| 133 | New Caledonia | 14,330 | 2009 est. |
| 134 | Uganda | 13,770 | 2009 est. |
| 135 | Nepal | 13,740 | 2009 est. |
| 136 | Haiti | 13,480 | 2009 est. |
| 137 | Zimbabwe | 13,140 | 2009 est. |
| 138 | Congo, Democratic Republic of the | 13,100 | 2009 est. |
| 139 | Sudan | 11,820 | 2009 est. |
| 140 | Djibouti | 11,230 | 2009 est. |
| 141 | Guyana | 10,480 | 2009 est. |
| 142 | Uzbekistan | 9,013 | 2009 est. |
| 143 | Barbados | 8,684 | 2009 est. |
| 144 | Burkina Faso | 8,560 | 2009 est. |
| 145 | Guinea | 8,559 | 2009 est. |
| 146 | Belize | 7,326 | 2009 est. |
| 147 | Malawi | 7,124 | 2009 est. |
| 148 | French Polynesia | 6,611 | 2009 est. |
| 149 | Seychelles | 6,203 | 2009 est. |
| 150 | Maldives | 6,088 | 2009 est. |
| 151 | Colombia | 6,045 | 2009 est. |
| 152 | Suriname | 5,668 | 2009 est. |
| 153 | Niger | 5,443 | 2009 est. |
| 154 | Rwanda | 5,105 | 2009 est. |
| 155 | Greenland | 4,976 | 2009 est. |
