CIA - The World Factbook --  Oil - proved reserves   

This entry is the stock of proved reserves of crude oil in barrels (bbl). Proved reserves are those quantities of petroleum which, by analysis of geological and engineering data, can be estimated with a high degree of confidence to be commercially recoverable from a given date forward, from known reservoirs and under current economic conditions.

| Rank | country | (bbl) | Date of Information |
| --- | --- | --- | --- |
| 1 | Saudi Arabia | 262,600,000,000 | 1 January 2011 est. |
| 2 | Venezuela | 211,200,000,000 | 1 January 2011 est. |
| 3 | Canada | 175,200,000,000 | 1 January 2011 est. |
| 4 | Iran | 137,000,000,000 | 1 January 2011 est. |
| 5 | Iraq | 115,000,000,000 | 1 January 2011 est. |
| 6 | Kuwait | 104,000,000,000 | 1 January 2011 est. |
| 7 | United Arab Emirates | 97,800,000,000 | 1 January 2011 est. |
| 8 | Russia | 60,000,000,000 | 1 January 2011 est. |
| 9 | Libya | 46,420,000,000 | 1 January 2011 est. |
| 10 | Nigeria | 37,200,000,000 | 1 January 2011 est. |
| 11 | Kazakhstan | 30,000,000,000 | 1 January 2011 est. |
| 12 | Qatar | 25,380,000,000 | 1 January 2011 est. |
| 13 | United States | 20,680,000,000 | 1 January 2011 est. |
| 14 | China | 14,800,000,000 | 1 January 2011 est. |
| 15 | Brazil | 12,860,000,000 | 1 January 2011 est. |
| 16 | Algeria | 12,200,000,000 | 1 January 2011 est. |
| 17 | Mexico | 10,420,000,000 | 1 January 2011 est. |
| 18 | Angola | 9,500,000,000 | 1 January 2011 est. |
| 19 | Azerbaijan | 7,000,000,000 | 1 January 2011 est. |
| 20 | Ecuador | 6,510,000,000 | 1 January 2011 est. |
| 21 | Malaysia | 5,800,000,000 | 1 January 2011 est. |
| 22 | India | 5,682,000,000 | 1 January 2011 est. |
| 23 | Norway | 5,670,000,000 | 1 January 2010 est. |
| 24 | European Union | 5,544,000,000 | 1 January 2011 est. |
| 25 | Oman | 5,500,000,000 | 1 January 2011 est. |
| 26 | Sudan | 5,000,000,000 | 1 January 2011 est. |
| 27 | Egypt | 4,400,000,000 | 1 January 2011 est. |
| 28 | Indonesia | 3,990,000,000 | 1 January 2011 est. |
| 29 | Australia | 3,318,000,000 | 1 January 2011 est. |
| 30 | Yemen | 3,000,000,000 | 1 January 2011 est. |
| 31 | United Kingdom | 2,858,000,000 | 1 January 2011 est. |
| 32 | Argentina | 2,505,000,000 | 1 January 2011 est. |
| 33 | Syria | 2,500,000,000 | 1 January 2011 est. |
| 34 | Gabon | 2,000,000,000 | 1 January 2011 est. |
| 35 | Colombia | 1,900,000,000 | 1 January 2011 est. |
| 36 | Congo, Republic of the | 1,600,000,000 | 1 January 2011 est. |
| 37 | Chad | 1,500,000,000 | 1 January 2011 est. |
| 38 | Denmark | 1,164,000,000 | 1 January 2011 est. |
| 39 | Equatorial Guinea | 1,100,000,000 | 1 January 2011 est. |
| 40 | Brunei | 1,100,000,000 | 1 January 2011 est. |
| 41 | Uganda | 1,000,000,000 | 1 January 2010 est. |
| 42 | Trinidad and Tobago | 728,300,000 | 1 January 2011 est. |
| 43 | Ghana | 660,000,000 | 1 January 2011 est. |
| 44 | Turkmenistan | 600,000,000 | 1 January 2011 est. |
| 45 | Vietnam | 600,000,000 | 1 January 2011 est. |
| 46 | Romania | 600,000,000 | 1 January 2011 est. |
| 47 | Uzbekistan | 594,000,000 | 1 January 2011 est. |
| 48 | Timor-Leste | 553,800,000 | 1 January 2011 est. |
| 49 | Peru | 532,700,000 | 1 January 2011 est. |
| 50 | Italy | 476,500,000 | 1 January 2011 est. |
| 51 | Bolivia | 465,000,000 | 1 January 2011 est. |
| 52 | Thailand | 435,000,000 | 1 January 2011 est. |
| 53 | Tunisia | 425,000,000 | 1 January 2011 est. |
| 54 | Ukraine | 395,000,000 | 1 January 2011 est. |
| 55 | Pakistan | 313,000,000 | 1 January 2011 est. |
| 56 | Netherlands | 310,000,000 | 1 January 2011 est. |
| 57 | Germany | 276,000,000 | 1 January 2011 est. |
| 58 | Turkey | 270,400,000 | 1 January 2011 est. |
| 59 | Cameroon | 200,000,000 | 1 January 2011 est. |
| 60 | Albania | 199,100,000 | 1 January 2011 est. |
| 61 | Belarus | 198,000,000 | 1 January 2011 est. |
| 62 | Congo, Democratic Republic of the | 180,000,000 | 1 January 2011 est. |
| 63 | Spain | 150,000,000 | 1 January 2011 est. |
| 64 | Chile | 150,000,000 | 1 January 2011 est. |
| 65 | Philippines | 138,500,000 | 1 January 2011 est. |
| 66 | Bahrain | 124,600,000 | 1 January 2011 est. |
| 67 | Cuba | 124,000,000 | 1 January 2011 est. |
| 68 | New Zealand | 112,500,000 | 1 January 2011 est. |
| 69 | Cote d'Ivoire | 100,000,000 | 1 January 2011 est. |
| 70 | Mauritania | 100,000,000 | 1 January 2011 est. |
| 71 | Poland | 96,380,000 | 1 January 2010 est. |
| 72 | France | 91,630,000 | 1 January 2011 est. |
| 73 | Papua New Guinea | 88,000,000 | 1 January 2011 est. |
| 74 | Guatemala | 83,070,000 | 1 January 2011 est. |
| 75 | Suriname | 78,900,000 | 1 January 2011 est. |
| 76 | Serbia | 77,500,000 | 1 January 2011 est. |
| 77 | Croatia | 66,000,000 | 1 January 2011 est. |
| 78 | Austria | 50,000,000 | 1 January 2011 est. |
| 79 | Burma | 50,000,000 | 1 January 2011 est. |
| 80 | Japan | 44,120,000 | 1 January 2011 est. |
| 81 | Kyrgyzstan | 40,000,000 | 1 January 2011 est. |
| 82 | Georgia | 35,000,000 | 1 January 2011 est. |
| 83 | Bangladesh | 28,000,000 | 1 January 2011 est. |
| 84 | Hungary | 26,570,000 | 1 January 2011 est. |
| 85 | South Africa | 15,000,000 | 1 January 2011 est. |
| 86 | Czech Republic | 15,000,000 | 1 January 2011 est. |
| 87 | Bulgaria | 15,000,000 | 1 January 2011 est. |
| 88 | Lithuania | 12,000,000 | 1 January 2011 est. |
| 89 | Tajikistan | 12,000,000 | 1 January 2011 est. |
| 90 | Greece | 10,000,000 | 1 January 2011 est. |
| 91 | Slovakia | 9,000,000 | 1 January 2011 est. |
| 92 | Benin | 8,000,000 | 1 January 2011 est. |
| 93 | Belize | 6,700,000 | 1 January 2011 est. |
| 94 | Taiwan | 2,380,000 | 1 January 2011 est. |
| 95 | Israel | 1,940,000 | 1 January 2011 est. |
| 96 | Barbados | 1,790,000 | 1 January 2011 est. |
| 97 | Jordan | 1,000,000 | 1 January 2011 est. |
| 98 | Morocco | 680,000 | 1 January 2011 est. |
| 99 | Ethiopia | 430,000 | 1 January 2011 est. |
| 100 | Afghanistan | 0 | 1 January 2011 est. |
| 101 | American Samoa | 0 | 1 January 2011 est. |
| 102 | Antigua and Barbuda | 0 | 1 January 2011 est. |
| 103 | Armenia | 0 | 1 January 2011 est. |
| 104 | Aruba | 0 | 1 January 2011 est. |
| 105 | Bahamas, The | 0 | 1 January 2011 est. |
| 106 | Belgium | 0 | 1 January 2011 est. |
| 107 | Bermuda | 0 | 1 January 2011 est. |
| 108 | Bhutan | 0 | 1 January 2011 est. |
| 109 | Bosnia and Herzegovina | 0 | 1 January 2011 est. |
| 110 | Botswana | 0 | 1 January 2011 est. |
| 111 | British Virgin Islands | 0 | 1 January 2011 est. |
| 112 | Burkina Faso | 0 | 1 January 2011 est. |
| 113 | Burundi | 0 | 1 January 2011 est. |
| 114 | Cambodia | 0 | 1 January 2011 est. |
| 115 | Cape Verde | 0 | 1 January 2011 est. |
| 116 | Cayman Islands | 0 | 1 January 2011 est. |
| 117 | Central African Republic | 0 | 1 January 2011 est. |
| 118 | Comoros | 0 | 1 January 2011 est. |
| 119 | Cook Islands | 0 | 1 January 2011 est. |
| 120 | Costa Rica | 0 | 1 January 2011 est. |
| 121 | Cyprus | 0 | 1 January 2011 est. |
| 122 | Djibouti | 0 | 1 January 2011 est. |
| 123 | Dominica | 0 | 1 January 2011 est. |
| 124 | Dominican Republic | 0 | 1 January 2011 est. |
| 125 | El Salvador | 0 | 1 January 2011 est. |
| 126 | Eritrea | 0 | 1 January 2011 est. |
| 127 | Estonia | 0 | 1 January 2011 est. |
| 128 | Falkland Islands (Islas Malvinas) | 0 | 1 January 2011 est. |
| 129 | Faroe Islands | 0 | 1 January 2011 est. |
| 130 | Fiji | 0 | 1 January 2011 est. |
| 131 | Finland | 0 | 1 January 2011 est. |
| 132 | French Polynesia | 0 | 1 January 2011 est. |
| 133 | Gambia, The | 0 | 1 January 2011 est. |
