CIA - The World Factbook --  Population below poverty line   

| Rank | country | (%) | Date of Information |
| --- | --- | --- | --- |
| 1 | Chad | 80.00 | 2001 est. |
| 2 | Liberia | 80.00 | 2000 est. |
| 3 | Haiti | 80.00 | 2003 est. |
| 4 | Congo, Democratic Republic of the | 71.00 | 2006 est. |
| 5 | Sierra Leone | 70.20 | 2004 |
| 6 | Suriname | 70.00 | 2002 est. |
| 7 | Nigeria | 70.00 | 2010 est. |
| 8 | Swaziland | 69.00 | 2006 |
| 9 | Zimbabwe | 68.00 | 2004 |
| 10 | Burundi | 68.00 | 2002 est. |
| 11 | Sao Tome and Principe | 66.20 | 2009 est. |
| 12 | Niger | 63.00 | 1993 est. |
| 13 | Zambia | 60.50 | 2010 |
| 14 | Comoros | 60.00 | 2002 est. |
| 15 | Honduras | 60.00 | 2010 est. |
| 16 | Senegal | 54.00 | 2001 est. |
| 17 | Guatemala | 54.00 | 2011 est. |
| 18 | Malawi | 53.00 | 2004 |
| 19 | Mexico | 52.30 | 2012 est. |
| 20 | Mozambique | 52.00 | 2009 est. |
| 21 | South Sudan | 50.60 | 2009 est. |
| 22 | Eritrea | 50.00 | 2004 est. |
| 23 | Madagascar | 50.00 | 2004 est. |
| 24 | Lesotho | 49.00 | 1999 |
| 25 | Gambia, The | 48.40 | NA |
| 26 | Cameroon | 48.00 | 2000 est. |
| 27 | Guinea | 47.00 | 2006 est. |
| 28 | Burkina Faso | 46.70 | 2009 est. |
| 29 | Congo, Republic of the | 46.50 | 2011 est. |
| 30 | Sudan | 46.50 | 2009 est. |
| 31 | Yemen | 45.20 | 2003 |
| 32 | Bolivia | 45.00 | 2011 est. |
| 33 | Rwanda | 44.90 | 2011 est. |
| 34 | Kenya | 43.40 | 2012 est. |
| 35 | Nicaragua | 42.50 | 2009 |
| 36 | Cote d'Ivoire | 42.00 | 2006 est. |
| 37 | Belize | 41.00 | 2013 est. |
| 38 | Timor-Leste | 41.00 | 2009 est. |
| 39 | Angola | 40.50 | 2006 est. |
| 40 | Mauritania | 40.00 | 2004 est. |
| 41 | Ethiopia | 39.00 | 2012 est. |
| 42 | Grenada | 38.00 | 2008 |
| 43 | Gaza Strip | 38.00 | 2010 est. |
| 44 | Benin | 37.40 | 2007 est. |
| 45 | Papua New Guinea | 37.00 | 2002 est. |
| 46 | El Salvador | 36.50 | 2010 est. |
| 47 | Mali | 36.10 | 2005 est. |
| 48 | Afghanistan | 36.00 | FY08/09 |
| 49 | Tanzania | 36.00 | 2002 est. |
| 50 | Armenia | 35.80 | 2010 est. |
| 51 | Tajikistan | 35.60 | 2013 est. |
| 52 | Guyana | 35.00 | 2006 |
| 53 | Paraguay | 34.70 | 2010 est. |
| 54 | Dominican Republic | 34.40 | 2010 est. |
| 55 | Kyrgyzstan | 33.70 | 2011 est. |
| 56 | Burma | 32.70 | 2007 est. |
| 57 | Colombia | 32.70 | 2012 est. |
| 58 | Togo | 32.00 | 1989 est. |
| 59 | Venezuela | 31.60 | 2011 est. |
| 60 | Bangladesh | 31.50 | 2010 est. |
| 61 | South Africa | 31.30 | 2009 est. |
| 62 | Fiji | 31.00 | 2009 est. |
| 63 | Macedonia | 30.40 | 2011 |
| 64 | Botswana | 30.30 | 2003 |
| 65 | Kosovo | 30.00 | 2013 est. |
| 66 | Cabo Verde | 30.00 | 2000 |
| 67 | Argentina | 30.00 | 2010 |
| 68 | Turkmenistan | 30.00 | 2004 est. |
| 69 | Italy | 29.90 | 2012 |
| 70 | Mongolia | 29.80 | 2011 est. |
| 71 | India | 29.80 | 2010 est. |
| 72 | Dominica | 29.00 | 2009 est. |
| 73 | Virgin Islands | 28.90 | 2002 |
| 74 | Namibia | 28.70 | 2010 est. |
| 75 | Ghana | 28.50 | 2007 est. |
| 76 | Lebanon | 28.00 | 1999 est. |
| 77 | Belarus | 27.10 | 2003 est. |
| 78 | Micronesia, Federated States of | 26.70 | 2000 |
| 79 | Philippines | 26.50 | 2009 est. |
| 80 | Panama | 26.00 | 2012 est. |
| 81 | Peru | 25.80 | 2012 est. |
| 82 | Ecuador | 25.60 | December 2013 est. |
| 83 | Nepal | 25.20 | 2011 est. |
| 84 | Iraq | 25.00 | 2008 est. |
| 85 | Costa Rica | 24.80 | 2011 est. |
| 86 | Uganda | 24.50 | 2009 est. |
| 87 | Ukraine | 24.10 | 2010 |
| 88 | Tonga | 24.00 | FY03/04 |
| 89 | Algeria | 23.00 | 2006 est. |
| 90 | Guam | 23.00 | 2001 est. |
| 91 | Anguilla | 23.00 | 2002 |
| 92 | Pakistan | 22.30 | FY05/06 est. |
| 93 | Romania | 22.20 | 2011 est. |
| 94 | Egypt | 22.00 | 2008 est. |
| 95 | Laos | 22.00 | 2013 est. |
| 96 | Moldova | 21.90 | 2010 est. |
| 97 | Bulgaria | 21.80 | 2008 |
| 98 | Brazil | 21.40 | 2009 est. |
| 99 | Spain | 21.10 | 2012 |
| 100 | Croatia | 21.10 | 2011 |
| 101 | Slovakia | 21.00 | 2002 |
| 102 | Israel | 21.00 | 2012 |
| 103 | Greece | 20.00 | 2009 est. |
| 104 | Cambodia | 20.00 | 2012 est. |
| 105 | French Polynesia | 19.70 | 2009 |
| 106 | Hong Kong | 19.60 | 2012 |
| 107 | United Arab Emirates | 19.50 | 2003 |
| 108 | Djibouti | 18.80 | 2012 est. |
| 109 | Iran | 18.70 | 2007 est. |
| 110 | Uruguay | 18.60 | 2010 est. |
| 111 | Bosnia and Herzegovina | 18.60 | 2007 est. |
| 112 | West Bank | 18.30 | 2010 est. |
| 113 | Portugal | 18.00 | 2006 |
| 114 | Estonia | 17.50 | 2010 |
| 115 | Trinidad and Tobago | 17.00 | 2007 est. |
| 116 | Uzbekistan | 17.00 | 2011 est. |
| 117 | Turkey | 16.90 | 2010 |
| 118 | Jamaica | 16.50 | 2009 est. |
| 119 | United Kingdom | 16.20 | 2011 est. |
| 120 | Maldives | 16.00 | 2008 |
| 121 | Japan | 16.00 | 2010 |
| 122 | Korea, South | 16.00 | 2009 est. |
| 123 | Germany | 15.50 | 2010 est. |
| 124 | Belgium | 15.20 | 2007 est. |
| 125 | United States | 15.10 | 2010 est. |
| 126 | Malta | 15.10 | 2012 |
| 127 | Chile | 15.10 | 2009 est. |
| 128 | Morocco | 15.00 | 2007 est. |
| 129 | Albania | 14.30 | 2012 est. |
| 130 | Jordan | 14.20 | 2002 |
| 131 | Hungary | 14.00 | 2012 |
| 132 | Slovenia | 13.50 | 2012 |
| 133 | Denmark | 13.40 | 2011 |
| 134 | Thailand | 13.20 | 2011 est. |
| 135 | Bhutan | 12.00 | 2012 |
| 136 | Syria | 11.90 | 2006 est. |
| 137 | Indonesia | 11.70 | 2012 est. |
| 138 | Vietnam | 11.30 | 2012 est. |
| 139 | Bermuda | 11.00 | 2008 est. |
| 140 | Russia | 11.00 | 2013 est. |
| 141 | Poland | 10.60 | 2008 est. |
| 142 | Czech Republic | 9.80 | 2011 est. |
| 143 | Canada | 9.40 | 2008 |
| 144 | Bahamas, The | 9.30 | 2010 est. |
| 145 | Greenland | 9.20 | 2007 est. |
| 146 | Georgia | 9.20 | 2010 |
| 147 | Serbia | 9.10 | 2013 est. |
| 148 | Netherlands | 9.10 | 2013 est. |
| 149 | Sri Lanka | 8.90 | 2010 est. |
| 150 | Mauritius | 8.00 | 2006 est. |
| 151 | France | 7.90 | 2011 |
| 152 | Switzerland | 7.60 | 2011 |
| 153 | Montenegro | 6.60 | 2010 est. |
| 154 | Austria | 6.20 | 2012 |
| 155 | China | 6.10 | 2013 |
| 156 | Azerbaijan | 6.00 | 2012 est. |
| 157 | Ireland | 5.50 | 2009 |
| 158 | Kazakhstan | 5.30 | 2011 est. |
| 159 | Lithuania | 4.00 | 2008 |
| 160 | Malaysia | 3.80 | 2009 est. |
| 161 | Tunisia | 3.80 | 2005 est. |
| 162 | Taiwan | 1.50 | 2012 est. |


