CIA - The World Factbook --  Population growth rate   

The average annual percent change in the population, resulting from a surplus (or deficit) of births over deaths and the balance of migrants entering and leaving a country. The rate may be positive or negative. The growth rate is a factor in determining how great a burden would be imposed on a country by the changing needs of its people for infrastructure (e.g., schools, hospitals, housing, roads), resources (e.g., food, water, electricity), and jobs. Rapid population growth can be seen as threatening by neighboring countries.

| Rank | country | (%) | Date of Information |
| --- | --- | --- | --- |
| 1 | United Arab Emirates | 3.69 | 2009 est. |
| 2 | Niger | 3.68 | 2009 est. |
| 3 | Kuwait | 3.55 | 2009 est. |
| 4 | Yemen | 3.45 | 2009 est. |
| 5 | Gaza Strip | 3.35 | 2009 est. |
| 6 | Mayotte | 3.32 | 2009 est. |
| 7 | Burundi | 3.28 | 2009 est. |
| 8 | Congo, Democratic Republic of the | 3.21 | 2009 est. |
| 9 | Ethiopia | 3.21 | 2009 est. |
| 10 | Oman | 3.14 | 2009 est. |
| 11 | Burkina Faso | 3.10 | 2009 est. |
| 12 | Sao Tome and Principe | 3.09 | 2009 est. |
| 13 | Madagascar | 3.00 | 2009 est. |
| 14 | Benin | 2.98 | 2009 est. |
| 15 | Western Sahara | 2.83 | 2009 est. |
| 16 | Somalia | 2.82 | 2009 est. |
| 17 | Rwanda | 2.78 | 2009 est. |
| 18 | Comoros | 2.77 | 2009 est. |
| 19 | Mali | 2.77 | 2009 est. |
| 20 | Congo, Republic of the | 2.75 | 2009 est. |
| 21 | Togo | 2.71 | 2009 est. |
| 22 | Senegal | 2.71 | 2009 est. |
| 23 | Equatorial Guinea | 2.70 | 2009 est. |
| 24 | Uganda | 2.69 | 2009 est. |
| 25 | Kenya | 2.69 | 2009 est. |
| 26 | Gambia, The | 2.67 | 2009 est. |
| 27 | Liberia | 2.67 | 2009 est. |
| 28 | Afghanistan | 2.63 | 2009 est. |
| 29 | Eritrea | 2.58 | 2009 est. |
| 30 | Guinea | 2.57 | 2009 est. |
| 31 | Turks and Caicos Islands | 2.56 | 2009 est. |
| 32 | Iraq | 2.51 | 2009 est. |
| 33 | Mauritania | 2.40 | 2009 est. |
| 34 | Cayman Islands | 2.39 | 2009 est. |
| 35 | Solomon Islands | 2.39 | 2009 est. |
| 36 | Malawi | 2.39 | 2009 est. |
| 37 | Paraguay | 2.36 | 2009 est. |
| 38 | Laos | 2.32 | 2009 est. |
| 39 | Northern Mariana Islands | 2.29 | 2009 est. |
| 40 | Sierra Leone | 2.28 | 2009 est. |
| 41 | Anguilla | 2.27 | 2009 est. |
| 42 | Jordan | 2.26 | 2009 est. |
| 43 | Kiribati | 2.24 | 2009 est. |
| 44 | Cameroon | 2.19 | 2009 est. |
| 45 | West Bank | 2.18 | 2009 est. |
| 46 | Libya | 2.17 | 2009 est. |
| 47 | Belize | 2.15 | 2009 est. |
| 48 | Sudan | 2.14 | 2009 est. |
| 49 | Cote d'Ivoire | 2.13 | 2009 est. |
| 50 | Syria | 2.13 | 2009 est. |
| 51 | Angola | 2.10 | 2009 est. |
| 52 | Marshall Islands | 2.08 | 2009 est. |
| 53 | Chad | 2.07 | 2009 est. |
| 54 | Papua New Guinea | 2.07 | 2009 est. |
| 55 | Guatemala | 2.07 | 2009 est. |
| 56 | Tanzania | 2.04 | 2009 est. |
| 57 | Timor-Leste | 2.03 | 2009 est. |
| 58 | Guinea-Bissau | 2.02 | 2009 est. |
| 59 | Nigeria | 2.00 | 2009 est. |
| 60 | Macau | 2.00 | 2009 est. |
| 61 | Philippines | 1.96 | 2009 est. |
| 62 | Honduras | 1.96 | 2009 est. |
| 63 | Pakistan | 1.95 | 2009 est. |
| 64 | Botswana | 1.94 | 2009 est. |
| 65 | Gabon | 1.93 | 2009 est. |
| 66 | Djibouti | 1.90 | 2009 est. |
| 67 | Ghana | 1.88 | 2009 est. |
| 68 | Tajikistan | 1.88 | 2009 est. |
| 69 | Saudi Arabia | 1.85 | 2009 est. |
| 70 | Haiti | 1.84 | 2009 est. |
| 71 | British Virgin Islands | 1.84 | 2009 est. |
| 72 | Mozambique | 1.79 | 2009 est. |
| 73 | Nicaragua | 1.78 | 2009 est. |
| 74 | Bolivia | 1.77 | 2009 est. |
| 75 | Cambodia | 1.77 | 2009 est. |
| 76 | Brunei | 1.76 | 2009 est. |
| 77 | Nauru | 1.75 | 2009 est. |
| 78 | Malaysia | 1.72 | 2009 est. |
| 79 | Israel | 1.67 | 2009 est. |
| 80 | El Salvador | 1.66 | 2009 est. |
| 81 | Egypt | 1.64 | 2009 est. |
| 82 | Zambia | 1.63 | 2009 est. |
| 83 | Tuvalu | 1.62 | 2009 est. |
| 84 | India | 1.55 | 2009 est. |
| 85 | Zimbabwe | 1.53 | 2009 est. |
| 86 | Venezuela | 1.51 | 2009 est. |
| 87 | Panama | 1.50 | 2009 est. |
| 88 | Ecuador | 1.50 | 2009 est. |
| 89 | Mongolia | 1.49 | 2009 est. |
| 90 | Central African Republic | 1.49 | 2009 est. |
| 91 | Dominican Republic | 1.49 | 2009 est. |
| 92 | Tonga | 1.48 | 2009 est. |
| 93 | Morocco | 1.48 | 2009 est. |
| 94 | Aruba | 1.48 | 2009 est. |
| 95 | Vanuatu | 1.40 | 2009 est. |
| 96 | Kyrgyzstan | 1.40 | 2009 est. |
| 97 | French Polynesia | 1.39 | 2009 est. |
| 98 | Fiji | 1.38 | 2009 est. |
| 99 | Colombia | 1.38 | 2009 est. |
| 100 | Costa Rica | 1.36 | 2009 est. |
| 101 | Samoa | 1.35 | 2009 est. |
| 102 | Turkey | 1.31 | 2009 est. |
| 103 | Antigua and Barbuda | 1.30 | 2009 est. |
| 104 | Bangladesh | 1.29 | 2009 est. |
| 105 | Bahrain | 1.29 | 2009 est. |
| 106 | Nepal | 1.28 | 2009 est. |
| 107 | Bhutan | 1.27 | 2009 est. |
| 108 | Peru | 1.23 | 2009 est. |
| 109 | American Samoa | 1.22 | 2009 est. |
| 110 | Brazil | 1.20 | 2009 est. |
| 111 | Algeria | 1.20 | 2009 est. |
| 112 | Australia | 1.20 | 2009 est. |
| 113 | Luxembourg | 1.17 | 2009 est. |
| 114 | World | 1.17 | 2009 est. |
| 115 | San Marino | 1.15 | 2009 est. |
| 116 | Turkmenistan | 1.14 | 2009 est. |
| 117 | Indonesia | 1.14 | 2009 est. |
| 118 | New Caledonia | 1.14 | 2009 est. |
| 119 | Andorra | 1.14 | 2009 est. |
| 120 | Mexico | 1.13 | 2009 est. |
