CIA - The World Factbook --  Population growth rate   

The average annual percent change in the population, resulting from a surplus (or deficit) of births over deaths and the balance of migrants entering and leaving a country. The rate may be positive or negative. The growth rate is a factor in determining how great a burden would be imposed on a country by the changing needs of its people for infrastructure (e.g., schools, hospitals, housing, roads), resources (e.g., food, water, electricity), and jobs. Rapid population growth can be seen as threatening by neighboring countries.

| Rank | country | (%) | Date of Information |
| --- | --- | --- | --- |
| 1 | Libya | 4.85 | 2013 est. |
| 2 | Zimbabwe | 4.38 | 2013 est. |
| 3 | South Sudan | 4.23 | 2013 est. |
| 4 | Qatar | 4.19 | 2013 est. |
| 5 | Uganda | 3.32 | 2013 est. |
| 6 | Niger | 3.32 | 2013 est. |
| 7 | Burundi | 3.08 | 2013 est. |
| 8 | Burkina Faso | 3.06 | 2013 est. |
| 9 | Gaza Strip | 3.01 | 2013 est. |
| 10 | Mali | 3.01 | 2013 est. |
| 11 | Western Sahara | 2.96 | 2013 est. |
| 12 | Ethiopia | 2.90 | 2013 est. |
| 13 | Zambia | 2.89 | 2013 est. |
| 14 | United Arab Emirates | 2.87 | 2013 est. |
| 15 | Turks and Caicos Islands | 2.87 | 2013 est. |
| 16 | Congo, Republic of the | 2.86 | 2013 est. |
| 17 | Benin | 2.84 | 2013 est. |
| 18 | Tanzania | 2.82 | 2013 est. |
| 19 | Angola | 2.78 | 2013 est. |
| 20 | Malawi | 2.74 | 2013 est. |
| 21 | Togo | 2.73 | 2013 est. |
| 22 | Rwanda | 2.70 | 2013 est. |
| 23 | Madagascar | 2.65 | 2013 est. |
| 24 | Guinea | 2.64 | 2013 est. |
| 25 | Equatorial Guinea | 2.58 | 2013 est. |
| 26 | Bahrain | 2.57 | 2013 est. |
| 27 | Liberia | 2.56 | 2013 est. |
| 28 | Congo, Democratic Republic of the | 2.54 | 2013 est. |
| 29 | Nigeria | 2.54 | 2013 est. |
| 30 | Senegal | 2.51 | 2013 est. |
| 31 | Yemen | 2.50 | 2013 est. |
| 32 | Timor-Leste | 2.47 | 2013 est. |
| 33 | Mozambique | 2.44 | 2013 est. |
