CIA - The World Factbook --  POPULATION GROWTH RATE

Population growth rate compares the average annual percent change in populations, resulting from a surplus (or deficit) of births over deaths and the balance of migrants entering and leaving a country. The rate may be positive or negative.

| Rank | Country | (%) | Date of Information |
| --- | --- | --- | --- |
| 1 | South Sudan | 3.92 | 2016 est. |
| 2 | Malawi | 3.32 | 2016 est. |
| 3 | Burundi | 3.26 | 2016 est. |
| 4 | Niger | 3.22 | 2016 est. |
| 5 | Uganda | 3.22 | 2016 est. |
| 6 | Burkina Faso | 3.01 | 2016 est. |
| 7 | Mali | 2.96 | 2016 est. |
| 8 | Zambia | 2.94 | 2016 est. |
| 9 | Ethiopia | 2.88 | 2016 est. |
| 10 | Iraq | 2.87 | 2016 est. |
| 11 | Tanzania | 2.77 | 2016 est. |
| 12 | Western Sahara | 2.76 | 2016 est. |
| 13 | Benin | 2.75 | 2016 est. |
| 14 | Angola | 2.72 | 2016 est. |
| 15 | Togo | 2.66 | 2016 est. |
| 16 | Qatar | 2.64 | 2016 est. |
| 17 | Guinea | 2.62 | 2016 est. |
| 18 | Cameroon | 2.58 | 2016 est. |
| 19 | Madagascar | 2.54 | 2016 est. |
| 20 | Rwanda | 2.53 | 2016 est. |
| 21 | Egypt | 2.51 | 2016 est. |
| 22 | Equatorial Guinea | 2.48 | 2016 est. |
| 23 | United Arab Emirates | 2.47 | 2016 est. |
| 24 | Mozambique | 2.45 | 2016 est. |
| 25 | Liberia | 2.44 | 2016 est. |
| 26 | Nigeria | 2.44 | 2016 est. |
| 27 | Senegal | 2.42 | 2016 est. |
| 28 | Congo, Democratic Republic of the | 2.42 | 2016 est. |
| 29 | Timor-Leste | 2.39 | 2016 est. |
| 30 | Gaza Strip | 2.39 | 2016 est. |
| 31 | Yemen | 2.37 | 2016 est. |
| 32 | Sierra Leone | 2.36 | 2016 est. |
| 33 | Afghanistan | 2.34 | 2016 est. |
| 34 | Bahrain | 2.33 | 2016 est. |
| 35 | British Virgin Islands | 2.28 | 2016 est. |
| 36 | Turks and Caicos Islands | 2.23 | 2016 est. |
| 37 | Zimbabwe | 2.20 | 2016 est. |
| 38 | Mauritania | 2.20 | 2016 est. |
| 39 | Djibouti | 2.18 | 2016 est. |
| 40 | Ghana | 2.18 | 2016 est. |
| 41 | Central African Republic | 2.12 | 2016 est. |
| 42 | Gambia, The | 2.11 | 2016 est. |
| 43 | Northern Mariana Islands | 2.07 | 2016 est. |
| 44 | Congo, Republic of the | 2.06 | 2016 est. |
| 45 | Cayman Islands | 2.05 | 2016 est. |
| 46 | Oman | 2.05 | 2016 est. |
| 47 | Luxembourg | 2.05 | 2016 est. |
| 48 | Anguilla | 2.00 | 2016 est. |
| 49 | Namibia | 1.98 | 2016 est. |
| 50 | Solomon Islands | 1.98 | 2016 est. |
| 51 | Somalia | 1.92 | 2016 est. |
| 52 | Gabon | 1.92 | 2016 est. |
| 53 | Vanuatu | 1.90 | 2016 est. |
| 54 | Cote d'Ivoire | 1.88 | 2016 est. |
| 55 | Guinea-Bissau | 1.88 | 2016 est. |
| 56 | Chad | 1.88 | 2016 est. |
| 57 | West Bank | 1.86 | 2016 est. |
| 58 | Singapore | 1.86 | 2016 est. |
| 59 | Belize | 1.84 | 2016 est. |
| 60 | Kenya | 1.81 | 2016 est. |
| 61 | Libya | 1.80 | 2016 est. |
| 62 | Guatemala | 1.79 | 2016 est. |
| 63 | Sao Tome and Principe | 1.78 | 2016 est. |
| 64 | Algeria | 1.77 | 2016 est. |
| 65 | Papua New Guinea | 1.75 | 2016 est. |
| 66 | Haiti | 1.71 | 2016 est. |
| 67 | Comoros | 1.71 | 2016 est. |
| 68 | Sudan | 1.69 | 2016 est. |
| 69 | Tajikistan | 1.66 | 2016 est. |
| 70 | Honduras | 1.64 | 2016 est. |
| 71 | Marshall Islands | 1.60 | 2016 est. |
| 72 | Brunei | 1.60 | 2016 est. |
| 73 | Philippines | 1.59 | 2016 est. |
| 74 | Cambodia | 1.56 | 2016 est. |
| 75 | Syria | 1.56 | 2016 est. |
| 76 | Bolivia | 1.54 | 2016 est. |
| 77 | Laos | 1.53 | 2016 est. |
| 78 | Israel | 1.53 | 2016 est. |
| 79 | Kuwait | 1.53 | 2016 est. |
| 80 | Saudi Arabia | 1.46 | 2016 est. |
| 81 | Pakistan | 1.45 | 2016 est. |
| 82 | Sint Maarten | 1.44 | 2013 est. |
| 83 | Malaysia | 1.40 | 2016 est. |
| 84 | Cyprus | 1.38 | 2016 est. |
| 85 | Cabo Verde | 1.35 | 2016 est. |
| 86 | New Caledonia | 1.35 | 2016 est. |
| 87 | Ecuador | 1.31 | 2016 est. |
| 88 | Aruba | 1.30 | 2016 est. |
| 89 | Panama | 1.30 | 2016 est. |
| 90 | Venezuela | 1.28 | 2016 est. |
| 91 | Mongolia | 1.25 | 2016 est. |
| 92 | Nepal | 1.24 | 2016 est. |
| 93 | Antigua and Barbuda | 1.23 | 2016 est. |
| 94 | Dominican Republic | 1.21 | 2016 est. |
| 95 | Ireland | 1.20 | 2016 est. |
| 96 | Botswana | 1.19 | 2016 est. |
| 97 | India | 1.19 | 2016 est. |
| 98 | Costa Rica | 1.19 | 2016 est. |
| 99 | Iran | 1.18 | 2016 est. |
| 100 | Paraguay | 1.17 | 2016 est. |
| 101 | Iceland | 1.17 | 2016 est. |
| 102 | Mexico | 1.15 | 2016 est. |
| 103 | Kiribati | 1.14 | 2016 est. |
| 104 | Turkmenistan | 1.13 | 2016 est. |
| 105 | Christmas Island | 1.11 | 2014 est. |
| 106 | Swaziland | 1.10 | 2016 est. |
| 107 | Kazakhstan | 1.09 | 2016 est. |
| 108 | Bhutan | 1.09 | 2016 est. |
| 109 | Kyrgyzstan | 1.09 | 2016 est. |
| 110 | Norway | 1.07 | 2016 est. |
| 111 | Suriname | 1.05 | 2016 est. |
| 112 | Bangladesh | 1.05 | 2016 est. |
| 113 | Australia | 1.05 | 2016 est. |
| 114 | Colombia | 1.02 | 2016 est. |
| 115 | Burma | 1.00 | 2016 est. |
| 116 | South Africa | 0.99 | 2016 est. |
| 117 | Nicaragua | 0.99 | 2016 est. |
| 118 | Morocco | 0.99 | 2016 est. |
| 119 | Peru | 0.96 | 2016 est. |
| 120 | Vietnam | 0.95 | 2016 est. |
| 121 | Argentina | 0.93 | 2016 est. |
| 122 | Uzbekistan | 0.93 | 2016 est. |
| 123 | Azerbaijan | 0.92 | 2016 est. |
| 124 | French Polynesia | 0.91 | 2016 est. |
| 125 | Turkey | 0.90 | 2016 est. |
| 126 | Indonesia | 0.89 | 2016 est. |
| 127 | Tunisia | 0.86 | 2016 est. |
| 128 | Tuvalu | 0.85 | 2016 est. |
| 129 | Lebanon | 0.85 | 2016 est. |
| 130 | Spain | 0.84 | 2016 est. |
| 131 | Bahamas, The | 0.83 | 2016 est. |
| 132 | Jordan | 0.83 | 2016 est. |
| 133 | Liechtenstein | 0.82 | 2016 est. |
| 134 | Sweden | 0.81 | 2016 est. |
| 135 | United States | 0.81 | 2016 est. |
| 136 | Eritrea | 0.81 | 2016 est. |
| 137 | New Zealand | 0.80 | 2016 est. |
| 138 | Sri Lanka | 0.80 | 2016 est. |
| 139 | Chile | 0.80 | 2016 est. |
| 140 | Seychelles | 0.80 | 2016 est. |
| 141 | Jersey | 0.79 | 2016 est. |
| 142 | San Marino | 0.78 | 2016 est. |
| 143 | Macau | 0.77 | 2016 est. |
| 144 | Saint Kitts and Nevis | 0.75 | 2016 est. |
| 145 | Brazil | 0.75 | 2016 est. |
| 146 | Canada | 0.74 | 2016 est. |
| 147 | Belgium | 0.73 | 2016 est. |
| 148 | Isle of Man | 0.72 | 2016 est. |
| 149 | Switzerland | 0.70 | 2016 est. |
| 150 | Jamaica | 0.68 | 2016 est. |
| 151 | Guam | 0.64 | 2016 est. |
| 152 | Fiji | 0.63 | 2016 est. |
| 153 | Mauritius | 0.61 | 2016 est. |
| 154 | Samoa | 0.59 | 2016 est. |
| 155 | Korea, North | 0.53 | 2016 est. |
| 156 | Korea, South | 0.53 | 2016 est. |
| 157 | United Kingdom | 0.53 | 2016 est. |
| 158 | Faroe Islands | 0.53 | 2016 est. |
| 159 | Nauru | 0.52 | 2016 est. |
| 160 | Austria | 0.51 | 2016 est. |
| 161 | Montserrat | 0.48 | 2016 est. |
| 162 | Bermuda | 0.47 | 2016 est. |
| 163 | Grenada | 0.46 | 2016 est. |
| 164 | China | 0.43 | 2016 est. |
| 165 | Curacao | 0.42 | 2016 est. |
| 166 | France | 0.41 | 2016 est. |
| 167 | Netherlands | 0.40 | 2016 est. |
| 168 | Palau | 0.39 | 2016 est. |
