CIA - The World Factbook --  Population   

This entry gives an estimate from the US Bureau of the Census based on statistics from population censuses, vital statistics registration systems, or sample surveys pertaining to the recent past and on assumptions about future trends. The total population presents one overall measure of the potential impact of the country on the world and within its region. Note: Starting with the 1993 Factbook, demographic estimates for some countries (mostly African) have explicitly taken into account the effects of the growing impact of the HIV/AIDS epidemic. These countries are currently: The Bahamas, Benin, Botswana, Brazil, Burkina Faso, Burma, Burundi, Cambodia, Cameroon, Central African Republic, Democratic Republic of the Congo, Republic of the Congo, Cote d'Ivoire, Ethiopia, Gabon, Ghana, Guyana, Haiti, Honduras, Kenya, Lesotho, Malawi, Mozambique, Namibia, Nigeria, Rwanda, South Africa, Swaziland, Tanzania, Thailand, Togo, Uganda, Zambia, and Zimbabwe.

| Rank | country | Population | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 1,349,585,838 | July 2013 est. |
| 2 | India | 1,220,800,359 | July 2013 est. |
| 3 | European Union | 509,365,627 | July 2013 est. |
| 4 | United States | 316,668,567 | July 2013 est. |
| 5 | Indonesia | 251,160,124 | July 2013 est. |
| 6 | Brazil | 201,009,622 | July 2013 est. |
| 7 | Pakistan | 193,238,868 | July 2013 est. |
| 8 | Nigeria | 174,507,539 | NA |
| 9 | Bangladesh | 163,654,860 | July 2013 est. |
| 10 | Russia | 142,500,482 | July 2013 est. |
| 11 | Japan | 127,253,075 | July 2013 est. |
| 12 | Mexico | 116,220,947 | July 2013 est. |
| 13 | Philippines | 105,720,644 | July 2013 est. |
| 14 | Ethiopia | 93,877,025 | NA |
| 15 | Vietnam | 92,477,857 | July 2013 est. |
| 16 | Egypt | 85,294,388 | July 2013 est. |
| 17 | Germany | 81,147,265 | July 2013 est. |
| 18 | Turkey | 80,694,485 | July 2013 est. |
| 19 | Iran | 79,853,900 | July 2013 est. |
| 20 | Congo, Democratic Republic of the | 75,507,308 | NA |
| 21 | Thailand | 67,448,120 | NA |
| 22 | France | 65,951,611 | NA |
| 23 | United Kingdom | 63,395,574 | July 2013 est. |
| 24 | Italy | 61,482,297 | July 2013 est. |
| 25 | Burma | 55,167,330 | NA |
| 26 | Korea, South | 48,955,203 | July 2013 est. |
| 27 | South Africa | 48,601,098 | NA |
| 28 | Tanzania | 48,261,942 | NA |
