CIA - The World Factbook --  Public debt   

This entry records the cumulative total of all government borrowings less repayments that are denominated in a country's home currency. Public debt should not be confused with external debt, which reflects the foreign currency liabilities of both the private and public sector and must be financed out of foreign exchange earnings.

| Rank | country | (% of GDP) | Date of Information |
| --- | --- | --- | --- |
| 1 | Zimbabwe | 244.20 | 2012 est. |
| 2 | Japan | 219.10 | 2012 est. |
| 3 | Greece | 156.90 | 2012 est. |
| 4 | Saint Kitts and Nevis | 144.00 | 2012 est. |
| 5 | Jamaica | 132.90 | 2012 est. |
| 6 | Iceland | 131.80 | 2012 est. |
| 7 | Italy | 126.90 | 2012 est. |
| 8 | Eritrea | 125.80 | 2012 est. |
| 9 | Portugal | 123.60 | 2012 est. |
| 10 | Lebanon | 119.60 | 2012 est. |
| 11 | Ireland | 117.60 | 2012 est. |
| 12 | Singapore | 111.40 | 2012 est. |
| 13 | Grenada | 110.00 | 2012 est. |
| 14 | Sudan | 101.70 | 2012 est. |
| 15 | Belgium | 99.60 | 2012 est. |
| 16 | Puerto Rico | 93.20 | 2012 est. |
| 17 | France | 90.30 | 2012 est. |
| 18 | Antigua and Barbuda | 89.00 | 2012 est. |
| 19 | United Kingdom | 88.70 | 2012 est. |
| 20 | Egypt | 88.00 | 2012 est. |
| 21 | Cabo Verde | 86.20 | 2012 est. |
| 22 | Cyprus | 85.80 | 2012 est. |
| 23 | Barbados | 85.60 | 2012 est. |
| 24 | Canada | 85.40 | 2012 est. |
| 25 | Belize | 84.60 | 2012 est. |
| 26 | Spain | 84.10 | 2012 est. |
| 27 | Germany | 81.00 | 2012 est. |
| 28 | Hungary | 79.30 | 2012 est. |
| 29 | Sri Lanka | 79.10 | 2012 est. |
| 30 | Saint Lucia | 77.00 | 2012 est. |
| 31 | Austria | 75.70 | 2012 est. |
| 32 | Jordan | 75.50 | 2012 est. |
| 33 | Sao Tome and Principe | 75.50 | 2012 est. |
| 34 | Malta | 71.30 | 2012 est. |
| 35 | Morocco | 71.20 | 2012 est. |
| 36 | Netherlands | 71.10 | 2012 est. |
| 37 | Dominica | 70.00 | 2012 est. |
| 38 | United States | 70.00 | 2012 est. |
| 39 | Seychelles | 68.40 | 2012 est. |
| 40 | Saint Vincent and the Grenadines | 68.00 | 2011 est. |
| 41 | Israel | 66.90 | 2012 est. |
| 42 | Malawi | 62.70 | 2012 est. |
| 43 | Serbia | 62.00 | 2012 est. |
| 44 | Guyana | 59.50 | 2012 est. |
| 45 | Uruguay | 59.40 | 2012 est. |
| 46 | El Salvador | 59.20 | 2012 est. |
| 47 | Albania | 58.80 | 2012 est. |
| 48 | Brazil | 58.80 | 2012 est. |
| 49 | Nicaragua | 58.60 | 2012 est. |
| 50 | Mauritius | 57.70 | 2012 est. |
| 51 | Bahrain | 54.20 | 2012 est. |
| 52 | Croatia | 53.70 | 2012 est. |
| 53 | Fiji | 53.50 | 2012 est. |
| 54 | Malaysia | 53.30 | 2012 est. |
| 55 | Finland | 53.10 | 2012 est. |
| 56 | Kenya | 52.50 | 2012 est. |
| 57 | Switzerland | 52.40 | 2011 est. |
| 58 | Syria | 52.40 | 2012 est. |
| 59 | Pakistan | 52.10 | 2012 est. |
| 60 | Montenegro | 52.10 | 2012 est. |
| 61 | Slovakia | 52.10 | 2012 est. |
| 62 | Costa Rica | 51.90 | 2012 est. |
| 63 | India | 51.70 | 2012 est. |
| 64 | Philippines | 51.50 | 2012 est. |
| 65 | Burundi | 50.30 | 2012 est. |
| 66 | Ghana | 50.00 | 2012 est. |
| 67 | Laos | 49.10 | 2012 est. |
| 68 | Poland | 48.30 | 2012 est. |
| 69 | Vietnam | 48.10 | 2012 est. |
| 70 | Cote d'Ivoire | 47.80 | 2012 est. |
| 71 | Slovenia | 47.60 | 2012 est. |
