CIA - The World Factbook --  Radio broadcast stations   

| Rank | country | Radio broadcast stations | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | 13,655.00 | NA |
| 2 | United States | 8,961.00 | 2006 |
| 3 | United States | 4,789.00 | 2006 |
| 4 | Italy | 4,600.00 | 1998 |
| 5 | France | 3,500.00 | 1998 |
| 6 | Russia | 1,500.00 | 2004 |
| 7 | Brazil | 1,365.00 | 1999 |
| 8 | Turkey | 1,090.00 | 2009 |
| 9 | European Union | 930.00 | NA |
| 10 | Mexico | 851.00 | 2009 |
| 11 | Germany | 787.00 | 1998 |
| 12 | Mexico | 726.00 | 2009 |
| 13 | Romania | 698.00 | 2006 |
| 14 | United Kingdom | 696.00 | 2008 |
| 15 | Indonesia | 678.00 | 1998 |
| 16 | Philippines | 659.00 | 2008 |
| 17 | Canada | 582.00 | 2004 |
| 18 | Netherlands | 567.00 | 2009 |
| 19 | Ukraine | 524.00 | 2006 |
| 20 | Guatemala | 487.00 | 2000 |
| 21 | Peru | 472.00 | 1999 |
| 22 | Colombia | 454.00 | 1999 |
| 23 | Ecuador | 392.00 | 2001 |
| 24 | Malaysia | 391.00 | 2001 |
| 25 | Philippines | 383.00 | 2008 |
| 26 | China | 369.00 | 1998 |
| 27 | Denmark | 355.00 | 1998 |
| 28 | Thailand | 351.00 | 2007 |
| 29 | South Africa | 347.00 | 1998 |
| 30 | Australia | 345.00 | 1998 |
| 31 | Russia | 323.00 | 2004 |
| 32 | Korea, South | 322.00 | 2008 |
| 33 | Serbia | 308.00 | 2009 |
| 34 | Czech Republic | 304.00 | 2000 |
| 35 | Brazil | 296.00 | 1999 |
| 36 | New Zealand | 290.00 | 1998 |
| 37 | Australia | 262.00 | 1998 |
| 38 | Argentina | 260.00 | 1998 |
| 39 | China | 259.00 | 1998 |
| 40 | Spain | 250.00 | 2008 |
| 41 | Canada | 245.00 | 2004 |
| 42 | Honduras | 241.00 | 1998 |
| 43 | Thailand | 238.00 | 2007 |
| 44 | Slovenia | 230.00 | 2006 |
| 45 | Mali | 230.00 | 2001 |
| 46 | Japan | 215.00 | 2001 |
| 47 | United Kingdom | 206.00 | 2008 |
| 48 | Peru | 198.00 | 1999 |
| 49 | Uruguay | 191.00 | 2005 |
| 50 | Peru | 189.00 | 1999 |
| 51 | Chile | 180.00 | 1998 |
| 52 | Bolivia | 171.00 | 1999 |
| 53 | India | 171.00 | 2009 |
| 54 | Cuba | 169.00 | 1998 |
| 55 | Brazil | 161.00 | 1999 |
| 56 | Norway | 160.00 | 2008 |
| 57 | India | 149.00 | 2009 |
| 58 | El Salvador | 144.00 | 2005 |
| 59 | Taiwan | 143.00 | 2008 |
| 60 | Lithuania | 142.00 | 2001 |
| 61 | Panama | 134.00 | 1998 |
| 62 | Venezuela | 131.00 | 2008 |
| 63 | Guatemala | 130.00 | 2000 |
| 64 | Sweden | 124.00 | 2008 |
| 65 | New Zealand | 124.00 | 1998 |
| 66 | Paraguay | 121.00 | 2006 |
| 67 | Dominican Republic | 120.00 | 1998 |
| 68 | Mongolia | 108.00 | 2009 |
| 69 | Ireland | 106.00 | 1998 |
| 70 | Switzerland | 106.00 | 2008 |
| 71 | Panama | 101.00 | 1998 |
| 72 | Italy | 100.00 | 1998 |
| 73 | Croatia | 98.00 | 1999 |
| 74 | Korea, South | 96.00 | 2008 |
| 75 | Uruguay | 93.00 | 2005 |
| 76 | Hungary | 90.00 | 2008 |
| 77 | Japan | 89.00 | 2001 |
| 78 | Greece | 88.00 | 1998 |
| 79 | Ghana | 86.00 | 2007 |
| 80 | Nigeria | 83.00 | 2001 |
| 81 | Kenya | 82.00 | 2008 |
| 82 | Indonesia | 82.00 | 1998 |
| 83 | Nepal | 80.00 | 2008 |
| 84 | Belgium | 79.00 | 1998 |
| 85 | Bolivia | 77.00 | 1999 |
| 86 | Cyprus | 76.00 | 2004 |
| 87 | Puerto Rico | 74.00 | 2008 |
| 88 | Bolivia | 73.00 | 1999 |
| 89 | Iran | 72.00 | 2010 |
| 90 | European Union | 71.00 | NA |
| 91 | Iceland | 70.00 | 2008 |
| 92 | Macedonia | 68.00 | 2009 |
| 93 | Pakistan | 68.00 | 2006 |
| 94 | Vietnam | 65.00 | 1999 |
| 95 | Austria | 65.00 | 2009 |
| 96 | Costa Rica | 65.00 | 2002 |
| 97 | Chile | 64.00 | 1998 |
| 98 | Nicaragua | 63.00 | 1998 |
| 99 | Bulgaria | 63.00 | 2001 |
| 100 | Portugal | 63.00 | 2008 |
| 101 | Poland | 63.00 | 2008 |
| 102 | Latvia | 62.00 | 2008 |
| 103 | Russia | 62.00 | 2004 |
| 104 | Kazakhstan | 60.00 | 2008 |
| 105 | Finland | 59.00 | 2008 |
| 106 | Dominican Republic | 56.00 | 1998 |
| 107 | Cuba | 55.00 | 1998 |
| 108 | Iraq | 55.00 | 2009 |
| 109 | India | 54.00 | 2009 |
| 110 | Puerto Rico | 53.00 | 2008 |
| 111 | Haiti | 53.00 | 2009 |
| 112 | Honduras | 53.00 | 1998 |
| 113 | El Salvador | 52.00 | 2005 |
| 114 | Sri Lanka | 52.00 | 2007 |
| 115 | Germany | 51.00 | 1998 |
| 116 | Costa Rica | 51.00 | 2002 |
| 117 | Cambodia | 50.00 | 2008 |
| 118 | Afghanistan | 48.00 | 2009 |
| 119 | Albania | 46.00 | 2005 |
| 120 | Venezuela | 46.00 | 2008 |
| 121 | China | 45.00 | 1998 |
| 122 | Indonesia | 43.00 | 1998 |
| 123 | Saudi Arabia | 43.00 | 1998 |
| 124 | Egypt | 42.00 | 2010 |
| 125 | Paraguay | 41.00 | 2006 |
| 126 | France | 41.00 | 1998 |
| 127 | Haiti | 41.00 | 2009 |
| 128 | Fiji | 40.00 | 1998 |
| 129 | Namibia | 39.00 | 2001 |
| 130 | Tunisia | 38.00 | 2007 |
| 131 | Belarus | 37.00 | 1998 |
| 132 | Nigeria | 36.00 | 2001 |
| 133 | Ecuador | 35.00 | 2001 |
| 134 | Malaysia | 35.00 | 2001 |
| 135 | Laos | 34.00 | 2010 |
| 136 | Colombia | 34.00 | 1999 |
| 137 | Benin | 34.00 | 2007 |
| 138 | Estonia | 34.00 | 2009 |
| 139 | Uganda | 33.00 | 2001 |
| 140 | Nicaragua | 32.00 | 1998 |
| 141 | Saudi Arabia | 31.00 | 1998 |
| 142 | Montenegro | 31.00 | 2004 |
| 143 | Bulgaria | 31.00 | 2001 |
| 144 | Czech Republic | 31.00 | 2000 |
| 145 | Pakistan | 31.00 | 2006 |
| 146 | Lebanon | 30.00 | 2009 |
| 147 | Vietnam | 29.00 | 1999 |
| 148 | Ecuador | 29.00 | 2001 |
| 149 | Lithuania | 29.00 | 2001 |
| 150 | Moldova | 29.00 | 2006 |
| 151 | Trinidad and Tobago | 28.00 | 2008 |
| 152 | Belarus | 28.00 | 1998 |
| 153 | Jordan | 28.00 | 2010 |
| 154 | Papua New Guinea | 28.00 | 1998 |
| 155 | Colombia | 27.00 | 1999 |
| 156 | West Bank | 27.00 | 2010 |
| 157 | Syria | 26.00 | 2010 |
| 158 | Burkina Faso | 26.00 | 2007 |
| 159 | Greece | 26.00 | 1998 |
| 160 | Algeria | 25.00 | 1999 |
| 161 | Uzbekistan | 24.00 | 2008 |
| 162 | Kenya | 24.00 | 2008 |
| 163 | Jamaica | 24.00 | 2008 |
| 164 | Suriname | 23.00 | 2008 |
| 165 | Kyrgyzstan | 23.00 | 2009 |
| 166 | Israel | 23.00 | 2010 |
| 167 | Slovakia | 22.00 | 2008 |
| 168 | Cape Verde | 22.00 | 2001 |
| 169 | Egypt | 22.00 | 2010 |
| 170 | Taiwan | 21.00 | 2008 |
| 171 | Angola | 21.00 | 2001 |
| 172 | Japan | 21.00 | 2001 |
| 173 | Iran | 21.00 | 2010 |
| 174 | Zimbabwe | 20.00 | 1998 |
| 175 | Senegal | 20.00 | 2001 |
| 176 | Uzbekistan | 20.00 | 2008 |
| 177 | Lebanon | 20.00 | 2009 |
| 178 | Singapore | 19.00 | 2008 |
| 179 | United States | 19.00 | 2006 |
| 180 | Bangladesh | 19.00 | 2009 |
| 181 | Papua New Guinea | 19.00 | 1998 |
| 182 | Costa Rica | 19.00 | 2002 |
| 183 | Zambia | 19.00 | 2001 |
| 184 | Spain | 18.00 | 2008 |
