CIA - The World Factbook --  Radios   

| Rank | country | Radios | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 575,000,000.00 | 1997 |
| 2 | China | 417,000,000.00 | 1997 |
| 3 | Japan | 120,500,000.00 | 1997 |
| 4 | India | 116,000,000.00 | 1997 |
| 5 | United Kingdom | 84,500,000.00 | 1997 |
| 6 | Germany | 77,800,000.00 | 1997 |
| 7 | Brazil | 71,000,000.00 | 1997 |
| 8 | Russia | 61,500,000.00 | 1997 |
| 9 | France | 55,300,000.00 | 1997 |
| 10 | Italy | 50,500,000.00 | 1997 |
| 11 | Korea, South | 47,500,000.00 | 2000 |
| 12 | Ukraine | 45,050,000.00 | 1997 |
| 13 | Canada | 32,300,000.00 | 1997 |
| 14 | Indonesia | 31,500,000.00 | 1997 |
| 15 | Mexico | 31,000,000.00 | 1997 |
| 16 | Australia | 25,500,000.00 | 1997 |
| 17 | Argentina | 24,300,000.00 | 1997 |
| 18 | Nigeria | 23,500,000.00 | 1997 |
| 19 | Colombia | 21,000,000.00 | 1997 |
| 20 | Egypt | 20,500,000.00 | 1997 |
| 21 | Poland | 20,200,000.00 | 1997 |
| 22 | Congo, Democratic Republic of the | 18,030,000.00 | 1997 |
| 23 | Iran | 17,000,000.00 | 1997 |
| 24 | South Africa | 17,000,000.00 | 2001 |
| 25 | Taiwan | 16,000,000.00 | 1994 |
| 26 | Netherlands | 15,300,000.00 | 1996 |
| 27 | Ethiopia | 15,200,000.00 | 2002 |
| 28 | Thailand | 13,960,000.00 | 1997 |
| 29 | Pakistan | 13,500,000.00 | 1997 |
| 30 | Spain | 13,100,000.00 | 1997 |
| 31 | Ghana | 12,500,000.00 | 2001 |
| 32 | Philippines | 11,500,000.00 | 1997 |
| 33 | Turkey | 11,300,000.00 | 1997 |
| 34 | Malaysia | 10,900,000.00 | 1999 |
| 35 | Uzbekistan | 10,800,000.00 | 1997 |
| 36 | Venezuela | 10,750,000.00 | 1997 |
| 37 | Tanzania | 8,800,000.00 | 1997 |
| 38 | Sweden | 8,250,000.00 | 1997 |
| 39 | Vietnam | 8,200,000.00 | 1997 |
| 40 | Belgium | 8,075,000.00 | 1997 |
| 41 | Finland | 7,700,000.00 | 1997 |
| 42 | Sudan | 7,550,000.00 | 1997 |
| 43 | Romania | 7,200,000.00 | 1997 |
| 44 | Algeria | 7,100,000.00 | 1997 |
| 45 | Switzerland | 7,100,000.00 | 1997 |
| 46 | Hungary | 7,010,000.00 | 1997 |
| 47 | Peru | 6,650,000.00 | 1997 |
| 48 | Morocco | 6,640,000.00 | 1997 |
| 49 | Kazakhstan | 6,470,000.00 | 1997 |
| 50 | Saudi Arabia | 6,250,000.00 | 1997 |
| 51 | Bangladesh | 6,150,000.00 | 1997 |
| 52 | Austria | 6,080,000.00 | 1997 |
| 53 | Denmark | 6,020,000.00 | 1997 |
| 54 | Bolivia | 5,250,000.00 | 1997 |
| 55 | Chile | 5,180,000.00 | 1997 |
| 56 | Greece | 5,020,000.00 | 1997 |
| 57 | Ecuador | 5,000,000.00 | 2001 |
| 58 | Uganda | 5,000,000.00 | 2001 |
| 59 | Iraq | 4,850,000.00 | 1997 |
| 60 | Bulgaria | 4,510,000.00 | 1997 |
| 61 | Hong Kong | 4,450,000.00 | 1997 |
| 62 | Burma | 4,200,000.00 | 1997 |
| 63 | Syria | 4,150,000.00 | 1997 |
| 64 | Norway | 4,030,000.00 | 1997 |
| 65 | Cuba | 3,900,000.00 | 1997 |
| 66 | Sri Lanka | 3,850,000.00 | 1997 |
| 67 | New Zealand | 3,750,000.00 | 1997 |
| 68 | Korea, North | 3,360,000.00 | 1997 |
| 69 | Moldova | 3,220,000.00 | 1997 |
| 70 | Czech Republic | 3,159,134.00 | December 2000 |
| 71 | Slovakia | 3,120,000.00 | 1997 |
| 72 | Israel | 3,070,000.00 | 1997 |
| 73 | Kenya | 3,070,000.00 | 1997 |
| 74 | Madagascar | 3,050,000.00 | 1997 |
| 75 | Belarus | 3,020,000.00 | 1997 |
| 76 | Portugal | 3,020,000.00 | 1997 |
| 77 | Georgia | 3,020,000.00 | 1997 |
| 78 | Lebanon | 2,850,000.00 | 1997 |
| 79 | El Salvador | 2,750,000.00 | 1997 |
| 80 | Puerto Rico | 2,700,000.00 | 1997 |
| 81 | Malawi | 2,600,000.00 | 1997 |
| 82 | Singapore | 2,600,000.00 | 2000 |
| 83 | Ireland | 2,550,000.00 | 1997 |
| 84 | Honduras | 2,450,000.00 | 1997 |
| 85 | Cameroon | 2,270,000.00 | 1997 |
| 86 | Cote d'Ivoire | 2,260,000.00 | 1997 |
| 87 | Tunisia | 2,060,000.00 | 1997 |
| 88 | Uruguay | 1,970,000.00 | 1997 |
| 89 | Lithuania | 1,900,000.00 | 1997 |
| 90 | Latvia | 1,760,000.00 | 1997 |
