CIA - The World Factbook --  REFINED PETROLEUM PRODUCTS - IMPORTS

Refined petroleum products - imports is the country's total imports of refined petroleum products, in barrels per day (bbl/day).

| Rank | Country | (BBL/DAY) | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | 8,613,000 | 2010 est. |
| 2 | Netherlands | 2,131,000 | 2010 est. |
| 3 | United States | 2,071,000 | 2010 est. |
| 4 | Singapore | 1,360,000 | 2012 est. |
| 5 | China | 1,236,000 | 2013 est. |
| 6 | Japan | 951,000 | 2013 est. |
| 7 | France | 915,400 | 2010 est. |
| 8 | Korea, South | 880,100 | 2012 est. |
| 9 | United Kingdom | 678,600 | 2013 est. |
| 10 | Germany | 666,300 | 2010 est. |
| 11 | Mexico | 653,200 | 2010 est. |
| 12 | Indonesia | 473,400 | 2011 est. |
| 13 | Brazil | 457,400 | 2010 est. |
| 14 | Belgium | 433,100 | 2010 est. |
| 15 | Turkey | 423,500 | 2010 est. |
| 16 | Spain | 390,200 | 2012 est. |
| 17 | Australia | 386,000 | 2010 est. |
| 18 | United Arab Emirates | 351,400 | 2010 est. |
| 19 | Italy | 347,000 | 2010 est. |
| 20 | Hong Kong | 345,900 | 2013 est. |
| 21 | India | 312,000 | 2013 est. |
| 22 | Taiwan | 304,700 | 2011 est. |
| 23 | Curacao | 291,700 | 2009 est. |
| 24 | Canada | 238,900 | 2010 est. |
| 25 | Pakistan | 227,100 | 2010 est. |
| 26 | Saudi Arabia | 196,700 | 2010 est. |
| 27 | Vietnam | 184,900 | 2012 est. |
| 28 | Iran | 180,400 | 2010 est. |
| 29 | Switzerland | 176,900 | 2010 est. |
| 30 | Puerto Rico | 176,000 | 2010 est. |
| 31 | Malaysia | 175,100 | 2010 est. |
| 32 | Iraq | 172,600 | 2010 est. |
| 33 | Egypt | 170,000 | 2013 est. |
| 34 | Sweden | 160,600 | 2010 est. |
| 35 | Nigeria | 151,700 | 2010 est. |
| 36 | Philippines | 147,900 | 2010 est. |
| 37 | Israel | 143,500 | 2010 est. |
| 38 | Morocco | 143,000 | 2010 est. |
| 39 | Chile | 138,900 | 2010 est. |
| 40 | Ecuador | 135,500 | 2012 est. |
| 41 | Ukraine | 126,500 | 2010 est. |
| 42 | Greece | 124,600 | 2010 est. |
| 43 | Austria | 123,900 | 2011 est. |
| 44 | Finland | 122,900 | 2010 est. |
| 45 | Lebanon | 120,400 | 2010 est. |
| 46 | Denmark | 120,400 | 2010 est. |
| 47 | Panama | 111,100 | 2010 est. |
| 48 | Ireland | 110,000 | 2010 est. |
| 49 | Poland | 109,900 | 2010 est. |
| 50 | Syria | 104,800 | 2010 est. |
| 51 | Kazakhstan | 94,430 | 2010 est. |
| 52 | Norway | 91,980 | 2010 est. |
| 53 | Portugal | 86,720 | 2013 est. |
| 54 | Dominican Republic | 85,490 | 2010 est. |
| 55 | Bangladesh | 84,490 | 2010 est. |
| 56 | Tunisia | 80,980 | 2010 est. |
| 57 | South Africa | 79,010 | 2010 est. |
| 58 | Argentina | 76,550 | 2010 est. |
