CIA - The World Factbook --  Refined petroleum products - production   

This entry is the country's total output of refined petroleum products, in barrels per day (bbl/day). The discrepancy between the amount of refined petroleum products produced and/or imported and the amount consumed and/or exported is due to the omission of stock changes, refinery gains, and other complicating factors.

| Rank | country | (bbl/day) | Date of Information |
| --- | --- | --- | --- |
| 1 | World | 81,740,000 | 2008 est. |
| 2 | United States | 17,880,000 | 2009 est. |
| 3 | European Union | 12,190,000 | 2011 est. |
| 4 | China | 8,992,000 | 2011 est. |
| 5 | Russia | 4,802,000 | 2008 est. |
| 6 | Japan | 3,861,000 | 2009 est. |
| 7 | India | 3,226,000 | 2008 est. |
| 8 | Korea, South | 2,476,000 | 2009 est. |
| 9 | Germany | 2,348,000 | 2009 est. |
| 10 | Brazil | 2,008,000 | 2008 est. |
| 11 | Canada | 1,978,000 | 2009 est. |
| 12 | Saudi Arabia | 1,914,000 | 2010 est. |
| 13 | Italy | 1,887,000 | 2010 est. |
| 14 | Iran | 1,801,000 | 2008 est. |
| 15 | France | 1,694,000 | 2009 est. |
| 16 | United Kingdom | 1,584,000 | 2009 est. |
| 17 | Mexico | 1,458,000 | 2009 est. |
| 18 | Netherlands | 1,239,000 | 2009 est. |
| 19 | Spain | 1,211,000 | 2009 est. |
| 20 | Venezuela | 1,176,000 | 2008 est. |
| 21 | Singapore | 1,116,000 | 2008 est. |
| 22 | Indonesia | 935,000 | 2008 est. |
| 23 | Taiwan | 923,900 | 2008 est. |
| 24 | Kuwait | 902,000 | 2008 est. |
| 25 | Thailand | 837,400 | 2008 est. |
| 26 | Belgium | 693,500 | 2009 est. |
| 27 | Australia | 674,700 | 2009 est. |
| 28 | Malaysia | 649,700 | 2008 est. |
| 29 | Egypt | 628,100 | 2008 est. |
| 30 | Argentina | 604,200 | 2008 est. |
| 31 | South Africa | 516,100 | 2008 est. |
| 32 | Virgin Islands | 493,200 | 2008 est. |
| 33 | Poland | 462,600 | 2009 est. |
| 34 | Algeria | 447,100 | 2008 est. |
| 35 | Greece | 440,200 | 2009 est. |
| 36 | Belarus | 427,800 | 2008 est. |
| 37 | Sweden | 413,300 | 2009 est. |
| 38 | Iraq | 410,500 | 2008 est. |
| 39 | United Arab Emirates | 346,900 | 2008 est. |
| 40 | Turkey | 343,400 | 2009 est. |
| 41 | Norway | 324,000 | 2009 est. |
| 42 | Colombia | 316,500 | 2008 est. |
| 43 | Libya | 309,000 | 2008 est. |
| 44 | Kazakhstan | 301,500 | 2008 est. |
| 45 | Finland | 301,500 | 2009 est. |
| 46 | Romania | 298,200 | 2008 est. |
| 47 | Bahrain | 263,000 | 2008 est. |
| 48 | Ukraine | 262,200 | 2008 est. |
| 49 | Syria | 255,600 | 2008 est. |
| 50 | Israel | 242,100 | 2008 est. |
| 51 | Portugal | 237,000 | 2009 est. |
| 52 | Pakistan | 215,900 | 2008 est. |
| 53 | Chile | 209,600 | 2008 est. |
| 54 | Aruba | 205,400 | 2008 est. |
| 55 | Lithuania | 202,600 | 2008 est. |
| 56 | Austria | 188,500 | 2010 est. |
| 57 | Philippines | 179,700 | 2008 est. |
| 58 | Ecuador | 174,900 | 2008 est. |
| 59 | Peru | 173,700 | 2008 est. |
| 60 | Hungary | 167,900 | 2009 est. |
| 61 | Czech Republic | 167,000 | 2009 est. |
| 62 | Trinidad and Tobago | 165,100 | 2008 est. |
| 63 | Azerbaijan | 161,100 | 2008 est. |
| 64 | Turkmenistan | 160,300 | 2008 est. |
| 65 | Denmark | 158,500 | 2009 est. |
| 66 | Qatar | 153,800 | 2008 est. |
| 67 | Slovakia | 136,100 | 2009 est. |
| 68 | Bulgaria | 120,000 | 2010 est. |
| 69 | Morocco | 113,300 | 2008 est. |
| 70 | New Zealand | 106,000 | 2009 est. |
| 71 | Oman | 106,000 | 2008 est. |
| 72 | Cuba | 105,200 | 2008 est. |
| 73 | Switzerland | 103,500 | 2009 est. |
| 74 | Nigeria | 102,100 | 2008 est. |
| 75 | Croatia | 94,620 | 2008 est. |
| 76 | Uzbekistan | 90,690 | 2008 est. |
| 77 | Sudan | 85,890 | 2008 est. |
| 78 | Yemen | 83,130 | 2008 est. |
| 79 | Jordan | 79,190 | 2008 est. |
| 80 | Cote d'Ivoire | 70,870 | 2008 est. |
| 81 | Serbia | 55,960 | 2008 est. |
| 82 | Ireland | 55,340 | 2009 est. |
| 83 | Sri Lanka | 50,000 | 2012 est. |
| 84 | Uruguay | 43,370 | 2008 est. |
| 85 | Bolivia | 42,640 | 2008 est. |
| 86 | Cameroon | 42,520 | 2008 est. |
| 87 | Puerto Rico | 37,450 | 2008 est. |
| 88 | Angola | 37,310 | 2008 est. |
| 89 | Tunisia | 36,670 | 2008 est. |
| 90 | Dominican Republic | 33,800 | 2008 est. |
| 91 | Kenya | 30,960 | 2008 est. |
| 92 | Ghana | 27,260 | 2008 est. |
