CIA - The World Factbook --  Refugees and internally displaced persons   

| Rank | country | Refugees and internally displaced persons | Date of Information |
| --- | --- | --- | --- |
| 1 | Syria | 6,500,000.00 | NA |
| 2 | Sudan | 2,818,000.00 | NA |
| 3 | Congo, Democratic Republic of the | 2,634,872.00 | NA |
| 4 | Pakistan | 2,600,000.00 | NA |
| 5 | Iran | 2,400,000.00 | NA |
| 6 | Jordan | 2,070,973.00 | NA |
| 7 | Iraq | 1,545,000.00 | NA |
| 8 | Gaza Strip | 1,240,082.00 | NA |
| 9 | Lebanon | 1,108,202.00 | NA |
| 10 | South Sudan | 1,089,200.00 | NA |
| 11 | Pakistan | 930,000.00 | NA |
| 12 | Burma | 808,075.00 | NA |
| 13 | Nepal | 800,000.00 | NA |
| 14 | Turkey | 789,469.00 | NA |
| 15 | West Bank | 754,411.00 | NA |
| 16 | Cote d'Ivoire | 700,000.00 | NA |
| 17 | Afghanistan | 667,158.00 | NA |
| 18 | Burma | 640,900.00 | NA |
| 19 | Azerbaijan | 597,429.00 | NA |
| 20 | Jordan | 597,328.00 | NA |
| 21 | Central African Republic | 542,400.00 | NA |
| 22 | Syria | 517,255.00 | NA |
| 23 | Thailand | 506,197.00 | NA |
| 24 | Lebanon | 447,328.00 | NA |
| 25 | Kenya | 426,750.00 | NA |
| 26 | Kenya | 412,000.00 | NA |
| 27 | Chad | 352,948.00 | NA |
| 28 | Yemen | 309,823.00 | NA |
| 29 | China | 300,896.00 | NA |
| 30 | Latvia | 280,759.00 | NA |
| 31 | Ethiopia | 244,956.00 | NA |
| 32 | Yemen | 233,723.00 | NA |
| 33 | Bangladesh | 231,125.00 | NA |
| 34 | Iraq | 225,475.00 | NA |
| 35 | Syria | 221,000.00 | NA |
| 36 | South Sudan | 218,534.00 | NA |
| 37 | Cyprus | 208,000.00 | 2012 |
| 38 | Venezuela | 204,259.00 | NA |
| 39 | Ethiopia | 191,303.00 | NA |
| 40 | Cameroon | 184,536.00 | NA |
| 41 | Russia | 178,000.00 | NA |
| 42 | Kyrgyzstan | 172,000.00 | NA |
