CIA - The World Factbook --  Sex ratio   

This entry includes the number of males for each female in five age groups - at birth, under 15 years, 15-64 years, 65 years and over, and for the total population. Sex ratio at birth has recently emerged as an indicator of certain kinds of sex discrimination in some countries. For instance, high sex ratios at birth in some Asian countries are now attributed to sex-selective abortion and infanticide due to a strong preference for sons. This will affect future marriage patterns and fertility patterns. Eventually, it could cause unrest among young adult males who are unable to find partners.

| Rank | country | (male(s)/female) | Date of Information |
| --- | --- | --- | --- |
| 1 | Qatar | 4.15 | 2011 est. |
| 2 | Qatar | 3.29 | 2011 est. |
| 3 | United Arab Emirates | 2.75 | 2011 est. |
| 4 | United Arab Emirates | 2.19 | 2011 est. |
| 5 | United Arab Emirates | 1.77 | 2011 est. |
| 6 | Bahrain | 1.75 | 2011 est. |
| 7 | Kuwait | 1.60 | 2011 est. |
| 8 | Montserrat | 1.55 | 2011 est. |
| 9 | Bahrain | 1.54 | 2011 est. |
| 10 | Qatar | 1.50 | 2011 est. |
| 11 | Maldives | 1.48 | 2011 est. |
| 12 | Kuwait | 1.43 | 2011 est. |
| 13 | Maldives | 1.34 | 2011 est. |
| 14 | Oman | 1.31 | 2011 est. |
| 15 | Saudi Arabia | 1.29 | 2011 est. |
| 16 | Liechtenstein | 1.26 | 2011 est. |
| 17 | Palau | 1.24 | 2011 est. |
| 18 | Sudan | 1.24 | 2011 est. |
| 19 | Oman | 1.22 | 2011 est. |
| 20 | Saudi Arabia | 1.21 | 2011 est. |
| 21 | Saint Barthelemy | 1.18 | 2011 est. |
| 22 | China | 1.17 | 2011 est. |
| 23 | Azerbaijan | 1.16 | 2011 est. |
| 24 | Georgia | 1.15 | 2011 est. |
| 25 | Armenia | 1.15 | 2011 est. |
| 26 | Curacao | 1.15 | 2010 |
| 27 | Saint Barthelemy | 1.14 | 2011 est. |
| 28 | San Marino | 1.14 | 2011 est. |
| 29 | Azerbaijan | 1.14 | 2011 est. |
| 30 | Greenland | 1.14 | 2011 est. |
| 31 | Papua New Guinea | 1.14 | 2011 est. |
| 32 | India | 1.13 | 2011 est. |
| 33 | China | 1.13 | 2011 est. |
| 34 | Faroe Islands | 1.13 | 2011 est. |
| 35 | Cook Islands | 1.13 | 2011 est. |
| 36 | Vietnam | 1.12 | 2011 est. |
| 37 | Palau | 1.12 | 2011 est. |
| 38 | Macau | 1.12 | 2011 est. |
| 39 | Armenia | 1.12 | 2011 est. |
| 40 | Bhutan | 1.12 | 2011 est. |
| 41 | Northern Mariana Islands | 1.12 | 2011 est. |
| 42 | Albania | 1.12 | 2011 est. |
| 43 | India | 1.12 | 2011 est. |
| 44 | Isle of Man | 1.11 | 2011 est. |
| 45 | Georgia | 1.11 | 2011 est. |
| 46 | Albania | 1.11 | 2011 est. |
| 47 | Bhutan | 1.11 | 2011 est. |
| 48 | Greenland | 1.11 | 2011 est. |
| 49 | Vietnam | 1.10 | 2011 est. |
| 50 | Seychelles | 1.10 | 2011 est. |
| 51 | Bhutan | 1.10 | 2011 est. |
| 52 | Grenada | 1.10 | 2011 est. |
| 53 | Greenland | 1.10 | 2011 est. |
| 54 | Kosovo | 1.10 | 2011 est. |
| 55 | Wallis and Futuna | 1.09 | 2011 est. |
| 56 | San Marino | 1.09 | 2011 est. |
| 57 | Portugal | 1.09 | 2011 est. |
| 58 | Liechtenstein | 1.09 | 2011 est. |
| 59 | Andorra | 1.09 | 2011 est. |
| 60 | Hong Kong | 1.09 | 2011 est. |
| 61 | Cyprus | 1.09 | 2011 est. |
| 62 | Faroe Islands | 1.09 | 2011 est. |
| 63 | Korea, South | 1.09 | 2011 est. |
| 64 | Switzerland | 1.08 | 2011 est. |
| 65 | Faroe Islands | 1.08 | 2011 est. |
| 66 | Taiwan | 1.08 | 2011 est. |
| 67 | Saudi Arabia | 1.08 | 2011 est. |
| 68 | Montserrat | 1.08 | 2011 est. |
| 69 | Montenegro | 1.08 | 2011 est. |
| 70 | Macedonia | 1.08 | 2011 est. |
| 71 | Macedonia | 1.08 | 2011 est. |
| 72 | Isle of Man | 1.08 | 2011 est. |
| 73 | India | 1.08 | 2011 est. |
