CIA - The World Factbook --  Stock of broad money   

This entry covers all of "Narrow money," plus the total quantity of time and savings deposits, credit union deposits, institutional money market funds, short-term repurchase agreements between the central bank and commercial deposit banks, and other large liquid assets held by nonbank financial institutions, state and local governments, nonfinancial public enterprises, and the private sector of the economy. National currency units have been converted to US dollars at the closing exchange rate for the date of the information. Because of exchange rate movements, changes in money stocks measured in national currency units may vary significantly from those shown in US dollars, and caution is urged when making comparisons over time in US dollars. In addition to serving as a medium of exchange, broad money includes assets that are slightly less liquid than narrow money and the assets tend to function as a "store of value" - a means of holding wealth.

| Rank | country | Stock of broad money | Date of Information |
| --- | --- | --- | --- |
| 1 | China | $ 15,490,000,000,000 | 31 December 2012 est. |
| 2 | Japan | $ 13,120,000,000,000 | 31 December 2011 est. |
| 3 | United States | $ 12,990,000,000,000 | 31 December 2011 est. |
| 4 | European Union | $ 12,270,000,000,000 | 31 December 2011 est. |
| 5 | Germany | $ 4,281,000,000,000 | 31 December 2012 est. |
| 6 | United Kingdom | $ 3,884,000,000,000 | 31 December 2011 est. |
| 7 | France | $ 2,571,000,000,000 | 31 December 2012 est. |
| 8 | Spain | $ 1,969,000,000,000 | 31 December 2012 est. |
| 9 | Italy | $ 1,944,000,000,000 | 31 December 2012 est. |
| 10 | Brazil | $ 1,878,000,000,000 | 30 November 2011 est. |
| 11 | Australia | $ 1,708,000,000,000 | 31 December 2012 est. |
| 12 | Korea, South | $ 1,596,000,000,000 | 31 December 2012 |
| 13 | Canada | $ 1,523,000,000,000 | 31 December 2012 est. |
| 14 | India | $ 1,451,000,000,000 | 31 December 2012 est. |
| 15 | Switzerland | $ 1,166,000,000,000 | 31 December 2012 est. |
| 16 | Hong Kong | $ 1,148,000,000,000 | 31 December 2012 est. |
| 17 | Taiwan | $ 1,119,000,000,000 | 31 December 2012 est. |
| 18 | Netherlands | $ 1,119,000,000,000 | 31 December 2011 est. |
| 19 | Russia | $ 1,061,000,000,000 | 31 December 2012 est. |
| 20 | Mexico | $ 738,000,000,000 | 31 December 2012 est. |
| 21 | Belgium | $ 543,200,000,000 | 31 December 2012 est. |
| 22 | Thailand | $ 488,700,000,000 | 31 December 2012 est. |
| 23 | Malaysia | $ 458,500,000,000 | 31 December 2012 est. |
| 24 | Sweden | $ 440,200,000,000 | 31 December 2011 est. |
| 25 | Austria | $ 419,000,000,000 | 31 December 2012 est. |
| 26 | Singapore | $ 400,800,000,000 | 31 December 2012 est. |
| 27 | Turkey | $ 386,500,000,000 | 31 December 2012 est. |
| 28 | Saudi Arabia | $ 360,300,000,000 | 31 December 2012 est. |
| 29 | Indonesia | $ 355,400,000,000 | 31 December 2012 est. |
| 30 | Norway | $ 309,200,000,000 | 31 December 2011 est. |
| 31 | Portugal | $ 298,300,000,000 | 31 December 2012 est. |
| 32 | Poland | $ 293,400,000,000 | 31 December 2012 est. |
| 33 | Ireland | $ 291,100,000,000 | 31 December 2011 est. |
| 34 | South Africa | $ 277,000,000,000 | 31 December 2011 est. |
| 35 | Greece | $ 251,500,000,000 | 31 December 2012 est. |
| 36 | United Arab Emirates | $ 234,700,000,000 | 31 December 2012 est. |
| 37 | Denmark | $ 230,800,000,000 | 31 December 2011 est. |
| 38 | Luxembourg | $ 229,900,000,000 | 31 December 2012 est. |
| 39 | Israel | $ 208,800,000,000 | 31 December 2009 est. |
| 40 | Iran | $ 199,900,000,000 | 31 December 2012 est. |
| 41 | Chile | $ 193,200,000,000 | 31 December 2011 est. |
| 42 | Egypt | $ 192,500,000,000 | 31 December 2012 est. |
| 43 | Venezuela | $ 188,200,000,000 | 31 December 2012 est. |
| 44 | Finland | $ 183,400,000,000 | 31 December 2012 est. |
| 45 | Vietnam | $ 163,900,000,000 | 30 October 2012 est. |
| 46 | New Zealand | $ 154,600,000,000 | 31 December 2011 est. |
