CIA - The World Factbook --  Stock of direct foreign investment - abroad   

This entry gives the cumulative US dollar value of all investments in foreign countries made directly by residents - primarily companies - of the home country, as of the end of the time period indicated. Direct investment excludes investment through purchase of shares.

| Rank | country | Stock of direct foreign investment - abroad | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $ 4,768,000,000,000 | 31 December 2012 est. |
| 2 | United Kingdom | $ 1,793,000,000,000 | 31 December 2012 est. |
| 3 | France | $ 1,702,000,000,000 | 31 December 2012 est. |
| 4 | Germany | $ 1,464,000,000,000 | 31 December 2012 est. |
| 5 | Hong Kong | $ 1,112,000,000,000 | 31 December 2012 est. |
| 6 | Switzerland | $ 1,063,000,000,000 | 31 December 2012 est. |
| 7 | Japan | $ 1,025,000,000,000 | 31 December 2012 est. |
| 8 | Belgium | $ 999,800,000,000 | 31 December 2012 est. |
| 9 | Netherlands | $ 971,900,000,000 | 31 December 2012 est. |
| 10 | Spain | $ 739,200,000,000 | 31 December 2012 est. |
| 11 | Canada | $ 703,000,000,000 | 31 December 2012 est. |
| 12 | Italy | $ 537,000,000,000 | 31 December 2012 est. |
| 13 | Australia | $ 496,400,000,000 | 31 December 2012 est. |
| 14 | Russia | $ 487,400,000,000 | 31 December 2012 est. |
| 15 | China | $ 465,000,000,000 | 31 December 2012 est. |
| 16 | Sweden | $ 385,400,000,000 | 31 December 2012 est. |
| 17 | Singapore | $ 353,700,000,000 | 31 December 2012 est. |
| 18 | Ireland | $ 338,100,000,000 | 31 December 2012 est. |
| 19 | Austria | $ 313,900,000,000 | 31 December 2012 est. |
| 20 | Denmark | $ 222,200,000,000 | 31 December 2012 est. |
| 21 | Taiwan | $ 220,800,000,000 | 31 December 2012 est. |
| 22 | Norway | $ 197,500,000,000 | 31 December 2012 est. |
| 23 | Korea, South | $ 190,400,000,000 | 31 December 2011 |
| 24 | Brazil | $ 176,700,000,000 | 31 December 2012 est. |
| 25 | Finland | $ 148,800,000,000 | 31 December 2012 est. |
| 26 | Mexico | $ 129,700,000,000 | 31 December 2012 est. |
| 27 | Malaysia | $ 123,300,000,000 | 31 December 2012 est. |
| 28 | India | $ 121,300,000,000 | 31 December 2012 est. |
| 29 | South Africa | $ 88,590,000,000 | 31 December 2012 est. |
| 30 | Israel | $ 74,530,000,000 | 31 December 2012 est. |
| 31 | Chile | $ 72,840,000,000 | 31 December 2012 est. |
| 32 | Portugal | $ 64,250,000,000 | 31 December 2012 est. |
| 33 | United Arab Emirates | $ 58,100,000,000 | 31 December 2012 est. |
| 34 | Kuwait | $ 57,970,000,000 | 31 December 2012 est. |
| 35 | Indonesia | $ 48,570,000,000 | 31 December 2012 est. |
| 36 | Thailand | $ 45,790,000,000 | 31 December 2012 est. |
| 37 | Poland | $ 44,890,000,000 | 31 December 2012 est. |
| 38 | Greece | $ 41,490,000,000 | 31 December 2012 est. |
| 39 | Qatar | $ 37,340,000,000 | 31 December 2012 est. |
| 40 | Argentina | $ 32,730,000,000 | 31 December 2012 est. |
| 41 | Colombia | $ 32,560,000,000 | 31 December 2012 est. |
| 42 | Hungary | $ 26,390,000,000 | 31 December 2012 est. |
| 43 | Venezuela | $ 21,950,000,000 | 31 December 2012 est. |
| 44 | Turkey | $ 21,350,000,000 | 31 December 2012 est. |
| 45 | Saudi Arabia | $ 20,830,000,000 | 31 December 2012 est. |
| 46 | Kazakhstan | $ 20,290,000,000 | 31 December 2012 est. |
| 47 | Tajikistan | $ 18,500,000,000 | 31 December 2010 est. |
| 48 | Libya | $ 17,470,000,000 | 31 December 2012 est. |
| 49 | Czech Republic | $ 16,470,000,000 | 31 December 2012 est. |
| 50 | Cyprus | $ 13,620,000,000 | 31 December 2012 est. |
| 51 | Nigeria | $ 11,230,000,000 | 31 December 2012 est. |
| 52 | Bahrain | $ 10,020,000,000 | 31 December 2012 est. |
| 53 | Slovenia | $ 9,755,000,000 | 31 December 2012 est. |
| 54 | Angola | $ 8,196,000,000 | 31 December 2012 est. |
| 55 | Vietnam | $ 7,700,000,000 | 31 December 2009 est. |
| 56 | Ukraine | $ 7,348,000,000 | 31 December 2012 est. |
| 57 | Azerbaijan | $ 6,923,000,000 | 31 December 2012 est. |
| 58 | Egypt | $ 6,824,000,000 | 31 December 2012 est. |
| 59 | Philippines | $ 6,690,000,000 | 31 December 2012 est. |
| 60 | Estonia | $ 6,609,000,000 | 31 December 2012 est. |
| 61 | Ecuador | $ 6,330,000,000 | 31 December 2012 est. |
| 62 | Croatia | $ 6,074,000,000 | 31 December 2012 est. |
| 63 | Slovakia | $ 4,309,000,000 | 31 December 2012 est. |
| 64 | Cuba | $ 4,138,000,000 | 2006 est. |
| 65 | Trinidad and Tobago | $ 3,829,000,000 | 2007 |
| 66 | Peru | $ 3,597,000,000 | 31 December 2012 est. |
| 67 | Iran | $ 2,881,000,000 | 31 December 2012 est. |
| 68 | Lithuania | $ 2,612,000,000 | 31 December 2012 est. |
| 69 | Algeria | $ 2,424,000,000 | 31 December 2012 est. |
| 70 | Bulgaria | $ 1,893,000,000 | 31 December 2012 est. |
| 71 | Romania | $ 1,506,000,000 | 31 December 2012 est. |
| 72 | Pakistan | $ 1,482,000,000 | 31 December 2012 est. |
| 73 | Morocco | $ 1,353,000,000 | 31 December 2012 est. |
| 74 | Malta | $ 1,213,000,000 | 2010 est. |
| 75 | Latvia | $ 1,037,000,000 | 31 December 2012 est. |
| 76 | Georgia | $ 741,600,000 | 31 December 2011 est. |
| 77 | Costa Rica | $ 729,300,000 | 31 December 2012 est. |
| 78 | Tunisia | $ 345,000,000 | 31 December 2012 est. |
| 79 | Kenya | $ 320,000,000 | 31 December 2012 est. |
| 80 | Uruguay | $ 300,000,000 | 2009 est. |
| 81 | Macau | $ 240,000,000 | 2009 est. |
| 82 | Mongolia | $ 95,000,000 | 31 December 2011 est. |
| 83 | Bangladesh | $ 93,900,000 | 31 December 2012 est. |
| 84 | Mali | $ 77,440,000 | 31 December 2012 est. |
| 85 | Moldova | $ 75,250,000 | 30 September 2011 |
| 86 | Dominican Republic | $ 59,000,000 | 31 December 2012 est. |
| 87 | Vanuatu | $ 23,340,000 | 31 December 2011 est. |
| 88 | Bolivia | $ 21,000,000 | 31 December 2010 |
| 89 | Rwanda | $ 13,000,000 | 31 December 2012 est. |
| 90 | El Salvador | $ 12,400,000 | 31 December 2012 est. |
| 91 | Kyrgyzstan | $ 1,500,000 | 31 December 2012 est. |
