CIA - The World Factbook --  Stock of domestic credit   

This entry is the total quantity of credit, denominated in the domestic currency, provided by financial institutions to the central bank, state and local governments, public non-financial corporations, and the private sector. The national currency units have been converted to US dollars at the closing exchange rate on the date of the information.

| Rank | country | Stock of domestic credit | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $ 32,610,000,000,000 | 31 December 2009 est. |
| 2 | European Union | $ 22,650,000,000,000 | 31 December 2009 est. |
| 3 | Japan | $ 16,390,000,000,000 | 31 December 2008 est. |
| 4 | China | $ 8,156,000,000,000 | 31 December 2010 est. |
| 5 | Germany | $ 5,200,000,000,000 | 31 December 2009 est. |
| 6 | United Kingdom | $ 5,151,000,000,000 | 31 December 2009 |
| 7 | France | $ 4,319,000,000,000 | 31 December 2009 est. |
| 8 | Spain | $ 3,683,000,000,000 | 31 December 2009 est. |
| 9 | Italy | $ 3,274,000,000,000 | 31 December 2009 est. |
| 10 | Canada | $ 2,963,000,000,000 | 31 December 2010 est. |
| 11 | Brazil | $ 2,104,000,000,000 | 31 December 2010 est. |
| 12 | Netherlands | $ 2,083,000,000,000 | 31 December 2009 est. |
| 13 | Australia | $ 1,731,000,000,000 | 31 December 2010 est. |
| 14 | India | $ 1,164,000,000,000 | 31 December 2010 est. |
| 15 | Korea, South | $ 1,057,000,000,000 | 31 December 2010 est. |
| 16 | Switzerland | $ 992,600,000,000 | 31 December 2009 est. |
| 17 | Belgium | $ 801,100,000,000 | 31 December 2009 est. |
| 18 | Ireland | $ 745,700,000,000 | 31 December 2009 est. |
| 19 | Taiwan | $ 661,400,000,000 | 31 December 2010 est. |
| 20 | Austria | $ 659,200,000,000 | 31 December 2009 est. |
| 21 | Sweden | $ 640,200,000,000 | 31 December 2010 est. |
| 22 | Denmark | $ 636,500,000,000 | 31 December 2010 est. |
| 23 | Portugal | $ 556,300,000,000 | 31 December 2009 est. |
| 24 | Russia | $ 549,900,000,000 | 31 December 2010 est. |
| 25 | Greece | $ 419,900,000,000 | 31 December 2009 est. |
| 26 | Norway | $ 414,500,000,000 | 31 December 2010 est. |
| 27 | Turkey | $ 401,800,000,000 | 31 December 2010 est. |
| 28 | Luxembourg | $ 395,100,000,000 | 31 December 2009 est. |
| 29 | Hong Kong | $ 374,800,000,000 | 31 December 2010 est. |
| 30 | Mexico | $ 342,400,000,000 | 31 December 2010 est. |
| 31 | Thailand | $ 336,000,000,000 | 31 December 2010 est. |
| 32 | South Africa | $ 328,300,000,000 | 31 December 2010 est. |
| 33 | Malaysia | $ 314,700,000,000 | 31 December 2010 est. |
| 34 | United Arab Emirates | $ 290,000,000,000 | 31 December 2010 est. |
| 35 | Poland | $ 288,700,000,000 | 31 December 2010 est. |
| 36 | Finland | $ 259,200,000,000 | 31 December 2009 est. |
| 37 | Indonesia | $ 253,100,000,000 | 31 December 2010 est. |
| 38 | New Zealand | $ 206,200,000,000 | 31 December 2010 est. |
| 39 | Singapore | $ 199,800,000,000 | 31 December 2010 est. |
| 40 | Israel | $ 169,900,000,000 | 31 December 2010 est. |
| 41 | Chile | $ 153,600,000,000 | 31 December 2010 est. |
| 42 | Egypt | $ 145,600,000,000 | 31 December 2010 est. |
| 43 | Iran | $ 132,200,000,000 | 31 December 2010 est. |
| 44 | Vietnam | $ 132,100,000,000 | 31 December 2010 est. |
| 45 | Colombia | $ 123,000,000,000 | 31 December 2010 est. |
| 46 | Czech Republic | $ 119,500,000,000 | 31 December 2010 est. |
| 47 | Argentina | $ 113,900,000,000 | 31 December 2010 est. |
| 48 | Ukraine | $ 110,800,000,000 | 31 December 2010 est. |
| 49 | Cyprus | $ 101,200,000,000 | 31 December 2009 est. |
| 50 | Hungary | $ 99,060,000,000 | 31 December 2010 est. |
| 51 | Kuwait | $ 96,710,000,000 | 31 December 2010 est. |
| 52 | Philippines | $ 95,540,000,000 | 31 December 2010 est. |
