CIA - The World Factbook --  TAXES AND OTHER REVENUES

Taxes and other revenues records total taxes and other revenues received by the national government during the time period indicated, expressed as a percent of GDP. Taxes include personal and corporate income taxes, value added taxes, excise taxes, and tariffs. Other revenues include social contributions - such as payments for social security and hospital insurance - grants, and net revenues from public enterprises.

| Rank | Country | (% OF GDP) | Date of Information |
| --- | --- | --- | --- |
  1      Anguilla                                         
  2      Tuvalu                                           
  3      Kiribati                                         
| 4 | Greenland | 79.6 | 2010 |
| 5 | Micronesia, Federated States of | 67.2 | FY12/13 est. |
| 6 | Cuba | 64.5 | 2015 est. |
| 7 | Marshall Islands | 63.8 | 2013 est. |
| 8 | Finland | 55.6 | 2015 est. |
| 9 | Norway | 54.3 | 2015 est. |
| 10 | Denmark | 54.0 | 2015 est. |
| 11 | Lesotho | 54.0 | 2015 est. |
| 12 | France | 53.4 | 2015 est. |
| 13 | Belgium | 51.3 | 2015 est. |
| 14 | Austria | 50.5 | 2015 est. |
| 15 | Sweden | 50.4 | 2015 est. |
| 16 | Hungary | 48.7 | 2015 est. |
| 17 | Bosnia and Herzegovina | 48.2 | 2015 est. |
| 18 | Italy | 47.9 | 2015 est. |
| 19 | Bolivia | 47.5 | 2015 est. |
| 20 | European Union | 45.2 | 2014 est. |
| 21 | Slovenia | 45.1 | 2015 est. |
| 22 | Germany | 44.6 | 2015 est. |
| 23 | Faroe Islands | 44.2 | 2010 est. |
| 24 | Kuwait | 44.0 | 2015 est. |
| 25 | Netherlands | 43.9 | 2015 est. |
| 26 | Portugal | 43.9 | 2015 est. |
| 27 | Croatia | 43.6 | 2015 est. |
| 28 | Venezuela | 43.3 | 2015 est. |
| 29 | Palau | 43.1 | 2012 est. |
| 30 | Luxembourg | 43.1 | 2015 est. |
| 31 | Slovakia | 42.7 | 2015 est. |
| 32 | Serbia | 42.7 | 2015 est. |
| 33 | San Marino | 42.6 | 2011 est. |
| 34 | Congo, Republic of the | 42.5 | 2015 est. |
| 35 | Czechia | 42.2 | 2015 est. |
| 36 | Iceland | 42.2 | 2015 est. |
| 37 | Belarus | 42.1 | 2015 est. |
| 38 | Malta | 41.7 | 2015 est. |
| 39 | Brunei | 41.6 | 2015 est. |
| 40 | Saint Kitts and Nevis | 41.3 | 2015 est. |
| 41 | Falkland Islands (Islas Malvinas) | 40.8 | FY09/10 |
| 42 | Oman | 40.3 | 2015 est. |
| 43 | Estonia | 40.0 | 2015 est. |
| 44 | Botswana | 39.7 | 2015 est. |
| 45 | Cyprus | 39.0 | 2015 est. |
| 46 | United Kingdom | 38.8 | 2015 est. |
| 47 | Bulgaria | 38.7 | 2015 est. |
| 48 | New Zealand | 38.6 | 2015 est. |
| 49 | Canada | 38.6 | 2015 est. |
| 50 | Montenegro | 38.6 | 2014 est. |
| 51 | Spain | 38.2 | 2015 est. |
| 52 | Iraq | 37.5 | 2015 est. |
| 53 | Cayman Islands | 37.1 | 2015 est. |
| 54 | Brazil | 36.0 | 2015 est. |
| 55 | Solomon Islands | 35.9 | 2015 est. |
| 56 | Latvia | 35.9 | 2015 est. |
| 57 | Japan | 35.9 | 2015 est. |
| 58 | Cook Islands | 35.6 | 2010 est. |
| 59 | Djibouti | 35.6 | 2015 est. |
| 60 | Namibia | 35.5 | 2015 est. |
| 61 | Lithuania | 34.9 | 2015 est. |
| 62 | Seychelles | 34.7 | 2015 est. |
| 63 | Switzerland | 34.7 | 2015 est. |
| 64 | Trinidad and Tobago | 34.3 | 2014 est. |
| 65 | Ecuador | 34.0 | 2015 est. |
| 66 | Australia | 34.0 | 2015 est. |
| 67 | Liberia | 33.8 | 2015 est. |
| 68 | Moldova | 33.6 | 2015 est. |
| 69 | Tajikistan | 33.3 | 2015 est. |
| 70 | Ukraine | 33.0 | 2015 est. |
| 71 | Romania | 32.9 | 2015 est. |
| 72 | Ireland | 32.9 | 2015 est. |
| 73 | Saint Pierre and Miquelon | 32.5 | 1996 est. |
| 74 | American Samoa | 32.2 | 2013 est. |
| 75 | Uzbekistan | 32.2 | 2015 est. |
| 76 | Angola | 32.2 | 2015 est. |
| 77 | Equatorial Guinea | 31.2 | 2015 est. |
| 78 | Qatar | 31.0 | 2015 est. |
| 79 | Azerbaijan | 31.0 | 2015 est. |
| 80 | Maldives | 30.7 | 2014 est. |
| 81 | Kyrgyzstan | 29.9 | 2015 est. |
| 82 | Dominica | 29.8 | 2015 est. |
| 83 | United Arab Emirates | 29.8 | 2015 est. |
| 84 | Peru | 29.5 | 2015 est. |
| 85 | Saint Vincent and the Grenadines | 29.4 | 2015 est. |
| 86 | Mozambique | 29.3 | 2015 est. |
| 87 | Macedonia | 29.3 | 2015 est. |
| 88 | Greece | 28.8 | 2015 est. |
| 89 | Algeria | 28.6 | 2015 est. |
| 90 | Macau | 28.5 | 2015 est. |
| 91 | Belize | 28.4 | 2015 est. |
| 92 | Uruguay | 28.3 | 2015 est. |
| 93 | Georgia | 28.3 | 2015 est. |
| 94 | Mauritania | 28.2 | 2015 est. |
| 95 | Colombia | 28.1 | 2015 est. |
| 96 | Sao Tome and Principe | 28.0 | 2015 est. |
| 97 | West Bank | 28.0 | 2014 est. |
| 98 | Jamaica | 28.0 | 2015 est. |
| 99 | Swaziland | 27.8 | 2015 est. |
| 100 | Nicaragua | 27.7 | 2015 est. |
| 101 | Bhutan | 27.5 | 2015 est. |
| 102 | South Africa | 27.4 | 2015 est. |
| 103 | British Virgin Islands | 27.4 | 2015 est. |
| 104 | Barbados | 27.2 | 2015 est. |
| 105 | Comoros | 27.0 | 2015 est. |
| 106 | Aruba | 26.9 | 2015 est. |
| 107 | Grenada | 26.7 | 2015 est. |
| 108 | French Polynesia | 26.4 | 2012 |
| 109 | Albania | 26.2 | 2015 est. |
| 110 | Israel | 26.1 | 2015 est. |
| 111 | Eritrea | 26.1 | 2015 est. |
| 112 | Guyana | 25.9 | 2015 est. |
| 113 | Fiji | 25.9 | 2015 est. |
| 114 | Gibraltar | 25.7 | 2008 est. |
| 115 | Burundi | 25.7 | 2015 est. |
| 116 | Togo | 25.5 | 2015 est. |
| 117 | Mongolia | 25.5 | 2015 est. |
| 118 | Cabo Verde | 25.5 | 2015 est. |
| 119 | Senegal | 25.1 | 2015 est. |
| 120 | Saudi Arabia | 25.1 | 2015 est. |
| 121 | Samoa | 24.9 | 2015 est. |
| 122 | Guam | 24.9 | 2013 est. |
| 123 | Argentina | 24.5 | 2015 est. |
| 124 | Zimbabwe | 24.5 | 2015 est. |
| 125 | Papua New Guinea | 24.2 | 2015 est. |
| 126 | Turkey | 24.2 | 2015 est. |
| 127 | Virgin Islands | 24.1 | 2013 |
| 128 | Vietnam | 24.0 | 2015 est. |
| 129 | Rwanda | 23.8 | 2015 est. |
| 130 | Isle of Man | 23.7 | FY05/06 est. |
| 131 | Libya | 23.7 | 2015 est. |
| 132 | Niger | 23.7 | 2015 est. |
| 133 | Tunisia | 23.6 | 2015 est. |
| 134 | Gambia, The | 23.5 | 2015 est. |
| 135 | Mexico | 23.5 | 2015 est. |
| 136 | Armenia | 23.4 | 2015 est. |
| 137 | Morocco | 23.3 | 2015 est. |
| 138 | Ghana | 23.2 | 2015 est. |
| 139 | Vanuatu | 23.0 | 2015 est. |
| 140 | Tonga | 22.9 | 2015 est. |
| 141 | Laos | 22.4 | 2015 est. |
| 142 | China | 22.3 | 2015 est. |
| 143 | Jordan | 22.1 | 2015 est. |
| 144 | Kosovo | 22.0 | 2014 est. |
| 145 | Korea, South | 21.8 | 2015 est. |
| 146 | Andorra | 21.4 | 2012 |
| 147 | Gabon | 21.3 | 2015 est. |
| 148 | Hong Kong | 21.3 | 2015 est. |
| 149 | Cote d'Ivoire | 21.2 | 2015 est. |
| 150 | Chile | 21.1 | 2015 est. |
| 151 | Haiti | 21.1 | 2015 est. |
| 152 | Egypt | 20.9 | 2015 est. |
| 153 | Bahamas, The | 20.7 | 2015 est. |
| 154 | Nepal | 20.6 | 2015 est. |
| 155 | Guernsey | 20.6 | 2005 |
| 156 | Antigua and Barbuda | 20.5 | 2015 est. |
| 157 | Panama | 20.4 | 2015 est. |
| 158 | Mauritius | 20.2 | 2015 est. |
| 159 | Northern Mariana Islands | 20.0 | 2013 est. |
| 160 | El Salvador | 20.0 | 2015 est. |
| 161 | Kazakhstan | 19.9 | 2015 est. |
| 162 | Honduras | 19.7 | 2015 est. |
| 163 | Malawi | 19.6 | 2015 est. |
| 164 | Burkina Faso | 19.6 | 2015 est. |
| 165 | Guinea | 19.5 | 2015 est. |
| 166 | Liechtenstein | 19.5 | 2012 est. |
| 167 | Mali | 19.2 | 2015 est. |
| 168 | Malaysia | 18.9 | 2015 est. |
| 169 | Lebanon | 18.7 | 2015 est. |
| 170 | Paraguay | 18.6 | 2015 est. |
| 171 | Thailand | 18.6 | 2015 est. |
| 172 | Guinea-Bissau | 18.5 | 2015 est. |
| 173 | United States | 18.1 | 2015 est. |
| 174 | Bahrain | 17.9 | 2015 est. |
| 175 | Monaco | 17.7 | 2011 est. |
| 176 | Dominican Republic | 17.7 | 2015 est. |
| 177 | Kenya | 17.5 | 2015 est. |
| 178 | Benin | 17.4 | 2015 est. |
| 179 | Bermuda | 17.3 | 2015 est. |
| 180 | Suriname | 16.9 | 2015 est. |
| 181 | Russia | 16.9 | 2015 est. |
| 182 | Cameroon | 16.8 | 2015 est. |
| 183 | Zambia | 16.7 | 2015 est. |
| 184 | South Sudan | 16.6 | FY 2013 est. |
| 185 | Curacao | 16.6 | 2012 est. |
| 186 | Cambodia | 16.4 | 2015 est. |
| 187 | Turkmenistan | 16.2 | 2015 est. |
| 188 | Poland | 16.1 | 2015 est. |
| 189 | Iran | 16.0 | 2015 est. |
| 190 | Syria | 15.9 | 2016 est. |
| 191 | Philippines | 15.9 | 2015 est. |
| 192 | Sierra Leone | 15.9 | 2015 est. |
| 193 | Taiwan | 15.9 | 2015 est. |
| 194 | Singapore | 15.8 | 2015 est. |
| 195 | Timor-Leste | 15.3 | 2015 est. |
| 196 | Ethiopia | 15.0 | 2015 est. |
| 197 | Costa Rica | 14.8 | 2015 est. |
| 198 | Jersey | 14.4 | 2005 |
| 199 | Pakistan | 14.2 | 2015 est. |
| 200 | Congo, Democratic Republic of the | 14.0 | 2015 est. |
| 201 | Chad | 14.0 | 2015 est. |
| 202 | Uganda | 13.8 | 2015 est. |
| 203 | Tanzania | 13.4 | 2015 est. |
| 204 | Indonesia | 13.1 | 2015 est. |
| 205 | Sri Lanka | 13.1 | 2015 est. |
| 206 | Saint Lucia | 13.1 | 2011 est. |
| 207 | Madagascar | 11.8 | 2015 est. |
| 208 | Burma | 11.6 | 2015 est. |
| 209 | Korea, North | 11.4 | 2007 est. |
| 210 | Central African Republic | 11.0 | 2015 est. |
| 211 | Guatemala | 10.8 | 2015 est. |
| 212 | Bangladesh | 10.4 | 2015 est. |
| 213 | India | 9.3 | 2015 est. |
| 214 | Puerto Rico | 8.8 | 2015 est. |
| 215 | Yemen | 8.4 | 2015 est. |
| 216 | Afghanistan | 8.2 | 2015 est. |
| 217 | Sudan | 8.0 | 2015 est. |
| 218 | Nigeria | 3.7 | 2015 est. |
| 219 | Somalia | 2.5 | 2014 est. |


