CIA - The World Factbook --  Total fertility rate   

This entry gives a figure for the average number of children that would be born per woman if all women lived to the end of their childbearing years and bore children according to a given fertility rate at each age. The total fertility rate (TFR) is a more direct measure of the level of fertility than the crude birth rate, since it refers to births per woman. This indicator shows the potential for population change in the country. A rate of two children per woman is considered the replacement rate for a population, resulting in relative stability in terms of total numbers. Rates above two children indicate populations growing in size and whose median age is declining. Higher rates may also indicate difficulties for families, in some situations, to feed and educate their children and for women to enter the labor force. Rates below two children indicate populations decreasing in size and growing older. Global fertility rates are in general decline and this trend is most pronounced in industrialized countries, especially Western Europe, where populations are projected to decline dramatically over the next 50 years.

| Rank | country | (children born/woman) | Date of Information |
| --- | --- | --- | --- |
| 1 | Niger | 7.68 | 2010 est. |
| 2 | Uganda | 6.73 | 2010 est. |
| 3 | Mali | 6.54 | 2010 est. |
| 4 | Somalia | 6.44 | 2010 est. |
| 5 | Burundi | 6.25 | 2010 est. |
| 6 | Burkina Faso | 6.21 | 2010 est. |
| 7 | Congo, Democratic Republic of the | 6.11 | 2010 est. |
| 8 | Ethiopia | 6.07 | 2010 est. |
| 9 | Zambia | 6.07 | 2010 est. |
| 10 | Angola | 6.05 | 2010 est. |
| 11 | Congo, Republic of the | 5.77 | 2010 est. |
| 12 | Malawi | 5.51 | 2010 est. |
| 13 | Afghanistan | 5.50 | 2010 est. |
| 14 | Benin | 5.40 | 2010 est. |
| 15 | Mayotte | 5.40 | 2010 est. |
| 16 | Liberia | 5.24 | 2010 est. |
| 17 | Sao Tome and Principe | 5.21 | 2010 est. |
| 18 | Chad | 5.18 | 2010 est. |
| 19 | Guinea | 5.15 | 2010 est. |
| 20 | Mozambique | 5.13 | 2010 est. |
| 21 | Madagascar | 5.09 | 2010 est. |
| 22 | Equatorial Guinea | 5.00 | 2010 est. |
| 23 | Rwanda | 4.99 | 2010 est. |
| 24 | Sierra Leone | 4.97 | 2010 est. |
| 25 | Gambia, The | 4.96 | 2010 est. |
| 26 | Sudan | 4.93 | 2010 est. |
| 27 | Gaza Strip | 4.90 | 2010 est. |
| 28 | Senegal | 4.86 | 2010 est. |
| 29 | Nigeria | 4.82 | 2010 est. |
| 30 | Yemen | 4.81 | 2010 est. |
| 31 | Comoros | 4.78 | 2010 est. |
| 32 | Togo | 4.74 | 2010 est. |
| 33 | Central African Republic | 4.68 | 2010 est. |
| 34 | Gabon | 4.62 | 2010 est. |
| 35 | Eritrea | 4.60 | 2010 est. |
| 36 | Guinea-Bissau | 4.58 | 2010 est. |
| 37 | Kenya | 4.38 | 2010 est. |
| 38 | Mauritania | 4.37 | 2010 est. |
| 39 | Western Sahara | 4.37 | 2010 est. |
| 40 | Tanzania | 4.31 | 2010 est. |
| 41 | Cameroon | 4.25 | 2010 est. |
| 42 | Cote d'Ivoire | 4.01 | 2010 est. |
| 43 | Iraq | 3.76 | 2010 est. |
| 44 | Solomon Islands | 3.67 | 2010 est. |
| 45 | Zimbabwe | 3.66 | 2010 est. |
| 46 | Ghana | 3.57 | 2010 est. |
| 47 | Papua New Guinea | 3.54 | 2010 est. |
| 48 | Marshall Islands | 3.51 | 2010 est. |
| 49 | Jordan | 3.42 | 2010 est. |
| 50 | Guatemala | 3.36 | 2010 est. |
| 51 | Samoa | 3.32 | 2010 est. |
| 52 | Belize | 3.28 | 2010 est. |
| 53 | Pakistan | 3.28 | 2010 est. |
| 54 | Philippines | 3.23 | 2010 est. |
| 55 | American Samoa | 3.22 | 2010 est. |
| 56 | Laos | 3.22 | 2010 est. |
| 57 | Timor-Leste | 3.20 | 2010 est. |
| 58 | Swaziland | 3.19 | 2010 est. |
| 59 | Honduras | 3.17 | 2010 est. |
| 60 | Tuvalu | 3.14 | 2010 est. |
| 61 | Nauru | 3.13 | 2010 est. |
| 62 | West Bank | 3.12 | 2010 est. |
| 63 | Bolivia | 3.07 | 2010 est. |
| 64 | Haiti | 3.07 | 2011 est. |
| 65 | Syria | 3.02 | 2010 est. |
| 66 | Egypt | 3.01 | 2010 est. |
| 67 | Libya | 3.01 | 2010 est. |
| 68 | Lesotho | 3.00 | 2010 est. |
| 69 | Tajikistan | 2.94 | 2010 est. |
| 70 | Turks and Caicos Islands | 2.92 | 2010 est. |
| 71 | Cambodia | 2.90 | 2010 est. |
| 72 | Oman | 2.87 | 2010 est. |
| 73 | Kiribati | 2.86 | 2010 est. |
| 74 | Micronesia, Federated States of | 2.80 | 2010 est. |
| 75 | Djibouti | 2.79 | 2010 est. |
| 76 | Israel | 2.72 | 2010 est. |
| 77 | Kuwait | 2.70 | 2010 est. |
| 78 | Malaysia | 2.70 | 2010 est. |
| 79 | Bangladesh | 2.65 | 2010 est. |
| 80 | Fiji | 2.65 | 2010 est. |
| 81 | India | 2.65 | 2010 est. |
| 82 | Kyrgyzstan | 2.64 | 2010 est. |
| 83 | Namibia | 2.57 | 2010 est. |
| 84 | World | 2.56 | 2009 est. |
