CIA - The World Factbook --  UNEMPLOYMENT RATE

Unemployement rate compares the percent of the labor force that is without jobs.

| Rank | Country | (%) | Date of Information |
| --- | --- | --- | --- |
| 1 | Cambodia | 0.30 | 2013 est. |
| 2 | Qatar | 0.40 | 2015 est. |
| 3 | Belarus | 0.70 | 2014 est. |
| 4 | Thailand | 0.90 | 2015 est. |
| 5 | Guernsey | 0.90 | March 2006 est. |
| 6 | Tonga | 1.10 | 2011 est. |
| 7 | Laos | 1.30 | 2012 est. |
| 8 | Jersey | 1.70 | 2012 est. |
| 9 | Vanuatu | 1.70 | 1999 est. |
| 10 | Macau | 1.80 | 2015 est. |
| 11 | Papua New Guinea | 1.90 | 2008 est. |
| 12 | Singapore | 1.90 | 2015 est. |
| 13 | Monaco | 2.00 | 2012 |
| 14 | Isle of Man | 2.00 | April 2011 est. |
| 15 | United Arab Emirates | 2.40 | 2001 est. |
| 16 | Cuba | 2.40 | 2015 est. |
| 17 | Tajikistan | 2.50 | 2013 est. |
| 18 | Bhutan | 2.60 | 2014 est. |
| 19 | Guatemala | 2.90 | 2014 est. |
| 20 | Faroe Islands | 2.90 | 2015 est. |
| 21 | Seychelles | 3.00 | 2014 est. |
| 22 | Gibraltar | 3.00 | 2005 est. |
| 23 | Kuwait | 3.00 | 2015 est. |
| 24 | Trinidad and Tobago | 3.20 | 2015 est. |
| 25 | Switzerland | 3.20 | 2015 est. |
| 26 | Malaysia | 3.20 | 2015 est. |
| 27 | Hong Kong | 3.30 | 2015 est. |
| 28 | Japan | 3.40 | 2015 est. |
| 29 | Liechtenstein | 3.40 | 2014 |
| 30 | Vietnam | 3.50 | 2015 est. |
| 31 | Korea, South | 3.60 | 2015 est. |
| 32 | Taiwan | 3.80 | 2015 est. |
| 33 | Cayman Islands | 4.00 | 2008 |
| 34 | Iceland | 4.00 | 2015 est. |
| 35 | China | 4.00 | 2015 est. |
| 36 | Andorra | 4.00 | 2012 est. |
| 37 | Honduras | 4.10 | 2015 est. |
| 38 | Falkland Islands (Islas Malvinas) | 4.10 | 2010 |
| 39 | Bahrain | 4.10 | 2014 est. |
| 40 | Palau | 4.20 | 2005 est. |
| 41 | Ecuador | 4.30 | 2015 est. |
| 42 | Mexico | 4.40 | 2015 est. |
| 43 | Norway | 4.40 | 2015 est. |
| 44 | Saint Kitts and Nevis | 4.50 | 1997 |
| 45 | Panama | 4.50 | 2015 est. |
| 46 | Denmark | 4.60 | 2015 est. |
| 47 | Germany | 4.60 | 2015 est. |
| 48 | Sri Lanka | 4.70 | 2015 est. |
| 49 | Bangladesh | 4.90 | 2015 est. |
| 50 | Kazakhstan | 5.00 | 2015 est. |
| 51 | Burma | 5.00 | 2015 est. |
| 52 | Uzbekistan | 5.00 | 2015 est. |
| 53 | Niger | 5.10 | 2015 est. |
| 54 | Ghana | 5.20 | 2013 est. |
| 55 | Moldova | 5.20 | 2015 est. |
| 56 | Peru | 5.20 | 2015 est. |
| 57 | Israel | 5.30 | 2015 est. |
| 58 | United States | 5.30 | 2015 est. |
| 59 | Azerbaijan | 5.30 | 2015 est. |
| 60 | Malta | 5.40 | 2015 est. |
| 61 | United Kingdom | 5.40 | 2015 est. |
| 62 | New Zealand | 5.40 | 2015 est. |
| 63 | El Salvador | 5.50 | 2015 est. |
| 64 | Russia | 5.60 | 2015 est. |
| 65 | Austria | 5.70 | 2015 est. |
| 66 | Paraguay | 5.80 | 2015 est. |
| 67 | Montserrat | 6.00 | 1998 est. |
| 68 | Nicaragua | 6.10 | 2015 est. |
| 69 | Australia | 6.10 | 2015 est. |
| 70 | Estonia | 6.20 | 2015 est. |
| 71 | Indonesia | 6.20 | 2015 est. |
| 72 | Philippines | 6.30 | 2015 est. |
| 73 | Chile | 6.30 | 2015 est. |
| 74 | Pakistan | 6.40 | 2015 est. |
| 75 | Czechia | 6.50 | 2015 est. |
| 76 | Comoros | 6.50 | 2014 est. |
| 77 | Venezuela | 6.80 | 2015 est. |
| 78 | Romania | 6.80 | 2015 est. |
| 79 | Hungary | 6.80 | 2015 est. |
| 80 | Canada | 6.90 | 2015 est. |
| 81 | Brunei | 6.90 | 2014 est. |
| 82 | Netherlands | 6.90 | 2015 est. |
| 83 | Luxembourg | 6.90 | 2015 est. |
| 84 | Aruba | 6.90 | 2005 est. |
| 85 | Sweden | 7.40 | 2015 est. |
| 86 | Bolivia | 7.40 | 2015 est. |
| 87 | Uruguay | 7.50 | 2015 est. |
| 88 | Argentina | 7.60 | 2015 est. |
| 89 | Central African Republic | 8.00 | 2001 est. |
| 90 | Mauritius | 8.00 | 2015 est. |
| 91 | Anguilla | 8.00 | 2002 |
| 92 | Kyrgyzstan | 8.00 | 2013 est. |
| 93 | Mongolia | 8.30 | 2015 est. |
| 94 | Guam | 8.40 | 2013 est. |
| 95 | India | 8.40 | 2015 est. |
| 96 | Belgium | 8.50 | 2015 est. |
| 97 | Eritrea | 8.60 | 2013 est. |
| 98 | British Virgin Islands | 8.70 | 2010 est. |
| 99 | San Marino | 8.70 | 2014 est. |
| 100 | Fiji | 8.80 | 2014 est. |
| 101 | Suriname | 8.90 | 2014 est. |
| 102 | Colombia | 8.90 | 2015 est. |
| 103 | Bermuda | 9.00 | 2014 est. |
| 104 | Brazil | 9.00 | 2015 est. |
