CIA - The World Factbook --  Urbanization   

| Rank | country | (%) | Date of Information |
| --- | --- | --- | --- |
| 1 | Singapore | 100.00 | NA |
| 2 | Macau | 100.00 | NA |
| 3 | Monaco | 100.00 | NA |
| 4 | Nauru | 100.00 | NA |
| 5 | Gibraltar | 100.00 | NA |
| 6 | Hong Kong | 100.00 | NA |
| 7 | Anguilla | 100.00 | NA |
| 8 | Bermuda | 100.00 | NA |
| 9 | Cayman Islands | 100.00 | NA |
| 10 | Holy See (Vatican City) | 100.00 | NA |
| 11 | Puerto Rico | 98.90 | NA |
| 12 | Qatar | 98.80 | NA |
| 13 | Kuwait | 98.30 | NA |
| 14 | Belgium | 97.50 | NA |
| 15 | Virgin Islands | 95.50 | NA |
| 16 | Malta | 94.80 | NA |
| 17 | San Marino | 94.10 | NA |
| 18 | Turks and Caicos Islands | 93.80 | NA |
| 19 | Iceland | 93.70 | NA |
| 20 | Venezuela | 93.50 | NA |
| 21 | Guam | 93.20 | NA |
| 22 | American Samoa | 93.20 | NA |
| 23 | Uruguay | 92.50 | NA |
| 24 | Argentina | 92.50 | NA |
| 25 | Israel | 91.90 | NA |
| 26 | Northern Mariana Islands | 91.50 | NA |
| 27 | Japan | 91.30 | NA |
| 28 | Saint Pierre and Miquelon | 90.70 | NA |
| 29 | Chile | 89.20 | NA |
| 30 | Australia | 89.20 | NA |
| 31 | Bahrain | 88.70 | NA |
| 32 | Andorra | 87.30 | NA |
| 33 | Lebanon | 87.20 | NA |
| 34 | Denmark | 86.90 | NA |
| 35 | New Zealand | 86.20 | NA |
| 36 | Gabon | 86.20 | NA |
| 37 | France | 85.80 | NA |
| 38 | Luxembourg | 85.40 | NA |
| 39 | Sweden | 85.20 | NA |
| 40 | Greenland | 84.70 | NA |
| 41 | Brazil | 84.60 | NA |
| 42 | United Arab Emirates | 84.40 | NA |
| 43 | Bahamas, The | 84.30 | NA |
| 44 | Palau | 84.20 | NA |
| 45 | Finland | 83.70 | NA |
| 46 | Netherlands | 83.20 | NA |
| 47 | Korea, South | 83.20 | NA |
| 48 | Jordan | 82.70 | NA |
| 49 | United States | 82.40 | NA |
| 50 | Saudi Arabia | 82.30 | NA |
| 51 | Western Sahara | 82.00 | NA |
| 52 | Canada | 80.70 | NA |
| 53 | United Kingdom | 79.60 | NA |
| 54 | Norway | 79.40 | NA |
| 55 | Mexico | 78.10 | NA |
| 56 | Libya | 77.70 | NA |
| 57 | Spain | 77.40 | NA |
| 58 | Peru | 77.30 | NA |
| 59 | Djibouti | 77.10 | NA |
| 60 | Brunei | 76.00 | NA |
| 61 | Colombia | 75.30 | NA |
| 62 | Panama | 75.30 | NA |
| 63 | Cuba | 75.20 | NA |
| 64 | Belarus | 75.00 | NA |
| 65 | Gaza Strip | 74.30 | NA |
| 66 | West Bank | 74.30 | NA |
| 67 | Falkland Islands (Islas Malvinas) | 74.10 | NA |
| 68 | Germany | 73.90 | NA |
| 69 | Russia | 73.80 | NA |
| 70 | Switzerland | 73.70 | NA |
| 71 | Cook Islands | 73.50 | NA |
| 72 | Oman | 73.40 | NA |
| 73 | Czech Republic | 73.40 | NA |
| 74 | Bulgaria | 73.10 | NA |
| 75 | Algeria | 73.00 | NA |
| 76 | Malaysia | 72.80 | NA |
| 77 | Marshall Islands | 71.80 | NA |
| 78 | Turkey | 71.50 | NA |
| 79 | Cyprus | 70.50 | NA |
| 80 | Dominican Republic | 69.70 | NA |
| 81 | Suriname | 69.70 | NA |
| 82 | Estonia | 69.50 | NA |
| 83 | Hungary | 69.50 | NA |
| 84 | Iran | 69.10 | NA |
| 85 | Ukraine | 68.90 | NA |
| 86 | Mongolia | 68.50 | NA |
| 87 | Italy | 68.40 | NA |
| 88 | Latvia | 67.70 | NA |
| 89 | Austria | 67.70 | NA |
| 90 | Ecuador | 67.50 | NA |
| 91 | Lithuania | 67.10 | NA |
| 92 | Dominica | 67.10 | NA |
| 93 | Bolivia | 66.80 | NA |
| 94 | Iraq | 66.50 | NA |
| 95 | Tunisia | 66.30 | NA |
| 96 | El Salvador | 64.80 | NA |
| 97 | Costa Rica | 64.70 | NA |
| 98 | Armenia | 64.10 | NA |
| 99 | Congo, Republic of the | 63.70 | NA |
| 100 | Montenegro | 63.30 | NA |
| 101 | Sao Tome and Principe | 62.70 | NA |
| 102 | Cabo Verde | 62.60 | NA |
| 103 | Ireland | 62.20 | NA |
| 104 | South Africa | 62.00 | NA |
| 105 | Paraguay | 61.90 | NA |
| 106 | New Caledonia | 61.70 | NA |
| 107 | Botswana | 61.70 | NA |
| 108 | Greece | 61.40 | NA |
| 109 | Portugal | 61.10 | NA |
| 110 | Poland | 60.90 | NA |
| 111 | Korea, North | 60.30 | NA |
| 112 | Macedonia | 59.30 | NA |
| 113 | Angola | 59.20 | NA |
| 114 | Croatia | 57.80 | NA |
| 115 | Nicaragua | 57.50 | NA |
| 116 | Gambia, The | 57.30 | NA |
| 117 | Morocco | 57.00 | NA |
| 118 | Serbia | 56.40 | NA |
| 119 | Syria | 56.10 | NA |
| 120 | Slovakia | 54.70 | NA |
| 121 | Azerbaijan | 53.60 | NA |
| 122 | Seychelles | 53.60 | NA |
| 123 | Kazakhstan | 53.60 | NA |
| 124 | Albania | 53.40 | NA |
| 125 | Haiti | 53.40 | NA |
| 126 | Romania | 52.80 | NA |
| 127 | Georgia | 52.80 | NA |
| 128 | Fiji | 52.20 | NA |
| 129 | Honduras | 52.20 | NA |
| 130 | Cameroon | 52.10 | NA |
| 131 | Jamaica | 52.00 | NA |
| 132 | Ghana | 51.90 | NA |
| 133 | French Polynesia | 51.40 | NA |
| 134 | Cote d'Ivoire | 51.30 | NA |
| 135 | Indonesia | 50.70 | NA |
| 136 | China | 50.60 | NA |
| 137 | Isle of Man | 50.50 | NA |
| 138 | Tuvalu | 50.00 | NA |
| 139 | Slovenia | 49.90 | NA |
| 140 | Guatemala | 49.80 | NA |
| 141 | Nigeria | 49.60 | NA |
| 142 | Saint Vincent and the Grenadines | 49.30 | NA |
| 143 | Philippines | 48.80 | NA |
| 144 | Turkmenistan | 48.70 | NA |
| 145 | Bosnia and Herzegovina | 48.30 | NA |
| 146 | Liberia | 48.20 | NA |
| 147 | Moldova | 47.70 | NA |
| 148 | Aruba | 46.80 | NA |
| 149 | Benin | 44.90 | NA |
| 150 | Belize | 44.70 | NA |
| 151 | Barbados | 44.40 | NA |
| 152 | Guinea-Bissau | 43.90 | NA |
| 153 | Kiribati | 43.90 | NA |
| 154 | Egypt | 43.50 | NA |
| 155 | Senegal | 42.50 | NA |
| 156 | Mauritius | 41.80 | NA |
| 157 | Mauritania | 41.50 | NA |
| 158 | Maldives | 41.20 | NA |
| 159 | Faroe Islands | 41.10 | NA |
| 160 | British Virgin Islands | 40.60 | NA |
| 161 | Equatorial Guinea | 39.50 | NA |
